name	layer	gpu	family	dims	elements	ggml_type_id	ggml_type	bytes
token_embd.weight	-1	-1	global	[4096x129280]	529530880	30	bf16	1059061760
blk.0.attn_sinks	0	0	attention	[64]	64	0	f32	256
blk.0.attn_kv_a_norm.weight	0	0	attention	[512]	512	0	f32	2048
blk.0.attn_q_a_norm.weight	0	0	attention	[1024]	1024	0	f32	4096
blk.0.attn_kv_latent.weight	0	0	attention	[4096x512]	2097152	42	f8_e4m3_b128	2113536
blk.0.attn_output_a.weight	0	0	attention	[4096x8192]	33554432	42	f8_e4m3_b128	33816576
blk.0.attn_output_b.weight	0	0	attention	[8192x4096]	33554432	42	f8_e4m3_b128	33816576
blk.0.attn_q_a.weight	0	0	attention	[4096x1024]	4194304	42	f8_e4m3_b128	4227072
blk.0.attn_q_b.weight	0	0	attention	[1024x32768]	33554432	42	f8_e4m3_b128	33816576
blk.0.attn_norm.weight	0	0	attention	[4096]	4096	0	f32	16384
blk.0.ffn_down_exps.weight	0	0	routed_expert	[2048x4096x256]	2147483648	39	mxfp4	1140850688
blk.0.ffn_gate_exps.weight	0	0	routed_expert	[4096x2048x256]	2147483648	39	mxfp4	1140850688
blk.0.ffn_up_exps.weight	0	0	routed_expert	[4096x2048x256]	2147483648	39	mxfp4	1140850688
blk.0.ffn_gate_tid2eid	0	0	router	[6x129280]	775680	26	i32	3102720
blk.0.ffn_gate_inp.weight	0	0	router	[4096x256]	1048576	0	f32	4194304
blk.0.ffn_gate_shexp.weight	0	0	shared_expert	[4096x2048]	8388608	42	f8_e4m3_b128	8454144
blk.0.ffn_down_shexp.weight	0	0	shared_expert	[2048x4096]	8388608	42	f8_e4m3_b128	8454144
blk.0.ffn_up_shexp.weight	0	0	shared_expert	[4096x2048]	8388608	42	f8_e4m3_b128	8454144
blk.0.ffn_norm.weight	0	0	control	[4096]	4096	0	f32	16384
blk.0.hc_attn_base	0	0	hc	[24]	24	0	f32	96
blk.0.hc_attn_fn	0	0	hc	[16384x24]	393216	0	f32	1572864
blk.0.hc_attn_scale	0	0	hc	[3]	3	0	f32	12
blk.0.hc_ffn_base	0	0	hc	[24]	24	0	f32	96
blk.0.hc_ffn_fn	0	0	hc	[16384x24]	393216	0	f32	1572864
blk.0.hc_ffn_scale	0	0	hc	[3]	3	0	f32	12
blk.1.attn_sinks	1	0	attention	[64]	64	0	f32	256
blk.1.attn_kv_a_norm.weight	1	0	attention	[512]	512	0	f32	2048
blk.1.attn_q_a_norm.weight	1	0	attention	[1024]	1024	0	f32	4096
blk.1.attn_kv_latent.weight	1	0	attention	[4096x512]	2097152	42	f8_e4m3_b128	2113536
