semantic_tensor_id	source_name	source_dtype	source_shape	owning_gpu	layer_id	byte_length	status
token_embd.weight	token_embd.weight	bf16	[4096x129280]	0	-1	1059061760	OK
blk.0.attn_sinks	blk.0.attn_sinks	f32	[64]	0	0	256	OK
blk.0.attn_kv_a_norm.weight	blk.0.attn_kv_a_norm.weight	f32	[512]	0	0	2048	OK
blk.0.attn_q_a_norm.weight	blk.0.attn_q_a_norm.weight	f32	[1024]	0	0	4096	OK
blk.0.attn_kv_latent.weight	blk.0.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	0	0	2113536	OK
blk.0.attn_output_a.weight	blk.0.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	0	0	33816576	OK
blk.0.attn_output_b.weight	blk.0.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	0	0	33816576	OK
blk.0.attn_q_a.weight	blk.0.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	0	0	4227072	OK
blk.0.attn_q_b.weight	blk.0.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	0	0	33816576	OK
blk.0.attn_norm.weight	blk.0.attn_norm.weight	f32	[4096]	0	0	16384	OK
blk.0.ffn_down_exps.weight	blk.0.ffn_down_exps.weight	mxfp4	[2048x4096x256]	0	0	1140850688	OK
blk.0.ffn_gate_exps.weight	blk.0.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	0	0	1140850688	OK
blk.0.ffn_up_exps.weight	blk.0.ffn_up_exps.weight	mxfp4	[4096x2048x256]	0	0	1140850688	OK
blk.0.ffn_gate_tid2eid	blk.0.ffn_gate_tid2eid	i32	[6x129280]	0	0	3102720	OK
blk.0.ffn_gate_inp.weight	blk.0.ffn_gate_inp.weight	f32	[4096x256]	0	0	4194304	OK
blk.0.ffn_gate_shexp.weight	blk.0.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	0	0	8454144	OK
blk.0.ffn_down_shexp.weight	blk.0.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	0	0	8454144	OK
blk.0.ffn_up_shexp.weight	blk.0.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	0	0	8454144	OK
blk.0.ffn_norm.weight	blk.0.ffn_norm.weight	f32	[4096]	0	0	16384	OK
blk.0.hc_attn_base	blk.0.hc_attn_base	f32	[24]	0	0	96	OK
blk.0.hc_attn_fn	blk.0.hc_attn_fn	f32	[16384x24]	0	0	1572864	OK
blk.0.hc_attn_scale	blk.0.hc_attn_scale	f32	[3]	0	0	12	OK
blk.0.hc_ffn_base	blk.0.hc_ffn_base	f32	[24]	0	0	96	OK
blk.0.hc_ffn_fn	blk.0.hc_ffn_fn	f32	[16384x24]	0	0	1572864	OK
blk.0.hc_ffn_scale	blk.0.hc_ffn_scale	f32	[3]	0	0	12	OK
blk.1.attn_sinks	blk.1.attn_sinks	f32	[64]	0	1	256	OK
blk.1.attn_kv_a_norm.weight	blk.1.attn_kv_a_norm.weight	f32	[512]	0	1	2048	OK
blk.1.attn_q_a_norm.weight	blk.1.attn_q_a_norm.weight	f32	[1024]	0	1	4096	OK
blk.1.attn_kv_latent.weight	blk.1.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	0	1	2113536	OK
blk.1.attn_output_a.weight	blk.1.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	0	1	33816576	OK
blk.1.attn_output_b.weight	blk.1.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	0	1	33816576	OK
blk.1.attn_q_a.weight	blk.1.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	0	1	4227072	OK
blk.1.attn_q_b.weight	blk.1.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	0	1	33816576	OK
blk.1.attn_norm.weight	blk.1.attn_norm.weight	f32	[4096]	0	1	16384	OK
blk.1.ffn_down_exps.weight	blk.1.ffn_down_exps.weight	mxfp4	[2048x4096x256]	0	1	1140850688	OK
blk.1.ffn_gate_exps.weight	blk.1.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	0	1	1140850688	OK
blk.1.ffn_up_exps.weight	blk.1.ffn_up_exps.weight	mxfp4	[4096x2048x256]	0	1	1140850688	OK
blk.1.ffn_gate_tid2eid	blk.1.ffn_gate_tid2eid	i32	[6x129280]	0	1	3102720	OK
blk.1.ffn_gate_inp.weight	blk.1.ffn_gate_inp.weight	f32	[4096x256]	0	1	4194304	OK
blk.1.ffn_gate_shexp.weight	blk.1.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	0	1	8454144	OK
blk.1.ffn_down_shexp.weight	blk.1.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	0	1	8454144	OK
blk.1.ffn_up_shexp.weight	blk.1.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	0	1	8454144	OK
blk.1.ffn_norm.weight	blk.1.ffn_norm.weight	f32	[4096]	0	1	16384	OK
blk.1.hc_attn_base	blk.1.hc_attn_base	f32	[24]	0	1	96	OK
blk.1.hc_attn_fn	blk.1.hc_attn_fn	f32	[16384x24]	0	1	1572864	OK
blk.1.hc_attn_scale	blk.1.hc_attn_scale	f32	[3]	0	1	12	OK
blk.1.hc_ffn_base	blk.1.hc_ffn_base	f32	[24]	0	1	96	OK
blk.1.hc_ffn_fn	blk.1.hc_ffn_fn	f32	[16384x24]	0	1	1572864	OK
blk.1.hc_ffn_scale	blk.1.hc_ffn_scale	f32	[3]	0	1	12	OK
blk.2.attn_sinks	blk.2.attn_sinks	f32	[64]	0	2	256	OK
blk.2.attn_compress_ape	blk.2.attn_compress_ape	f32	[1024x4]	0	2	16384	OK
blk.2.attn_compress_norm.weight	blk.2.attn_compress_norm.weight	f32	[512]	0	2	2048	OK
blk.2.attn_compress_gate.weight	blk.2.attn_compress_gate.weight	bf16	[4096x1024]	0	2	8388608	OK
blk.2.attn_compress_kv.weight	blk.2.attn_compress_kv.weight	bf16	[4096x1024]	0	2	8388608	OK
blk.2.indexer.compress_ape	blk.2.indexer.compress_ape	f32	[256x4]	0	2	4096	OK
blk.2.indexer.compress_norm.weight	blk.2.indexer.compress_norm.weight	f32	[128]	0	2	512	OK
blk.2.indexer.compress_gate.weight	blk.2.indexer.compress_gate.weight	bf16	[4096x256]	0	2	2097152	OK
blk.2.indexer.compress_kv.weight	blk.2.indexer.compress_kv.weight	bf16	[4096x256]	0	2	2097152	OK
blk.2.indexer.proj.weight	blk.2.indexer.proj.weight	bf16	[4096x64]	0	2	524288	OK
blk.2.indexer.attn_q_b.weight	blk.2.indexer.attn_q_b.weight	f8_e4m3_b128	[1024x8192]	0	2	8454144	OK
blk.2.attn_kv_a_norm.weight	blk.2.attn_kv_a_norm.weight	f32	[512]	0	2	2048	OK
blk.2.attn_q_a_norm.weight	blk.2.attn_q_a_norm.weight	f32	[1024]	0	2	4096	OK
blk.2.attn_kv_latent.weight	blk.2.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	0	2	2113536	OK
blk.2.attn_output_a.weight	blk.2.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	0	2	33816576	OK
blk.2.attn_output_b.weight	blk.2.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	0	2	33816576	OK
blk.2.attn_q_a.weight	blk.2.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	0	2	4227072	OK
blk.2.attn_q_b.weight	blk.2.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	0	2	33816576	OK
blk.2.attn_norm.weight	blk.2.attn_norm.weight	f32	[4096]	0	2	16384	OK
blk.2.ffn_down_exps.weight	blk.2.ffn_down_exps.weight	mxfp4	[2048x4096x256]	0	2	1140850688	OK
blk.2.ffn_gate_exps.weight	blk.2.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	0	2	1140850688	OK
blk.2.ffn_up_exps.weight	blk.2.ffn_up_exps.weight	mxfp4	[4096x2048x256]	0	2	1140850688	OK
blk.2.ffn_gate_tid2eid	blk.2.ffn_gate_tid2eid	i32	[6x129280]	0	2	3102720	OK
blk.2.ffn_gate_inp.weight	blk.2.ffn_gate_inp.weight	f32	[4096x256]	0	2	4194304	OK
blk.2.ffn_gate_shexp.weight	blk.2.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	0	2	8454144	OK
blk.2.ffn_down_shexp.weight	blk.2.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	0	2	8454144	OK
blk.2.ffn_up_shexp.weight	blk.2.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	0	2	8454144	OK
blk.2.ffn_norm.weight	blk.2.ffn_norm.weight	f32	[4096]	0	2	16384	OK
blk.2.hc_attn_base	blk.2.hc_attn_base	f32	[24]	0	2	96	OK
blk.2.hc_attn_fn	blk.2.hc_attn_fn	f32	[16384x24]	0	2	1572864	OK
blk.2.hc_attn_scale	blk.2.hc_attn_scale	f32	[3]	0	2	12	OK
blk.2.hc_ffn_base	blk.2.hc_ffn_base	f32	[24]	0	2	96	OK
blk.2.hc_ffn_fn	blk.2.hc_ffn_fn	f32	[16384x24]	0	2	1572864	OK
blk.2.hc_ffn_scale	blk.2.hc_ffn_scale	f32	[3]	0	2	12	OK
blk.3.attn_sinks	blk.3.attn_sinks	f32	[64]	0	3	256	OK
blk.3.attn_compress_ape	blk.3.attn_compress_ape	f32	[512x128]	0	3	262144	OK
blk.3.attn_compress_norm.weight	blk.3.attn_compress_norm.weight	f32	[512]	0	3	2048	OK
blk.3.attn_compress_gate.weight	blk.3.attn_compress_gate.weight	bf16	[4096x512]	0	3	4194304	OK
blk.3.attn_compress_kv.weight	blk.3.attn_compress_kv.weight	bf16	[4096x512]	0	3	4194304	OK
blk.3.attn_kv_a_norm.weight	blk.3.attn_kv_a_norm.weight	f32	[512]	0	3	2048	OK
blk.3.attn_q_a_norm.weight	blk.3.attn_q_a_norm.weight	f32	[1024]	0	3	4096	OK
blk.3.attn_kv_latent.weight	blk.3.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	0	3	2113536	OK
blk.3.attn_output_a.weight	blk.3.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	0	3	33816576	OK
blk.3.attn_output_b.weight	blk.3.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	0	3	33816576	OK
blk.3.attn_q_a.weight	blk.3.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	0	3	4227072	OK
blk.3.attn_q_b.weight	blk.3.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	0	3	33816576	OK
blk.3.attn_norm.weight	blk.3.attn_norm.weight	f32	[4096]	0	3	16384	OK
blk.3.ffn_down_exps.weight	blk.3.ffn_down_exps.weight	mxfp4	[2048x4096x256]	0	3	1140850688	OK
blk.3.ffn_gate_exps.weight	blk.3.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	0	3	1140850688	OK
blk.3.ffn_up_exps.weight	blk.3.ffn_up_exps.weight	mxfp4	[4096x2048x256]	0	3	1140850688	OK
blk.3.exp_probs_b	blk.3.exp_probs_b	f32	[256]	0	3	1024	OK
blk.3.ffn_gate_inp.weight	blk.3.ffn_gate_inp.weight	f32	[4096x256]	0	3	4194304	OK
blk.3.ffn_gate_shexp.weight	blk.3.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	0	3	8454144	OK
blk.3.ffn_down_shexp.weight	blk.3.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	0	3	8454144	OK
blk.3.ffn_up_shexp.weight	blk.3.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	0	3	8454144	OK
blk.3.ffn_norm.weight	blk.3.ffn_norm.weight	f32	[4096]	0	3	16384	OK
blk.3.hc_attn_base	blk.3.hc_attn_base	f32	[24]	0	3	96	OK
blk.3.hc_attn_fn	blk.3.hc_attn_fn	f32	[16384x24]	0	3	1572864	OK
blk.3.hc_attn_scale	blk.3.hc_attn_scale	f32	[3]	0	3	12	OK
blk.3.hc_ffn_base	blk.3.hc_ffn_base	f32	[24]	0	3	96	OK
blk.3.hc_ffn_fn	blk.3.hc_ffn_fn	f32	[16384x24]	0	3	1572864	OK
blk.3.hc_ffn_scale	blk.3.hc_ffn_scale	f32	[3]	0	3	12	OK
blk.4.attn_sinks	blk.4.attn_sinks	f32	[64]	0	4	256	OK
blk.4.attn_compress_ape	blk.4.attn_compress_ape	f32	[1024x4]	0	4	16384	OK
blk.4.attn_compress_norm.weight	blk.4.attn_compress_norm.weight	f32	[512]	0	4	2048	OK
blk.4.attn_compress_gate.weight	blk.4.attn_compress_gate.weight	bf16	[4096x1024]	0	4	8388608	OK
blk.4.attn_compress_kv.weight	blk.4.attn_compress_kv.weight	bf16	[4096x1024]	0	4	8388608	OK
blk.4.indexer.compress_ape	blk.4.indexer.compress_ape	f32	[256x4]	0	4	4096	OK
blk.4.indexer.compress_norm.weight	blk.4.indexer.compress_norm.weight	f32	[128]	0	4	512	OK
blk.4.indexer.compress_gate.weight	blk.4.indexer.compress_gate.weight	bf16	[4096x256]	0	4	2097152	OK
blk.4.indexer.compress_kv.weight	blk.4.indexer.compress_kv.weight	bf16	[4096x256]	0	4	2097152	OK
blk.4.indexer.proj.weight	blk.4.indexer.proj.weight	bf16	[4096x64]	0	4	524288	OK
blk.4.indexer.attn_q_b.weight	blk.4.indexer.attn_q_b.weight	f8_e4m3_b128	[1024x8192]	0	4	8454144	OK
blk.4.attn_kv_a_norm.weight	blk.4.attn_kv_a_norm.weight	f32	[512]	0	4	2048	OK
blk.4.attn_q_a_norm.weight	blk.4.attn_q_a_norm.weight	f32	[1024]	0	4	4096	OK
blk.4.attn_kv_latent.weight	blk.4.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	0	4	2113536	OK
blk.4.attn_output_a.weight	blk.4.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	0	4	33816576	OK
blk.4.attn_output_b.weight	blk.4.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	0	4	33816576	OK
blk.4.attn_q_a.weight	blk.4.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	0	4	4227072	OK
blk.4.attn_q_b.weight	blk.4.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	0	4	33816576	OK
blk.4.attn_norm.weight	blk.4.attn_norm.weight	f32	[4096]	0	4	16384	OK
blk.4.ffn_down_exps.weight	blk.4.ffn_down_exps.weight	mxfp4	[2048x4096x256]	0	4	1140850688	OK
blk.4.ffn_gate_exps.weight	blk.4.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	0	4	1140850688	OK
blk.4.ffn_up_exps.weight	blk.4.ffn_up_exps.weight	mxfp4	[4096x2048x256]	0	4	1140850688	OK
blk.4.exp_probs_b	blk.4.exp_probs_b	f32	[256]	0	4	1024	OK
blk.4.ffn_gate_inp.weight	blk.4.ffn_gate_inp.weight	f32	[4096x256]	0	4	4194304	OK
blk.4.ffn_gate_shexp.weight	blk.4.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	0	4	8454144	OK
blk.4.ffn_down_shexp.weight	blk.4.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	0	4	8454144	OK
blk.4.ffn_up_shexp.weight	blk.4.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	0	4	8454144	OK
blk.4.ffn_norm.weight	blk.4.ffn_norm.weight	f32	[4096]	0	4	16384	OK
blk.4.hc_attn_base	blk.4.hc_attn_base	f32	[24]	0	4	96	OK
blk.4.hc_attn_fn	blk.4.hc_attn_fn	f32	[16384x24]	0	4	1572864	OK
blk.4.hc_attn_scale	blk.4.hc_attn_scale	f32	[3]	0	4	12	OK
blk.4.hc_ffn_base	blk.4.hc_ffn_base	f32	[24]	0	4	96	OK
blk.4.hc_ffn_fn	blk.4.hc_ffn_fn	f32	[16384x24]	0	4	1572864	OK
blk.4.hc_ffn_scale	blk.4.hc_ffn_scale	f32	[3]	0	4	12	OK
blk.5.attn_sinks	blk.5.attn_sinks	f32	[64]	0	5	256	OK
blk.5.attn_compress_ape	blk.5.attn_compress_ape	f32	[512x128]	0	5	262144	OK
