ctx_tokens	slots	fits	admitted_by_tier	worst_gpu	worst_total_bytes
131072	1	True	True	0	27980889872
131072	2	True	True	0	28067725072
131072	4	True	True	0	28241395472
131072	8	True	True	0	28588736272
262144	1	True	True	0	28066873104
262144	2	True	True	0	28239691536
262144	4	True	True	0	28585328400
262144	8	True	True	0	29276602128
524288	1	True	True	0	28238839568
524288	2	True	True	0	28583624464
524288	4	True	True	0	29273194256
524288	8	True	True	1	30998927632
1048576	1	True	True	0	28582772496
1048576	2	True	True	0	29271490320
1048576	4	True	True	1	30995519760
1048576	8	False	False	1	35126122768
