schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
expected_token_hex	3136
tokens_per_request	16
requests_per_case	4
warmup_requests	1

ctx	slots	policy	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent
1048576	1	sequential	4	0	0	4	0	4860.763	4860.649	4875.913	4877.932	19.444226	3.291466	3.085749	6.846744	10.768	22.000
1048576	2	sequential	4	0	0	4	0	8305.108	9490.375	9503.260	9503.328	18.981751	3.371659	3.160931	5.255766	11.133	22.000
