schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
expected_token_hex	3136
tokens_per_request	16
requests_per_case	8
warmup_requests	1

ctx	slots	policy	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent
1048576	1	sequential	8	0	0	8	0	4443.171	4440.152	4467.257	4470.558	35.547783	3.600787	3.375738	7.488912	11.035	20.000
1048576	2	sequential	8	0	0	8	0	8315.524	8314.633	8319.501	8319.748	33.263754	3.848032	3.607530	3.994559	11.427	20.000
