schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
expected_token_hex	3136
tokens_per_request	16
requests_per_case	8
warmup_requests	1

ctx	slots	policy	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent
1048576	1	sequential	8	0	0	8	0	4466.514	4471.490	4495.216	4495.807	35.734504	3.581972	3.358099	7.428521	10.978	20.000
1048576	2	sequential	8	0	0	8	0	8271.687	8269.274	8295.689	8295.773	33.088748	3.868384	3.626610	4.006558	12.155	20.000
