schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
expected_token_hex	3136
tokens_per_request	16
requests_per_case	4
warmup_requests	1
profile_decode	1

ctx	slots	policy	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent
1048576	2	sequential	4	0	0	4	0	8493.606	8493.553	8509.746	8509.813	16.988727	3.767204	3.531754	3.911083	11.000	20.000
1048576	4	sequential	4	0	0	4	0	17145.169	17145.163	17145.907	17145.947	17.146881	3.732457	3.499179	1.950696	11.338	40.000
262144	2	sequential	4	0	0	4	0	8460.860	8460.809	8481.919	8482.013	16.922963	3.781844	3.545478	3.926092	12.412	20.000
262144	4	sequential	4	0	0	4	0	17076.620	17076.623	17077.273	17077.360	17.078487	3.747405	3.513192	1.951441	11.182	40.000
