schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
expected_token_hex	3136
tokens_per_request	4
requests_per_case	2
warmup_requests	1
profile_decode	0
wavefront_decode	0
async_pipeline_decode	1

ctx	slots	policy	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent
262144	2	sequential	2	0	0	2	0	3978.084	3978.084	3978.391	3978.418	3.979061	2.010525	1.507893	5.331704	11.608	20.000
