schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
expected_token_hex	3136
tokens_per_request	16
requests_per_case	4
warmup_requests	1
profile_decode	0
wavefront_decode	0
async_pipeline_decode	1
async_pipeline_mode	mailbox
mtp_serving	off
mtp_top_k	5

ctx	slots	policy	mtp_serving	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent	mtp_attempted	mtp_accepted	mtp_rejected	mtp_committed	mtp_draft_ms_avg	mtp_draft_ms_total	avg_async_total_ms	avg_async_setup_ms	avg_async_host_wait_ms	avg_async_complete_ms	avg_async_wait_prev_sum_ms	avg_async_handoff_sum_ms	avg_async_device_sync_sum_ms
1048576	2	sequential	off	4	0	0	4	0	6244.617	6244.632	6265.296	6265.384	12.490544	5.123876	4.803634	5.416126	13.936	20.000	0	0	0	0	0.000	0.000	6072.623	0.268	6066.986	5.268	420.237	58.426	7.134
1048576	4	sequential	off	4	0	0	4	0	7945.475	7945.492	7945.749	7945.777	7.947069	8.053284	7.549953	4.281749	18.202	40.000	0	0	0	0	0.000	0.000	7599.400	0.258	7591.670	7.361	1610.146	168.069	14.306
