schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
expected_token_hex	3136
tokens_per_request	16
requests_per_case	4
warmup_requests	1
profile_decode	0
wavefront_decode	0
async_pipeline_decode	1
async_pipeline_mode	per-step
async_handoff	1
mtp_serving	off
mtp_top_k	5

ctx	slots	policy	mtp_serving	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent	mtp_attempted	mtp_accepted	mtp_rejected	mtp_committed	mtp_draft_ms_avg	mtp_draft_ms_total	avg_async_total_ms	avg_async_setup_ms	avg_async_host_wait_ms	avg_async_complete_ms	avg_async_wait_prev_sum_ms	avg_async_handoff_sum_ms	avg_async_device_sync_sum_ms
1048576	2	sequential	off	4	0	0	4	0	5722.314	5722.438	5726.905	5726.915	11.445916	5.591514	5.242044	5.920378	14.633	21.000	0	0	0	0	0.000	0.000	5558.764	23.276	5532.078	3.393	17825.943	38.839	3.901
1048576	4	sequential	off	4	0	0	4	0	7322.046	7322.113	7322.290	7322.307	7.323873	8.738546	8.192387	4.716378	19.025	40.000	0	0	0	0	0.000	0.000	6977.006	23.556	6949.895	3.538	18460.943	179.154	6.918
