schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
appliance_dir	
expected_token_hex	3136
tokens_per_request	2
requests_per_case	2
warmup_requests	0
profile_decode	0
wavefront_decode	0
async_pipeline_decode	1
async_pipeline_mode	per-step
async_event_handoff	1
async_handoff	0
microbatch_wait_us	200000
mtp_serving	verify
mtp_top_k	5

ctx	slots	policy	mtp_serving	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_prompt_tokens_per_second	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_prompt_response_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent	mtp_attempted	mtp_accepted	mtp_rejected	mtp_committed	mtp_draft_ms_avg	mtp_draft_ms_total	avg_async_total_ms	avg_async_setup_ms	avg_async_host_wait_ms	avg_async_complete_ms	avg_async_wait_prev_sum_ms	avg_async_handoff_sum_ms	avg_async_device_sync_sum_ms
262144	2	sequential	verify	2	0	0	2	0	4791.352	4791.352	4791.769	4791.806	4.792368	7.511943	0.834660	0.417330	3.912379	6.509399	10.850	25.000	2	2	0	0	9.081	18.163	4754.406	15.634	4736.410	2.355	19117.573	28.272	0.000
