timestamp,index,utilization.gpu [%],memory.used [MiB],memory.free [MiB]
2026/05/23 06:29:55.129, 0, 0, 0, 32495
2026/05/23 06:29:55.129, 1, 0, 0, 32495
2026/05/23 06:29:55.130, 2, 0, 0, 32495
2026/05/23 06:29:55.130, 3, 0, 0, 32495
2026/05/23 06:29:55.130, 4, 0, 0, 32495
2026/05/23 06:29:55.131, 5, 0, 0, 32495
2026/05/23 06:29:55.131, 6, 0, 0, 32495
2026/05/23 06:29:55.131, 7, 0, 0, 32495
2026/05/23 06:29:56.670, 0, 0, 16, 32479
2026/05/23 06:29:56.678, 1, 0, 16, 32479
2026/05/23 06:29:56.681, 2, 0, 16, 32479
2026/05/23 06:29:56.685, 3, 0, 16, 32479
2026/05/23 06:29:56.693, 4, 0, 16, 32479
2026/05/23 06:29:56.697, 5, 0, 16, 32479
2026/05/23 06:29:56.706, 6, 0, 16, 32479
2026/05/23 06:29:56.710, 7, 0, 16, 32479
2026/05/23 06:29:57.873, 0, 16, 21794, 10701
2026/05/23 06:29:57.874, 1, 3, 20812, 11683
2026/05/23 06:29:57.874, 2, 20, 20812, 11683
2026/05/23 06:29:57.874, 3, 23, 20812, 11683
2026/05/23 06:29:57.875, 4, 3, 20812, 11683
2026/05/23 06:29:57.875, 5, 11, 17406, 15089
2026/05/23 06:29:57.876, 6, 10, 17386, 15109
2026/05/23 06:29:57.876, 7, 12, 11582, 20913
2026/05/23 06:29:58.982, 0, 2, 21794, 10701
2026/05/23 06:29:58.983, 1, 2, 20812, 11683
2026/05/23 06:29:58.983, 2, 20, 20812, 11683
2026/05/23 06:29:58.983, 3, 28, 20812, 11683
2026/05/23 06:29:58.983, 4, 3, 20812, 11683
2026/05/23 06:29:58.984, 5, 33, 17406, 15089
2026/05/23 06:29:58.984, 6, 2, 17386, 15109
2026/05/23 06:29:58.984, 7, 3, 11582, 20913
2026/05/23 06:30:00.082, 0, 2, 21794, 10701
2026/05/23 06:30:00.083, 1, 2, 20812, 11683
