timestamp,index,utilization.gpu [%],memory.used [MiB],memory.free [MiB]
2026/05/23 06:27:05.834, 0, 0, 0, 32495
2026/05/23 06:27:05.835, 1, 0, 0, 32495
2026/05/23 06:27:05.835, 2, 0, 0, 32495
2026/05/23 06:27:05.835, 3, 0, 0, 32495
2026/05/23 06:27:05.836, 4, 0, 0, 32495
2026/05/23 06:27:05.836, 5, 0, 0, 32495
2026/05/23 06:27:05.837, 6, 0, 0, 32495
2026/05/23 06:27:05.837, 7, 0, 0, 32495
2026/05/23 06:27:07.266, 0, 0, 4, 32491
2026/05/23 06:27:07.268, 1, 0, 4, 32491
2026/05/23 06:27:07.269, 2, 0, 4, 32491
2026/05/23 06:27:07.274, 3, 0, 4, 32491
2026/05/23 06:27:07.275, 4, 0, 1, 32494
2026/05/23 06:27:07.276, 5, 0, 0, 32495
2026/05/23 06:27:07.282, 6, 0, 0, 32495
2026/05/23 06:27:07.283, 7, 0, 0, 32495
2026/05/23 06:27:08.901, 0, 0, 16, 32479
2026/05/23 06:27:08.911, 1, 0, 16, 32479
2026/05/23 06:27:08.913, 2, 0, 16, 32479
2026/05/23 06:27:08.923, 3, 0, 16, 32479
2026/05/23 06:27:08.930, 4, 0, 16, 32479
2026/05/23 06:27:08.936, 5, 0, 16, 32479
2026/05/23 06:27:08.953, 6, 0, 16, 32479
2026/05/23 06:27:08.966, 7, 0, 16, 32479
2026/05/23 06:27:10.160, 0, 2, 21794, 10701
2026/05/23 06:27:10.160, 1, 2, 20812, 11683
2026/05/23 06:27:10.160, 2, 4, 20812, 11683
2026/05/23 06:27:10.161, 3, 12, 20812, 11683
2026/05/23 06:27:10.161, 4, 13, 20812, 11683
2026/05/23 06:27:10.161, 5, 2, 17406, 15089
2026/05/23 06:27:10.161, 6, 14, 17386, 15109
2026/05/23 06:27:10.162, 7, 10, 11582, 20913
2026/05/23 06:27:11.249, 0, 2, 21794, 10701
2026/05/23 06:27:11.249, 1, 2, 20812, 11683
2026/05/23 06:27:11.250, 2, 2, 20812, 11683
