timestamp,index,utilization.gpu [%],memory.used [MiB],memory.free [MiB]
2026/05/23 06:28:35.786, 0, 0, 0, 32495
2026/05/23 06:28:35.787, 1, 0, 0, 32495
2026/05/23 06:28:35.787, 2, 0, 0, 32495
2026/05/23 06:28:35.787, 3, 0, 0, 32495
2026/05/23 06:28:35.787, 4, 0, 0, 32495
2026/05/23 06:28:35.788, 5, 0, 0, 32495
2026/05/23 06:28:35.788, 6, 0, 0, 32495
2026/05/23 06:28:35.788, 7, 0, 0, 32495
2026/05/23 06:28:37.377, 0, 0, 16, 32479
2026/05/23 06:28:37.377, 1, 0, 16, 32479
2026/05/23 06:28:37.377, 2, 0, 16, 32479
2026/05/23 06:28:37.378, 3, 0, 16, 32479
2026/05/23 06:28:37.378, 4, 0, 16, 32479
2026/05/23 06:28:37.378, 5, 0, 16, 32479
2026/05/23 06:28:37.378, 6, 0, 16, 32479
2026/05/23 06:28:37.379, 7, 0, 16, 32479
2026/05/23 06:28:38.486, 0, 1, 312, 32183
2026/05/23 06:28:38.487, 1, 1, 20812, 11683
2026/05/23 06:28:38.488, 2, 1, 20812, 11683
2026/05/23 06:28:38.489, 3, 1, 20812, 11683
2026/05/23 06:28:38.490, 4, 0, 20812, 11683
2026/05/23 06:28:38.490, 5, 1, 312, 32183
2026/05/23 06:28:38.492, 6, 1, 312, 32183
2026/05/23 06:28:38.492, 7, 0, 11582, 20913
2026/05/23 06:28:39.629, 0, 4, 21794, 10701
2026/05/23 06:28:39.629, 1, 4, 20812, 11683
2026/05/23 06:28:39.629, 2, 28, 20812, 11683
2026/05/23 06:28:39.629, 3, 21, 20812, 11683
2026/05/23 06:28:39.630, 4, 4, 20812, 11683
2026/05/23 06:28:39.630, 5, 38, 17406, 15089
2026/05/23 06:28:39.630, 6, 1, 17386, 15109
2026/05/23 06:28:39.631, 7, 3, 11582, 20913
2026/05/23 06:28:40.740, 0, 2, 21794, 10701
2026/05/23 06:28:40.740, 1, 2, 20812, 11683
2026/05/23 06:28:40.740, 2, 2, 20812, 11683
2026/05/23 06:28:40.740, 3, 2, 20812, 11683
2026/05/23 06:28:40.741, 4, 2, 20812, 11683
2026/05/23 06:28:40.741, 5, 2, 17406, 15089
2026/05/23 06:28:40.741, 6, 2, 17386, 15109
2026/05/23 06:28:40.741, 7, 2, 11582, 20913
2026/05/23 06:28:41.871, 0, 2, 21794, 10701
2026/05/23 06:28:41.871, 1, 3, 20812, 11683
2026/05/23 06:28:41.872, 2, 2, 20812, 11683
2026/05/23 06:28:41.872, 3, 2, 20812, 11683
2026/05/23 06:28:41.872, 4, 2, 20812, 11683
2026/05/23 06:28:41.872, 5, 2, 17406, 15089
2026/05/23 06:28:41.872, 6, 2, 17386, 15109
2026/05/23 06:28:41.873, 7, 2, 11582, 20913
2026/05/23 06:28:43.005, 0, 2, 21794, 10701
2026/05/23 06:28:43.005, 1, 2, 20812, 11683
2026/05/23 06:28:43.005, 2, 2, 20812, 11683
2026/05/23 06:28:43.005, 3, 2, 20812, 11683
2026/05/23 06:28:43.006, 4, 2, 20812, 11683
2026/05/23 06:28:43.006, 5, 2, 17406, 15089
2026/05/23 06:28:43.006, 6, 2, 17386, 15109
2026/05/23 06:28:43.006, 7, 2, 11582, 20913
2026/05/23 06:28:44.074, 0, 2, 21794, 10701
2026/05/23 06:28:44.074, 1, 2, 20812, 11683
2026/05/23 06:28:44.075, 2, 2, 20812, 11683
2026/05/23 06:28:44.075, 3, 2, 20812, 11683
2026/05/23 06:28:44.075, 4, 2, 20812, 11683
2026/05/23 06:28:44.075, 5, 2, 17406, 15089
2026/05/23 06:28:44.076, 6, 2, 17386, 15109
2026/05/23 06:28:44.076, 7, 2, 11582, 20913
2026/05/23 06:28:45.180, 0, 2, 21794, 10701
2026/05/23 06:28:45.180, 1, 2, 20812, 11683
2026/05/23 06:28:45.180, 2, 2, 20812, 11683
2026/05/23 06:28:45.181, 3, 4, 20812, 11683
2026/05/23 06:28:45.181, 4, 2, 20812, 11683
2026/05/23 06:28:45.181, 5, 3, 17406, 15089
2026/05/23 06:28:45.181, 6, 2, 17386, 15109
2026/05/23 06:28:45.182, 7, 2, 11582, 20913
2026/05/23 06:28:46.311, 0, 2, 21794, 10701
2026/05/23 06:28:46.311, 1, 2, 20812, 11683
2026/05/23 06:28:46.311, 2, 2, 20812, 11683
2026/05/23 06:28:46.312, 3, 2, 20812, 11683
2026/05/23 06:28:46.312, 4, 3, 20812, 11683
2026/05/23 06:28:46.312, 5, 20, 17406, 15089
2026/05/23 06:28:46.312, 6, 2, 17386, 15109
2026/05/23 06:28:46.313, 7, 2, 11582, 20913
2026/05/23 06:28:47.422, 0, 2, 21794, 10701
2026/05/23 06:28:47.423, 1, 12, 20812, 11683
2026/05/23 06:28:47.423, 2, 2, 20812, 11683
2026/05/23 06:28:47.424, 3, 2, 20812, 11683
2026/05/23 06:28:47.424, 4, 2, 20812, 11683
2026/05/23 06:28:47.424, 5, 2, 17406, 15089
2026/05/23 06:28:47.425, 6, 2, 17386, 15109
2026/05/23 06:28:47.425, 7, 2, 11582, 20913
2026/05/23 06:28:48.514, 0, 2, 21794, 10701
2026/05/23 06:28:48.515, 1, 2, 20812, 11683
2026/05/23 06:28:48.515, 2, 2, 20812, 11683
2026/05/23 06:28:48.515, 3, 2, 20812, 11683
2026/05/23 06:28:48.515, 4, 2, 20812, 11683
2026/05/23 06:28:48.516, 5, 2, 17406, 15089
2026/05/23 06:28:48.516, 6, 2, 17386, 15109
2026/05/23 06:28:48.516, 7, 2, 11582, 20913
2026/05/23 06:28:49.603, 0, 2, 21794, 10701
2026/05/23 06:28:49.604, 1, 2, 20812, 11683
2026/05/23 06:28:49.604, 2, 2, 20812, 11683
2026/05/23 06:28:49.605, 3, 1, 20812, 11683
2026/05/23 06:28:49.605, 4, 2, 20812, 11683
2026/05/23 06:28:49.606, 5, 2, 17406, 15089
2026/05/23 06:28:49.606, 6, 2, 17386, 15109
2026/05/23 06:28:49.606, 7, 2, 11582, 20913
2026/05/23 06:28:50.724, 0, 2, 21794, 10701
2026/05/23 06:28:50.725, 1, 2, 20812, 11683
2026/05/23 06:28:50.725, 2, 2, 20812, 11683
2026/05/23 06:28:50.726, 3, 16, 20812, 11683
2026/05/23 06:28:50.726, 4, 2, 20812, 11683
2026/05/23 06:28:50.726, 5, 2, 17406, 15089
2026/05/23 06:28:50.727, 6, 2, 17386, 15109
2026/05/23 06:28:50.727, 7, 2, 11582, 20913
2026/05/23 06:28:51.820, 0, 2, 21794, 10701
2026/05/23 06:28:51.820, 1, 3, 20812, 11683
2026/05/23 06:28:51.820, 2, 11, 20812, 11683
2026/05/23 06:28:51.820, 3, 2, 20812, 11683
2026/05/23 06:28:51.821, 4, 3, 20812, 11683
2026/05/23 06:28:51.821, 5, 29, 17406, 15089
2026/05/23 06:28:51.821, 6, 2, 17386, 15109
2026/05/23 06:28:51.821, 7, 4, 11582, 20913
2026/05/23 06:28:52.910, 0, 3, 21794, 10701
2026/05/23 06:28:52.911, 1, 3, 20812, 11683
2026/05/23 06:28:52.911, 2, 3, 20812, 11683
2026/05/23 06:28:52.911, 3, 3, 20812, 11683
2026/05/23 06:28:52.911, 4, 3, 20812, 11683
2026/05/23 06:28:52.912, 5, 0, 17470, 15025
2026/05/23 06:28:52.912, 6, 2, 17386, 15109
2026/05/23 06:28:52.912, 7, 5, 11582, 20913
2026/05/23 06:28:54.020, 0, 2, 21794, 10701
2026/05/23 06:28:54.021, 1, 3, 20812, 11683
2026/05/23 06:28:54.021, 2, 2, 20812, 11683
2026/05/23 06:28:54.021, 3, 9, 20812, 11683
2026/05/23 06:28:54.021, 4, 2, 20812, 11683
2026/05/23 06:28:54.022, 5, 0, 17470, 15025
2026/05/23 06:28:54.022, 6, 2, 17386, 15109
2026/05/23 06:28:54.022, 7, 2, 11582, 20913
2026/05/23 06:28:55.112, 0, 3, 21794, 10701
2026/05/23 06:28:55.113, 1, 3, 20812, 11683
2026/05/23 06:28:55.113, 2, 2, 20812, 11683
2026/05/23 06:28:55.113, 3, 3, 20812, 11683
2026/05/23 06:28:55.114, 4, 2, 20812, 11683
2026/05/23 06:28:55.114, 5, 0, 17470, 15025
2026/05/23 06:28:55.114, 6, 3, 17386, 15109
2026/05/23 06:28:55.115, 7, 3, 11582, 20913
2026/05/23 06:28:56.206, 0, 3, 21794, 10701
2026/05/23 06:28:56.206, 1, 3, 20812, 11683
2026/05/23 06:28:56.207, 2, 16, 20812, 11683
2026/05/23 06:28:56.207, 3, 3, 20812, 11683
2026/05/23 06:28:56.207, 4, 2, 20812, 11683
2026/05/23 06:28:56.207, 5, 0, 17470, 15025
2026/05/23 06:28:56.208, 6, 2, 17386, 15109
2026/05/23 06:28:56.208, 7, 2, 11582, 20913
2026/05/23 06:28:57.333, 0, 2, 21794, 10701
2026/05/23 06:28:57.334, 1, 8, 20812, 11683
2026/05/23 06:28:57.334, 2, 2, 20812, 11683
2026/05/23 06:28:57.334, 3, 5, 20812, 11683
2026/05/23 06:28:57.334, 4, 2, 20812, 11683
2026/05/23 06:28:57.335, 5, 0, 17470, 15025
2026/05/23 06:28:57.335, 6, 2, 17386, 15109
2026/05/23 06:28:57.335, 7, 2, 11582, 20913
2026/05/23 06:28:58.428, 0, 2, 21794, 10701
2026/05/23 06:28:58.428, 1, 3, 20812, 11683
2026/05/23 06:28:58.429, 2, 1, 20812, 11683
2026/05/23 06:28:58.429, 3, 4, 20812, 11683
2026/05/23 06:28:58.430, 4, 2, 20812, 11683
2026/05/23 06:28:58.430, 5, 0, 17470, 15025
2026/05/23 06:28:58.430, 6, 3, 17386, 15109
2026/05/23 06:28:58.432, 7, 2, 11582, 20913
2026/05/23 06:28:59.516, 0, 2, 21794, 10701
2026/05/23 06:28:59.516, 1, 3, 20812, 11683
2026/05/23 06:28:59.516, 2, 2, 20812, 11683
2026/05/23 06:28:59.517, 3, 7, 20812, 11683
2026/05/23 06:28:59.517, 4, 3, 20812, 11683
2026/05/23 06:28:59.517, 5, 0, 17470, 15025
2026/05/23 06:28:59.517, 6, 2, 17386, 15109
2026/05/23 06:28:59.517, 7, 2, 11582, 20913
2026/05/23 06:29:00.644, 0, 3, 21794, 10701
2026/05/23 06:29:00.644, 1, 17, 20812, 11683
2026/05/23 06:29:00.644, 2, 2, 20812, 11683
2026/05/23 06:29:00.645, 3, 8, 20812, 11683
2026/05/23 06:29:00.645, 4, 1, 20812, 11683
2026/05/23 06:29:00.645, 5, 0, 17470, 15025
