record_type	tensor_id	source_name	layer_id	family	source_dtype	source_shape	runtime_layout	owning_gpu	tp_rank	ep_rank	split_axis	shard_index	shard_count	expert_first	expert_count	kv_ratio	kv_rows_per_slot	bytes_estimate	source_pack_file	source_shard_offset	source_byte_length	kernel_family
dense_tp	token_embd.weight	token_embd.weight	-1	dense_or_embedding	bf16	[4096x129280]	source_bf16	0	0	-1	vocab	0	8	-1	0	-1	0	132382720	gpu0.weights	0	1059061760	ds4_embedding_bf16
dense_tp	token_embd.weight	token_embd.weight	-1	dense_or_embedding	bf16	[4096x129280]	source_bf16	1	1	-1	vocab	1	8	-1	0	-1	0	132382720	gpu0.weights	0	1059061760	ds4_embedding_bf16
dense_tp	token_embd.weight	token_embd.weight	-1	dense_or_embedding	bf16	[4096x129280]	source_bf16	2	2	-1	vocab	2	8	-1	0	-1	0	132382720	gpu0.weights	0	1059061760	ds4_embedding_bf16
dense_tp	token_embd.weight	token_embd.weight	-1	dense_or_embedding	bf16	[4096x129280]	source_bf16	3	3	-1	vocab	3	8	-1	0	-1	0	132382720	gpu0.weights	0	1059061760	ds4_embedding_bf16
dense_tp	token_embd.weight	token_embd.weight	-1	dense_or_embedding	bf16	[4096x129280]	source_bf16	4	4	-1	vocab	4	8	-1	0	-1	0	132382720	gpu0.weights	0	1059061760	ds4_embedding_bf16
dense_tp	token_embd.weight	token_embd.weight	-1	dense_or_embedding	bf16	[4096x129280]	source_bf16	5	5	-1	vocab	5	8	-1	0	-1	0	132382720	gpu0.weights	0	1059061760	ds4_embedding_bf16
dense_tp	token_embd.weight	token_embd.weight	-1	dense_or_embedding	bf16	[4096x129280]	source_bf16	6	6	-1	vocab	6	8	-1	0	-1	0	132382720	gpu0.weights	0	1059061760	ds4_embedding_bf16
dense_tp	token_embd.weight	token_embd.weight	-1	dense_or_embedding	bf16	[4096x129280]	source_bf16	7	7	-1	vocab	7	8	-1	0	-1	0	132382720	gpu0.weights	0	1059061760	ds4_embedding_bf16
replicated_control	blk.0.attn_sinks	blk.0.attn_sinks	0	control_or_router	f32	[64]	source_f32_control	0	0	-1	replicate	0	8	-1	0	-1	0	256	gpu0.weights	1059061760	256	ds4_attention_control
replicated_control	blk.0.attn_sinks	blk.0.attn_sinks	0	control_or_router	f32	[64]	source_f32_control	1	1	-1	replicate	1	8	-1	0	-1	0	256	gpu0.weights	1059061760	256	ds4_attention_control
replicated_control	blk.0.attn_sinks	blk.0.attn_sinks	0	control_or_router	f32	[64]	source_f32_control	2	2	-1	replicate	2	8	-1	0	-1	0	256	gpu0.weights	1059061760	256	ds4_attention_control
replicated_control	blk.0.attn_sinks	blk.0.attn_sinks	0	control_or_router	f32	[64]	source_f32_control	3	3	-1	replicate	3	8	-1	0	-1	0	256	gpu0.weights	1059061760	256	ds4_attention_control
replicated_control	blk.0.attn_sinks	blk.0.attn_sinks	0	control_or_router	f32	[64]	source_f32_control	4	4	-1	replicate	4	8	-1	0	-1	0	256	gpu0.weights	1059061760	256	ds4_attention_control
replicated_control	blk.0.attn_sinks	blk.0.attn_sinks	0	control_or_router	f32	[64]	source_f32_control	5	5	-1	replicate	5	8	-1	0	-1	0	256	gpu0.weights	1059061760	256	ds4_attention_control
replicated_control	blk.0.attn_sinks	blk.0.attn_sinks	0	control_or_router	f32	[64]	source_f32_control	6	6	-1	replicate	6	8	-1	0	-1	0	256	gpu0.weights	1059061760	256	ds4_attention_control
replicated_control	blk.0.attn_sinks	blk.0.attn_sinks	0	control_or_router	f32	[64]	source_f32_control	7	7	-1	replicate	7	8	-1	0	-1	0	256	gpu0.weights	1059061760	256	ds4_attention_control
replicated_control	blk.0.attn_kv_a_norm.weight	blk.0.attn_kv_a_norm.weight	0	control_or_router	f32	[512]	source_f32_control	0	0	-1	replicate	0	8	-1	0	-1	0	2048	gpu0.weights	1059062016	2048	ds4_attention_control
replicated_control	blk.0.attn_kv_a_norm.weight	blk.0.attn_kv_a_norm.weight	0	control_or_router	f32	[512]	source_f32_control	1	1	-1	replicate	1	8	-1	0	-1	0	2048	gpu0.weights	1059062016	2048	ds4_attention_control
replicated_control	blk.0.attn_kv_a_norm.weight	blk.0.attn_kv_a_norm.weight	0	control_or_router	f32	[512]	source_f32_control	2	2	-1	replicate	2	8	-1	0	-1	0	2048	gpu0.weights	1059062016	2048	ds4_attention_control
replicated_control	blk.0.attn_kv_a_norm.weight	blk.0.attn_kv_a_norm.weight	0	control_or_router	f32	[512]	source_f32_control	3	3	-1	replicate	3	8	-1	0	-1	0	2048	gpu0.weights	1059062016	2048	ds4_attention_control
replicated_control	blk.0.attn_kv_a_norm.weight	blk.0.attn_kv_a_norm.weight	0	control_or_router	f32	[512]	source_f32_control	4	4	-1	replicate	4	8	-1	0	-1	0	2048	gpu0.weights	1059062016	2048	ds4_attention_control
