timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/23 20:17:57.669, 0, 0, 13184, 32768
2026/05/23 20:17:57.669, 1, 0, 13184, 32768
2026/05/23 20:17:57.669, 2, 0, 13184, 32768
2026/05/23 20:17:57.670, 3, 2, 13184, 32768
2026/05/23 20:17:57.670, 4, 1, 13184, 32768
2026/05/23 20:17:57.670, 5, 0, 13184, 32768
2026/05/23 20:17:57.670, 6, 0, 13184, 32768
2026/05/23 20:17:57.670, 7, 0, 13184, 32768
2026/05/23 20:17:57.976, 0, 14, 13184, 32768
2026/05/23 20:17:57.976, 1, 15, 13184, 32768
2026/05/23 20:17:57.977, 2, 13, 13184, 32768
2026/05/23 20:17:57.977, 3, 13, 13184, 32768
2026/05/23 20:17:57.977, 4, 17, 13184, 32768
2026/05/23 20:17:57.978, 5, 17, 13184, 32768
2026/05/23 20:17:57.978, 6, 11, 13184, 32768
2026/05/23 20:17:57.979, 7, 32, 13184, 32768
2026/05/23 20:17:58.293, 0, 14, 13184, 32768
2026/05/23 20:17:58.293, 1, 15, 13184, 32768
2026/05/23 20:17:58.294, 2, 13, 13184, 32768
2026/05/23 20:17:58.294, 3, 13, 13184, 32768
2026/05/23 20:17:58.294, 4, 17, 13184, 32768
2026/05/23 20:17:58.295, 5, 17, 13184, 32768
2026/05/23 20:17:58.295, 6, 11, 13184, 32768
2026/05/23 20:17:58.295, 7, 32, 13184, 32768
2026/05/23 20:17:58.595, 0, 15, 13184, 32768
2026/05/23 20:17:58.595, 1, 15, 13184, 32768
2026/05/23 20:17:58.596, 2, 12, 13184, 32768
2026/05/23 20:17:58.596, 3, 13, 13184, 32768
2026/05/23 20:17:58.596, 4, 18, 13184, 32768
2026/05/23 20:17:58.597, 5, 17, 13184, 32768
2026/05/23 20:17:58.597, 6, 12, 13184, 32768
2026/05/23 20:17:58.598, 7, 32, 13184, 32768
2026/05/23 20:17:58.879, 0, 14, 13184, 32768
2026/05/23 20:17:58.879, 1, 14, 13184, 32768
2026/05/23 20:17:58.879, 2, 13, 13184, 32768
2026/05/23 20:17:58.880, 3, 14, 13184, 32768
2026/05/23 20:17:58.880, 4, 19, 13184, 32768
2026/05/23 20:17:58.881, 5, 17, 13184, 32768
2026/05/23 20:17:58.881, 6, 11, 13184, 32768
2026/05/23 20:17:58.881, 7, 32, 13184, 32768
2026/05/23 20:17:59.156, 0, 14, 13184, 32768
2026/05/23 20:17:59.156, 1, 13, 13184, 32768
2026/05/23 20:17:59.156, 2, 12, 13184, 32768
2026/05/23 20:17:59.157, 3, 14, 13184, 32768
2026/05/23 20:17:59.157, 4, 19, 13184, 32768
2026/05/23 20:17:59.158, 5, 17, 13184, 32768
2026/05/23 20:17:59.158, 6, 10, 13184, 32768
2026/05/23 20:17:59.158, 7, 31, 13184, 32768
2026/05/23 20:17:59.426, 0, 14, 13184, 32768
2026/05/23 20:17:59.426, 1, 15, 13184, 32768
2026/05/23 20:17:59.426, 2, 14, 13184, 32768
2026/05/23 20:17:59.427, 3, 14, 13184, 32768
2026/05/23 20:17:59.427, 4, 19, 13184, 32768
2026/05/23 20:17:59.428, 5, 18, 13184, 32768
2026/05/23 20:17:59.428, 6, 11, 13184, 32768
2026/05/23 20:17:59.428, 7, 32, 13184, 32768
2026/05/23 20:17:59.718, 0, 14, 13184, 32768
2026/05/23 20:17:59.719, 1, 14, 13184, 32768
2026/05/23 20:17:59.719, 2, 13, 13184, 32768
2026/05/23 20:17:59.719, 3, 14, 13184, 32768
2026/05/23 20:17:59.720, 4, 19, 13184, 32768
2026/05/23 20:17:59.720, 5, 17, 13184, 32768
2026/05/23 20:17:59.720, 6, 11, 13184, 32768
2026/05/23 20:17:59.721, 7, 32, 13184, 32768
2026/05/23 20:17:59.992, 0, 15, 13184, 32768
2026/05/23 20:17:59.993, 1, 16, 13184, 32768
2026/05/23 20:17:59.993, 2, 12, 13184, 32768
2026/05/23 20:17:59.993, 3, 14, 13184, 32768
2026/05/23 20:17:59.994, 4, 19, 13184, 32768
2026/05/23 20:17:59.994, 5, 17, 13184, 32768
2026/05/23 20:17:59.994, 6, 11, 13184, 32768
2026/05/23 20:17:59.995, 7, 33, 13184, 32768
2026/05/23 20:18:00.291, 0, 15, 13184, 32768
2026/05/23 20:18:00.292, 1, 15, 13184, 32768
2026/05/23 20:18:00.292, 2, 13, 13184, 32768
2026/05/23 20:18:00.293, 3, 13, 13184, 32768
2026/05/23 20:18:00.293, 4, 19, 13184, 32768
2026/05/23 20:18:00.293, 5, 17, 13184, 32768
2026/05/23 20:18:00.294, 6, 10, 13184, 32768
2026/05/23 20:18:00.294, 7, 31, 13184, 32768
2026/05/23 20:18:00.622, 0, 13, 13184, 32768
2026/05/23 20:18:00.624, 1, 15, 13184, 32768
2026/05/23 20:18:00.625, 2, 13, 13184, 32768
