timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/23 20:23:21.143, 0, 0, 13184, 32768
2026/05/23 20:23:21.144, 1, 0, 13184, 32768
2026/05/23 20:23:21.144, 2, 0, 13184, 32768
2026/05/23 20:23:21.144, 3, 0, 13184, 32768
2026/05/23 20:23:21.144, 4, 2, 13184, 32768
2026/05/23 20:23:21.145, 5, 0, 13184, 32768
2026/05/23 20:23:21.145, 6, 0, 13184, 32768
2026/05/23 20:23:21.145, 7, 0, 13184, 32768
2026/05/23 20:23:21.436, 0, 14, 13184, 32768
2026/05/23 20:23:21.437, 1, 14, 13184, 32768
2026/05/23 20:23:21.437, 2, 13, 13184, 32768
2026/05/23 20:23:21.438, 3, 13, 13184, 32768
2026/05/23 20:23:21.438, 4, 17, 13184, 32768
2026/05/23 20:23:21.439, 5, 17, 13184, 32768
2026/05/23 20:23:21.439, 6, 11, 13184, 32768
2026/05/23 20:23:21.440, 7, 32, 13184, 32768
2026/05/23 20:23:21.748, 0, 13, 13184, 32768
2026/05/23 20:23:21.749, 1, 13, 13184, 32768
2026/05/23 20:23:21.749, 2, 12, 13184, 32768
2026/05/23 20:23:21.749, 3, 14, 13184, 32768
2026/05/23 20:23:21.749, 4, 18, 13184, 32768
2026/05/23 20:23:21.750, 5, 16, 13184, 32768
2026/05/23 20:23:21.750, 6, 10, 13184, 32768
2026/05/23 20:23:21.750, 7, 32, 13184, 32768
2026/05/23 20:23:22.018, 0, 14, 13184, 32768
2026/05/23 20:23:22.019, 1, 14, 13184, 32768
2026/05/23 20:23:22.019, 2, 13, 13184, 32768
2026/05/23 20:23:22.019, 3, 14, 13184, 32768
2026/05/23 20:23:22.019, 4, 19, 13184, 32768
2026/05/23 20:23:22.019, 5, 19, 13184, 32768
2026/05/23 20:23:22.020, 6, 10, 13184, 32768
2026/05/23 20:23:22.020, 7, 32, 13184, 32768
2026/05/23 20:23:22.306, 0, 14, 13184, 32768
2026/05/23 20:23:22.306, 1, 14, 13184, 32768
2026/05/23 20:23:22.306, 2, 14, 13184, 32768
2026/05/23 20:23:22.307, 3, 15, 13184, 32768
2026/05/23 20:23:22.307, 4, 19, 13184, 32768
2026/05/23 20:23:22.307, 5, 17, 13184, 32768
2026/05/23 20:23:22.307, 6, 11, 13184, 32768
2026/05/23 20:23:22.307, 7, 33, 13184, 32768
2026/05/23 20:23:22.572, 0, 14, 13184, 32768
2026/05/23 20:23:22.572, 1, 15, 13184, 32768
2026/05/23 20:23:22.572, 2, 14, 13184, 32768
2026/05/23 20:23:22.573, 3, 15, 13184, 32768
2026/05/23 20:23:22.573, 4, 19, 13184, 32768
2026/05/23 20:23:22.573, 5, 18, 13184, 32768
2026/05/23 20:23:22.573, 6, 11, 13184, 32768
2026/05/23 20:23:22.573, 7, 32, 13184, 32768
2026/05/23 20:23:22.853, 0, 14, 13184, 32768
2026/05/23 20:23:22.854, 1, 13, 13184, 32768
2026/05/23 20:23:22.854, 2, 13, 13184, 32768
2026/05/23 20:23:22.854, 3, 14, 13184, 32768
2026/05/23 20:23:22.854, 4, 19, 13184, 32768
2026/05/23 20:23:22.855, 5, 17, 13184, 32768
2026/05/23 20:23:22.855, 6, 10, 13184, 32768
2026/05/23 20:23:22.855, 7, 32, 13184, 32768
2026/05/23 20:23:23.139, 0, 14, 13184, 32768
2026/05/23 20:23:23.139, 1, 15, 13184, 32768
2026/05/23 20:23:23.139, 2, 14, 13184, 32768
2026/05/23 20:23:23.139, 3, 15, 13184, 32768
2026/05/23 20:23:23.140, 4, 19, 13184, 32768
2026/05/23 20:23:23.140, 5, 18, 13184, 32768
2026/05/23 20:23:23.140, 6, 11, 13184, 32768
2026/05/23 20:23:23.140, 7, 32, 13184, 32768
2026/05/23 20:23:23.424, 0, 15, 13184, 32768
2026/05/23 20:23:23.424, 1, 15, 13184, 32768
2026/05/23 20:23:23.424, 2, 14, 13184, 32768
2026/05/23 20:23:23.425, 3, 15, 13184, 32768
2026/05/23 20:23:23.425, 4, 20, 13184, 32768
2026/05/23 20:23:23.425, 5, 19, 13184, 32768
2026/05/23 20:23:23.425, 6, 11, 13184, 32768
2026/05/23 20:23:23.425, 7, 33, 13184, 32768
2026/05/23 20:23:23.708, 0, 14, 13184, 32768
2026/05/23 20:23:23.708, 1, 15, 13184, 32768
2026/05/23 20:23:23.708, 2, 14, 13184, 32768
2026/05/23 20:23:23.708, 3, 15, 13184, 32768
2026/05/23 20:23:23.709, 4, 19, 13184, 32768
2026/05/23 20:23:23.709, 5, 18, 13184, 32768
2026/05/23 20:23:23.709, 6, 11, 13184, 32768
2026/05/23 20:23:23.709, 7, 33, 13184, 32768
2026/05/23 20:23:24.013, 0, 14, 13184, 32768
2026/05/23 20:23:24.014, 1, 16, 13184, 32768
2026/05/23 20:23:24.014, 2, 15, 13184, 32768
2026/05/23 20:23:24.014, 3, 16, 13184, 32768
2026/05/23 20:23:24.015, 4, 20, 13184, 32768
2026/05/23 20:23:24.015, 5, 18, 13184, 32768
2026/05/23 20:23:24.015, 6, 11, 13184, 32768
2026/05/23 20:23:24.015, 7, 32, 13184, 32768
2026/05/23 20:23:24.301, 0, 14, 13184, 32768
2026/05/23 20:23:24.302, 1, 14, 13184, 32768
2026/05/23 20:23:24.302, 2, 15, 13184, 32768
2026/05/23 20:23:24.302, 3, 16, 13184, 32768
2026/05/23 20:23:24.302, 4, 19, 13184, 32768
2026/05/23 20:23:24.303, 5, 18, 13184, 32768
2026/05/23 20:23:24.303, 6, 11, 13184, 32768
2026/05/23 20:23:24.303, 7, 32, 13184, 32768
2026/05/23 20:23:24.567, 0, 15, 13184, 32768
2026/05/23 20:23:24.567, 1, 15, 13184, 32768
2026/05/23 20:23:24.568, 2, 14, 13184, 32768
2026/05/23 20:23:24.568, 3, 16, 13184, 32768
2026/05/23 20:23:24.568, 4, 19, 13184, 32768
2026/05/23 20:23:24.568, 5, 18, 13184, 32768
2026/05/23 20:23:24.568, 6, 11, 13184, 32768
2026/05/23 20:23:24.568, 7, 32, 13184, 32768
2026/05/23 20:23:24.852, 0, 13, 13184, 32768
2026/05/23 20:23:24.853, 1, 12, 13184, 32768
2026/05/23 20:23:24.853, 2, 13, 13184, 32768
2026/05/23 20:23:24.853, 3, 14, 13184, 32768
2026/05/23 20:23:24.853, 4, 17, 13184, 32768
2026/05/23 20:23:24.854, 5, 17, 13184, 32768
2026/05/23 20:23:24.854, 6, 10, 13184, 32768
2026/05/23 20:23:24.854, 7, 32, 13184, 32768
2026/05/23 20:23:25.136, 0, 13, 13184, 32768
2026/05/23 20:23:25.137, 1, 14, 13184, 32768
2026/05/23 20:23:25.137, 2, 13, 13184, 32768
2026/05/23 20:23:25.137, 3, 14, 13184, 32768
2026/05/23 20:23:25.137, 4, 17, 13184, 32768
2026/05/23 20:23:25.137, 5, 18, 13184, 32768
2026/05/23 20:23:25.138, 6, 10, 13184, 32768
2026/05/23 20:23:25.138, 7, 32, 13184, 32768
2026/05/23 20:23:25.440, 0, 13, 13184, 32768
2026/05/23 20:23:25.441, 1, 14, 13184, 32768
2026/05/23 20:23:25.441, 2, 14, 13184, 32768
2026/05/23 20:23:25.441, 3, 15, 13184, 32768
2026/05/23 20:23:25.441, 4, 20, 13184, 32768
2026/05/23 20:23:25.441, 5, 18, 13184, 32768
2026/05/23 20:23:25.442, 6, 11, 13184, 32768
2026/05/23 20:23:25.442, 7, 32, 13184, 32768
2026/05/23 20:23:25.731, 0, 13, 13184, 32768
2026/05/23 20:23:25.731, 1, 14, 13184, 32768
2026/05/23 20:23:25.731, 2, 13, 13184, 32768
2026/05/23 20:23:25.731, 3, 15, 13184, 32768
2026/05/23 20:23:25.732, 4, 19, 13184, 32768
2026/05/23 20:23:25.732, 5, 18, 13184, 32768
2026/05/23 20:23:25.732, 6, 10, 13184, 32768
2026/05/23 20:23:25.732, 7, 32, 13184, 32768
2026/05/23 20:23:25.999, 0, 13, 13184, 32768
2026/05/23 20:23:26.000, 1, 13, 13184, 32768
2026/05/23 20:23:26.000, 2, 13, 13184, 32768
2026/05/23 20:23:26.000, 3, 14, 13184, 32768
2026/05/23 20:23:26.000, 4, 18, 13184, 32768
2026/05/23 20:23:26.001, 5, 17, 13184, 32768
2026/05/23 20:23:26.001, 6, 11, 13184, 32768
2026/05/23 20:23:26.001, 7, 32, 13184, 32768
2026/05/23 20:23:26.286, 0, 14, 13184, 32768
2026/05/23 20:23:26.286, 1, 14, 13184, 32768
2026/05/23 20:23:26.287, 2, 14, 13184, 32768
2026/05/23 20:23:26.287, 3, 15, 13184, 32768
2026/05/23 20:23:26.287, 4, 19, 13184, 32768
2026/05/23 20:23:26.287, 5, 18, 13184, 32768
2026/05/23 20:23:26.288, 6, 11, 13184, 32768
2026/05/23 20:23:26.288, 7, 32, 13184, 32768
2026/05/23 20:23:26.574, 0, 14, 13184, 32768
2026/05/23 20:23:26.574, 1, 14, 13184, 32768
2026/05/23 20:23:26.574, 2, 14, 13184, 32768
2026/05/23 20:23:26.575, 3, 15, 13184, 32768
2026/05/23 20:23:26.575, 4, 18, 13184, 32768
2026/05/23 20:23:26.575, 5, 18, 13184, 32768
2026/05/23 20:23:26.575, 6, 11, 13184, 32768
2026/05/23 20:23:26.575, 7, 32, 13184, 32768
2026/05/23 20:23:26.840, 0, 15, 13184, 32768
2026/05/23 20:23:26.840, 1, 16, 13184, 32768
2026/05/23 20:23:26.841, 2, 14, 13184, 32768
2026/05/23 20:23:26.841, 3, 15, 13184, 32768
2026/05/23 20:23:26.841, 4, 19, 13184, 32768
2026/05/23 20:23:26.841, 5, 18, 13184, 32768
2026/05/23 20:23:26.841, 6, 11, 13184, 32768
2026/05/23 20:23:26.841, 7, 33, 13184, 32768
2026/05/23 20:23:27.104, 0, 13, 13184, 32768
2026/05/23 20:23:27.104, 1, 13, 13184, 32768
2026/05/23 20:23:27.104, 2, 14, 13184, 32768
2026/05/23 20:23:27.105, 3, 14, 13184, 32768
2026/05/23 20:23:27.105, 4, 19, 13184, 32768
2026/05/23 20:23:27.105, 5, 18, 13184, 32768
2026/05/23 20:23:27.105, 6, 11, 13184, 32768
2026/05/23 20:23:27.105, 7, 32, 13184, 32768
2026/05/23 20:23:27.396, 0, 14, 13184, 32768
2026/05/23 20:23:27.397, 1, 14, 13184, 32768
2026/05/23 20:23:27.397, 2, 14, 13184, 32768
2026/05/23 20:23:27.397, 3, 15, 13184, 32768
2026/05/23 20:23:27.397, 4, 19, 13184, 32768
2026/05/23 20:23:27.398, 5, 18, 13184, 32768
2026/05/23 20:23:27.398, 6, 11, 13184, 32768
2026/05/23 20:23:27.398, 7, 32, 13184, 32768
2026/05/23 20:23:27.699, 0, 14, 13184, 32768
2026/05/23 20:23:27.699, 1, 14, 13184, 32768
2026/05/23 20:23:27.699, 2, 13, 13184, 32768
2026/05/23 20:23:27.700, 3, 15, 13184, 32768
2026/05/23 20:23:27.700, 4, 19, 13184, 32768
2026/05/23 20:23:27.700, 5, 18, 13184, 32768
2026/05/23 20:23:27.700, 6, 10, 13184, 32768
2026/05/23 20:23:27.700, 7, 32, 13184, 32768
2026/05/23 20:23:27.986, 0, 14, 13184, 32768
2026/05/23 20:23:27.987, 1, 14, 13184, 32768
2026/05/23 20:23:27.987, 2, 14, 13184, 32768
2026/05/23 20:23:27.987, 3, 15, 13184, 32768
2026/05/23 20:23:27.987, 4, 19, 13184, 32768
2026/05/23 20:23:27.988, 5, 19, 13184, 32768
2026/05/23 20:23:27.988, 6, 11, 13184, 32768
2026/05/23 20:23:27.988, 7, 32, 13184, 32768
2026/05/23 20:23:28.273, 0, 14, 13184, 32768
2026/05/23 20:23:28.273, 1, 15, 13184, 32768
2026/05/23 20:23:28.274, 2, 14, 13184, 32768
2026/05/23 20:23:28.274, 3, 14, 13184, 32768
2026/05/23 20:23:28.274, 4, 19, 13184, 32768
