timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/23 20:40:51.686, 0, 2, 13184, 32768
2026/05/23 20:40:51.686, 1, 2, 13184, 32768
2026/05/23 20:40:51.687, 2, 0, 13184, 32768
2026/05/23 20:40:51.687, 3, 0, 13184, 32768
2026/05/23 20:40:51.687, 4, 0, 13184, 32768
2026/05/23 20:40:51.688, 5, 0, 13184, 32768
2026/05/23 20:40:51.688, 6, 0, 13184, 32768
2026/05/23 20:40:51.688, 7, 0, 13184, 32768
2026/05/23 20:40:51.983, 0, 10, 13184, 32768
2026/05/23 20:40:51.983, 1, 10, 13184, 32768
2026/05/23 20:40:51.984, 2, 10, 13184, 32768
2026/05/23 20:40:51.984, 3, 10, 13184, 32768
2026/05/23 20:40:51.984, 4, 9, 13184, 32768
2026/05/23 20:40:51.985, 5, 9, 13184, 32768
2026/05/23 20:40:51.985, 6, 9, 13184, 32768
2026/05/23 20:40:51.986, 7, 32, 13184, 32768
2026/05/23 20:40:52.257, 0, 10, 13184, 32768
2026/05/23 20:40:52.257, 1, 10, 13184, 32768
2026/05/23 20:40:52.258, 2, 10, 13184, 32768
2026/05/23 20:40:52.258, 3, 10, 13184, 32768
2026/05/23 20:40:52.258, 4, 9, 13184, 32768
2026/05/23 20:40:52.259, 5, 9, 13184, 32768
2026/05/23 20:40:52.259, 6, 9, 13184, 32768
2026/05/23 20:40:52.259, 7, 32, 13184, 32768
2026/05/23 20:40:52.529, 0, 10, 13184, 32768
2026/05/23 20:40:52.529, 1, 10, 13184, 32768
2026/05/23 20:40:52.530, 2, 10, 13184, 32768
2026/05/23 20:40:52.530, 3, 10, 13184, 32768
2026/05/23 20:40:52.530, 4, 9, 13184, 32768
2026/05/23 20:40:52.531, 5, 9, 13184, 32768
2026/05/23 20:40:52.531, 6, 9, 13184, 32768
2026/05/23 20:40:52.532, 7, 32, 13184, 32768
2026/05/23 20:40:52.798, 0, 10, 13184, 32768
2026/05/23 20:40:52.799, 1, 10, 13184, 32768
2026/05/23 20:40:52.800, 2, 10, 13184, 32768
2026/05/23 20:40:52.800, 3, 10, 13184, 32768
2026/05/23 20:40:52.800, 4, 9, 13184, 32768
2026/05/23 20:40:52.801, 5, 9, 13184, 32768
2026/05/23 20:40:52.801, 6, 9, 13184, 32768
2026/05/23 20:40:52.801, 7, 32, 13184, 32768
2026/05/23 20:40:53.093, 0, 10, 13184, 32768
2026/05/23 20:40:53.093, 1, 10, 13184, 32768
2026/05/23 20:40:53.096, 2, 10, 13184, 32768
2026/05/23 20:40:53.096, 3, 10, 13184, 32768
2026/05/23 20:40:53.096, 4, 9, 13184, 32768
2026/05/23 20:40:53.097, 5, 9, 13184, 32768
2026/05/23 20:40:53.097, 6, 9, 13184, 32768
2026/05/23 20:40:53.097, 7, 32, 13184, 32768
2026/05/23 20:40:53.387, 0, 11, 13184, 32768
2026/05/23 20:40:53.387, 1, 11, 13184, 32768
2026/05/23 20:40:53.388, 2, 10, 13184, 32768
2026/05/23 20:40:53.388, 3, 10, 13184, 32768
2026/05/23 20:40:53.388, 4, 10, 13184, 32768
2026/05/23 20:40:53.389, 5, 9, 13184, 32768
2026/05/23 20:40:53.389, 6, 9, 13184, 32768
2026/05/23 20:40:53.390, 7, 32, 13184, 32768
2026/05/23 20:40:53.657, 0, 10, 13184, 32768
2026/05/23 20:40:53.658, 1, 10, 13184, 32768
2026/05/23 20:40:53.658, 2, 10, 13184, 32768
2026/05/23 20:40:53.659, 3, 10, 13184, 32768
2026/05/23 20:40:53.659, 4, 10, 13184, 32768
2026/05/23 20:40:53.659, 5, 10, 13184, 32768
2026/05/23 20:40:53.660, 6, 9, 13184, 32768
2026/05/23 20:40:53.660, 7, 32, 13184, 32768
2026/05/23 20:40:53.945, 0, 10, 13184, 32768
2026/05/23 20:40:53.945, 1, 10, 13184, 32768
2026/05/23 20:40:53.946, 2, 10, 13184, 32768
2026/05/23 20:40:53.946, 3, 10, 13184, 32768
2026/05/23 20:40:53.946, 4, 9, 13184, 32768
2026/05/23 20:40:53.947, 5, 9, 13184, 32768
2026/05/23 20:40:53.947, 6, 9, 13184, 32768
2026/05/23 20:40:53.947, 7, 32, 13184, 32768
2026/05/23 20:40:54.233, 0, 10, 13184, 32768
2026/05/23 20:40:54.233, 1, 10, 13184, 32768
2026/05/23 20:40:54.233, 2, 10, 13184, 32768
2026/05/23 20:40:54.233, 3, 10, 13184, 32768
2026/05/23 20:40:54.233, 4, 9, 13184, 32768
2026/05/23 20:40:54.234, 5, 9, 13184, 32768
2026/05/23 20:40:54.234, 6, 9, 13184, 32768
2026/05/23 20:40:54.234, 7, 32, 13184, 32768
2026/05/23 20:40:54.538, 0, 11, 13184, 32768
2026/05/23 20:40:54.538, 1, 10, 13184, 32768
2026/05/23 20:40:54.538, 2, 10, 13184, 32768
2026/05/23 20:40:54.538, 3, 10, 13184, 32768
2026/05/23 20:40:54.538, 4, 9, 13184, 32768
2026/05/23 20:40:54.539, 5, 9, 13184, 32768
2026/05/23 20:40:54.539, 6, 9, 13184, 32768
2026/05/23 20:40:54.539, 7, 32, 13184, 32768
2026/05/23 20:40:54.804, 0, 10, 13184, 32768
2026/05/23 20:40:54.804, 1, 10, 13184, 32768
2026/05/23 20:40:54.804, 2, 10, 13184, 32768
2026/05/23 20:40:54.804, 3, 10, 13184, 32768
2026/05/23 20:40:54.804, 4, 9, 13184, 32768
2026/05/23 20:40:54.805, 5, 9, 13184, 32768
2026/05/23 20:40:54.805, 6, 9, 13184, 32768
2026/05/23 20:40:54.805, 7, 32, 13184, 32768
2026/05/23 20:40:55.070, 0, 10, 13184, 32768
2026/05/23 20:40:55.071, 1, 10, 13184, 32768
2026/05/23 20:40:55.071, 2, 10, 13184, 32768
2026/05/23 20:40:55.071, 3, 10, 13184, 32768
2026/05/23 20:40:55.071, 4, 9, 13184, 32768
2026/05/23 20:40:55.072, 5, 9, 13184, 32768
2026/05/23 20:40:55.072, 6, 9, 13184, 32768
2026/05/23 20:40:55.072, 7, 32, 13184, 32768
2026/05/23 20:40:55.334, 0, 10, 13184, 32768
2026/05/23 20:40:55.335, 1, 10, 13184, 32768
2026/05/23 20:40:55.335, 2, 10, 13184, 32768
2026/05/23 20:40:55.335, 3, 10, 13184, 32768
2026/05/23 20:40:55.335, 4, 9, 13184, 32768
2026/05/23 20:40:55.335, 5, 9, 13184, 32768
2026/05/23 20:40:55.336, 6, 9, 13184, 32768
2026/05/23 20:40:55.336, 7, 32, 13184, 32768
