timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/23 20:44:17.998, 0, 0, 13184, 32768
2026/05/23 20:44:17.998, 1, 1, 13184, 32768
2026/05/23 20:44:17.999, 2, 0, 13184, 32768
2026/05/23 20:44:17.999, 3, 2, 13184, 32768
2026/05/23 20:44:17.999, 4, 0, 13184, 32768
2026/05/23 20:44:18.000, 5, 0, 13184, 32768
2026/05/23 20:44:18.000, 6, 0, 13184, 32768
2026/05/23 20:44:18.000, 7, 0, 13184, 32768
2026/05/23 20:44:18.295, 0, 10, 13184, 32768
2026/05/23 20:44:18.295, 1, 9, 13184, 32768
2026/05/23 20:44:18.296, 2, 9, 13184, 32768
2026/05/23 20:44:18.296, 3, 9, 13184, 32768
2026/05/23 20:44:18.296, 4, 9, 13184, 32768
2026/05/23 20:44:18.297, 5, 9, 13184, 32768
2026/05/23 20:44:18.297, 6, 9, 13184, 32768
2026/05/23 20:44:18.298, 7, 31, 13184, 32768
2026/05/23 20:44:18.566, 0, 10, 13184, 32768
2026/05/23 20:44:18.567, 1, 10, 13184, 32768
2026/05/23 20:44:18.567, 2, 10, 13184, 32768
2026/05/23 20:44:18.567, 3, 10, 13184, 32768
2026/05/23 20:44:18.568, 4, 9, 13184, 32768
2026/05/23 20:44:18.568, 5, 9, 13184, 32768
2026/05/23 20:44:18.569, 6, 9, 13184, 32768
2026/05/23 20:44:18.569, 7, 31, 13184, 32768
2026/05/23 20:44:18.881, 0, 10, 13184, 32768
2026/05/23 20:44:18.882, 1, 10, 13184, 32768
2026/05/23 20:44:18.882, 2, 10, 13184, 32768
2026/05/23 20:44:18.882, 3, 10, 13184, 32768
2026/05/23 20:44:18.883, 4, 9, 13184, 32768
2026/05/23 20:44:18.883, 5, 9, 13184, 32768
2026/05/23 20:44:18.883, 6, 9, 13184, 32768
2026/05/23 20:44:18.884, 7, 31, 13184, 32768
2026/05/23 20:44:19.174, 0, 10, 13184, 32768
2026/05/23 20:44:19.175, 1, 10, 13184, 32768
2026/05/23 20:44:19.175, 2, 9, 13184, 32768
2026/05/23 20:44:19.176, 3, 9, 13184, 32768
2026/05/23 20:44:19.176, 4, 9, 13184, 32768
2026/05/23 20:44:19.176, 5, 9, 13184, 32768
2026/05/23 20:44:19.177, 6, 9, 13184, 32768
2026/05/23 20:44:19.177, 7, 31, 13184, 32768
2026/05/23 20:44:19.473, 0, 10, 13184, 32768
2026/05/23 20:44:19.473, 1, 10, 13184, 32768
2026/05/23 20:44:19.473, 2, 9, 13184, 32768
2026/05/23 20:44:19.474, 3, 9, 13184, 32768
2026/05/23 20:44:19.474, 4, 9, 13184, 32768
2026/05/23 20:44:19.475, 5, 9, 13184, 32768
2026/05/23 20:44:19.475, 6, 9, 13184, 32768
2026/05/23 20:44:19.476, 7, 31, 13184, 32768
2026/05/23 20:44:19.786, 0, 10, 13184, 32768
2026/05/23 20:44:19.786, 1, 9, 13184, 32768
2026/05/23 20:44:19.787, 2, 10, 13184, 32768
2026/05/23 20:44:19.787, 3, 9, 13184, 32768
2026/05/23 20:44:19.788, 4, 9, 13184, 32768
2026/05/23 20:44:19.788, 5, 9, 13184, 32768
2026/05/23 20:44:19.788, 6, 9, 13184, 32768
2026/05/23 20:44:19.789, 7, 31, 13184, 32768
2026/05/23 20:44:20.078, 0, 10, 13184, 32768
2026/05/23 20:44:20.079, 1, 9, 13184, 32768
2026/05/23 20:44:20.079, 2, 10, 13184, 32768
2026/05/23 20:44:20.079, 3, 9, 13184, 32768
2026/05/23 20:44:20.080, 4, 9, 13184, 32768
2026/05/23 20:44:20.080, 5, 9, 13184, 32768
2026/05/23 20:44:20.080, 6, 9, 13184, 32768
2026/05/23 20:44:20.081, 7, 31, 13184, 32768
2026/05/23 20:44:20.396, 0, 10, 13184, 32768
2026/05/23 20:44:20.396, 1, 9, 13184, 32768
2026/05/23 20:44:20.397, 2, 9, 13184, 32768
2026/05/23 20:44:20.397, 3, 9, 13184, 32768
2026/05/23 20:44:20.397, 4, 9, 13184, 32768
2026/05/23 20:44:20.398, 5, 8, 13184, 32768
2026/05/23 20:44:20.398, 6, 8, 13184, 32768
2026/05/23 20:44:20.398, 7, 31, 13184, 32768
2026/05/23 20:44:20.712, 0, 10, 13184, 32768
2026/05/23 20:44:20.712, 1, 10, 13184, 32768
2026/05/23 20:44:20.712, 2, 9, 13184, 32768
2026/05/23 20:44:20.713, 3, 9, 13184, 32768
2026/05/23 20:44:20.713, 4, 9, 13184, 32768
2026/05/23 20:44:20.713, 5, 9, 13184, 32768
2026/05/23 20:44:20.714, 6, 9, 13184, 32768
2026/05/23 20:44:20.714, 7, 31, 13184, 32768
2026/05/23 20:44:20.986, 0, 10, 13184, 32768
2026/05/23 20:44:20.987, 1, 9, 13184, 32768
2026/05/23 20:44:20.987, 2, 9, 13184, 32768
2026/05/23 20:44:20.987, 3, 9, 13184, 32768
2026/05/23 20:44:20.988, 4, 9, 13184, 32768
2026/05/23 20:44:20.988, 5, 9, 13184, 32768
2026/05/23 20:44:20.988, 6, 9, 13184, 32768
2026/05/23 20:44:20.989, 7, 31, 13184, 32768
2026/05/23 20:44:21.260, 0, 10, 13184, 32768
2026/05/23 20:44:21.260, 1, 10, 13184, 32768
2026/05/23 20:44:21.261, 2, 10, 13184, 32768
2026/05/23 20:44:21.261, 3, 10, 13184, 32768
2026/05/23 20:44:21.262, 4, 9, 13184, 32768
2026/05/23 20:44:21.262, 5, 9, 13184, 32768
2026/05/23 20:44:21.262, 6, 9, 13184, 32768
2026/05/23 20:44:21.263, 7, 31, 13184, 32768
2026/05/23 20:44:21.554, 0, 10, 13184, 32768
2026/05/23 20:44:21.554, 1, 10, 13184, 32768
2026/05/23 20:44:21.555, 2, 10, 13184, 32768
2026/05/23 20:44:21.555, 3, 10, 13184, 32768
2026/05/23 20:44:21.555, 4, 9, 13184, 32768
2026/05/23 20:44:21.556, 5, 9, 13184, 32768
2026/05/23 20:44:21.556, 6, 9, 13184, 32768
2026/05/23 20:44:21.557, 7, 31, 13184, 32768
2026/05/23 20:44:21.850, 0, 10, 13184, 32768
2026/05/23 20:44:21.850, 1, 10, 13184, 32768
2026/05/23 20:44:21.850, 2, 10, 13184, 32768
2026/05/23 20:44:21.851, 3, 10, 13184, 32768
2026/05/23 20:44:21.851, 4, 9, 13184, 32768
2026/05/23 20:44:21.851, 5, 9, 13184, 32768
2026/05/23 20:44:21.852, 6, 9, 13184, 32768
2026/05/23 20:44:21.852, 7, 31, 13184, 32768
