timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/23 21:07:52.643, 0, 0, 13182, 32768
2026/05/23 21:07:52.644, 1, 0, 13182, 32768
2026/05/23 21:07:52.644, 2, 0, 13182, 32768
2026/05/23 21:07:52.644, 3, 0, 13182, 32768
2026/05/23 21:07:52.645, 4, 0, 13182, 32768
2026/05/23 21:07:52.645, 5, 0, 13182, 32768
2026/05/23 21:07:52.645, 6, 0, 13182, 32768
2026/05/23 21:07:52.645, 7, 0, 13182, 32768
2026/05/23 21:07:52.940, 0, 0, 13184, 32768
2026/05/23 21:07:52.941, 1, 1, 13184, 32768
2026/05/23 21:07:52.941, 2, 0, 13184, 32768
2026/05/23 21:07:52.942, 3, 0, 13184, 32768
2026/05/23 21:07:52.943, 4, 0, 13184, 32768
2026/05/23 21:07:52.943, 5, 0, 13184, 32768
2026/05/23 21:07:52.944, 6, 0, 13184, 32768
2026/05/23 21:07:52.944, 7, 0, 13184, 32768
2026/05/23 21:07:53.234, 0, 9, 13184, 32768
2026/05/23 21:07:53.235, 1, 9, 13184, 32768
2026/05/23 21:07:53.235, 2, 10, 13184, 32768
2026/05/23 21:07:53.235, 3, 10, 13184, 32768
2026/05/23 21:07:53.235, 4, 9, 13184, 32768
2026/05/23 21:07:53.235, 5, 9, 13184, 32768
2026/05/23 21:07:53.236, 6, 9, 13184, 32768
2026/05/23 21:07:53.236, 7, 31, 13184, 32768
2026/05/23 21:07:53.526, 0, 10, 13184, 32768
2026/05/23 21:07:53.526, 1, 10, 13184, 32768
2026/05/23 21:07:53.527, 2, 10, 13184, 32768
2026/05/23 21:07:53.527, 3, 10, 13184, 32768
2026/05/23 21:07:53.527, 4, 9, 13184, 32768
2026/05/23 21:07:53.527, 5, 9, 13184, 32768
2026/05/23 21:07:53.527, 6, 9, 13184, 32768
2026/05/23 21:07:53.528, 7, 32, 13184, 32768
2026/05/23 21:07:53.812, 0, 10, 13184, 32768
2026/05/23 21:07:53.812, 1, 10, 13184, 32768
2026/05/23 21:07:53.812, 2, 10, 13184, 32768
2026/05/23 21:07:53.813, 3, 10, 13184, 32768
2026/05/23 21:07:53.813, 4, 9, 13184, 32768
2026/05/23 21:07:53.813, 5, 9, 13184, 32768
2026/05/23 21:07:53.813, 6, 9, 13184, 32768
2026/05/23 21:07:53.813, 7, 32, 13184, 32768
2026/05/23 21:07:54.099, 0, 10, 13184, 32768
2026/05/23 21:07:54.099, 1, 10, 13184, 32768
2026/05/23 21:07:54.099, 2, 10, 13184, 32768
2026/05/23 21:07:54.100, 3, 10, 13184, 32768
2026/05/23 21:07:54.100, 4, 9, 13184, 32768
2026/05/23 21:07:54.100, 5, 9, 13184, 32768
2026/05/23 21:07:54.100, 6, 9, 13184, 32768
2026/05/23 21:07:54.100, 7, 32, 13184, 32768
2026/05/23 21:07:54.387, 0, 7, 13184, 32768
2026/05/23 21:07:54.387, 1, 6, 13184, 32768
2026/05/23 21:07:54.387, 2, 2, 13184, 32768
2026/05/23 21:07:54.388, 3, 8, 13184, 32768
2026/05/23 21:07:54.388, 4, 1, 13184, 32768
2026/05/23 21:07:54.388, 5, 8, 13184, 32768
2026/05/23 21:07:54.388, 6, 7, 13184, 32768
2026/05/23 21:07:54.389, 7, 12, 13184, 32768
2026/05/23 21:07:54.672, 0, 10, 13184, 32768
2026/05/23 21:07:54.672, 1, 10, 13184, 32768
2026/05/23 21:07:54.672, 2, 10, 13184, 32768
2026/05/23 21:07:54.672, 3, 10, 13184, 32768
2026/05/23 21:07:54.672, 4, 6, 13184, 32768
2026/05/23 21:07:54.673, 5, 9, 13184, 32768
2026/05/23 21:07:54.673, 6, 9, 13184, 32768
2026/05/23 21:07:54.673, 7, 32, 13184, 32768
2026/05/23 21:07:54.998, 0, 10, 13184, 32768
2026/05/23 21:07:54.998, 1, 10, 13184, 32768
2026/05/23 21:07:54.998, 2, 10, 13184, 32768
2026/05/23 21:07:54.998, 3, 10, 13184, 32768
2026/05/23 21:07:54.999, 4, 9, 13184, 32768
2026/05/23 21:07:54.999, 5, 9, 13184, 32768
2026/05/23 21:07:54.999, 6, 9, 13184, 32768
2026/05/23 21:07:54.999, 7, 31, 13184, 32768
2026/05/23 21:07:55.286, 0, 10, 13184, 32768
2026/05/23 21:07:55.286, 1, 10, 13184, 32768
2026/05/23 21:07:55.286, 2, 10, 13184, 32768
2026/05/23 21:07:55.287, 3, 10, 13184, 32768
2026/05/23 21:07:55.287, 4, 9, 13184, 32768
2026/05/23 21:07:55.287, 5, 9, 13184, 32768
2026/05/23 21:07:55.287, 6, 9, 13184, 32768
2026/05/23 21:07:55.287, 7, 31, 13184, 32768
2026/05/23 21:07:55.578, 0, 10, 13184, 32768
2026/05/23 21:07:55.578, 1, 10, 13184, 32768
2026/05/23 21:07:55.578, 2, 10, 13184, 32768
2026/05/23 21:07:55.578, 3, 10, 13184, 32768
2026/05/23 21:07:55.579, 4, 9, 13184, 32768
2026/05/23 21:07:55.579, 5, 9, 13184, 32768
2026/05/23 21:07:55.579, 6, 9, 13184, 32768
2026/05/23 21:07:55.579, 7, 32, 13184, 32768
2026/05/23 21:07:55.861, 0, 10, 13184, 32768
2026/05/23 21:07:55.862, 1, 10, 13184, 32768
