timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/23 21:16:24.599, 0, 0, 13182, 32768
2026/05/23 21:16:24.600, 1, 0, 13182, 32768
2026/05/23 21:16:24.600, 2, 0, 13182, 32768
2026/05/23 21:16:24.600, 3, 0, 13182, 32768
2026/05/23 21:16:24.600, 4, 0, 13182, 32768
2026/05/23 21:16:24.600, 5, 0, 13182, 32768
2026/05/23 21:16:24.601, 6, 0, 13182, 32768
2026/05/23 21:16:24.601, 7, 0, 13182, 32768
2026/05/23 21:16:24.884, 0, 0, 13184, 32768
2026/05/23 21:16:24.884, 1, 1, 13184, 32768
2026/05/23 21:16:24.885, 2, 0, 13184, 32768
2026/05/23 21:16:24.885, 3, 1, 13184, 32768
2026/05/23 21:16:24.885, 4, 0, 13184, 32768
2026/05/23 21:16:24.885, 5, 2, 13184, 32768
2026/05/23 21:16:24.885, 6, 1, 13184, 32768
2026/05/23 21:16:24.885, 7, 0, 13184, 32768
2026/05/23 21:16:25.174, 0, 7, 13184, 32768
2026/05/23 21:16:25.174, 1, 7, 13184, 32768
2026/05/23 21:16:25.175, 2, 7, 13184, 32768
2026/05/23 21:16:25.175, 3, 7, 13184, 32768
2026/05/23 21:16:25.175, 4, 7, 13184, 32768
2026/05/23 21:16:25.175, 5, 7, 13184, 32768
2026/05/23 21:16:25.175, 6, 7, 13184, 32768
2026/05/23 21:16:25.176, 7, 25, 13184, 32768
2026/05/23 21:16:25.461, 0, 10, 13184, 32768
2026/05/23 21:16:25.462, 1, 10, 13184, 32768
2026/05/23 21:16:25.462, 2, 10, 13184, 32768
2026/05/23 21:16:25.462, 3, 10, 13184, 32768
2026/05/23 21:16:25.462, 4, 9, 13184, 32768
2026/05/23 21:16:25.463, 5, 9, 13184, 32768
2026/05/23 21:16:25.463, 6, 9, 13184, 32768
2026/05/23 21:16:25.463, 7, 32, 13184, 32768
2026/05/23 21:16:25.740, 0, 10, 13184, 32768
2026/05/23 21:16:25.740, 1, 10, 13184, 32768
2026/05/23 21:16:25.740, 2, 10, 13184, 32768
2026/05/23 21:16:25.740, 3, 10, 13184, 32768
2026/05/23 21:16:25.740, 4, 9, 13184, 32768
2026/05/23 21:16:25.741, 5, 9, 13184, 32768
2026/05/23 21:16:25.741, 6, 9, 13184, 32768
2026/05/23 21:16:25.741, 7, 32, 13184, 32768
2026/05/23 21:16:26.023, 0, 10, 13184, 32768
2026/05/23 21:16:26.023, 1, 11, 13184, 32768
2026/05/23 21:16:26.023, 2, 10, 13184, 32768
2026/05/23 21:16:26.024, 3, 10, 13184, 32768
2026/05/23 21:16:26.024, 4, 9, 13184, 32768
2026/05/23 21:16:26.024, 5, 9, 13184, 32768
2026/05/23 21:16:26.024, 6, 9, 13184, 32768
2026/05/23 21:16:26.024, 7, 32, 13184, 32768
2026/05/23 21:16:26.304, 0, 10, 13184, 32768
2026/05/23 21:16:26.305, 1, 10, 13184, 32768
2026/05/23 21:16:26.306, 2, 10, 13184, 32768
2026/05/23 21:16:26.307, 3, 10, 13184, 32768
2026/05/23 21:16:26.309, 4, 8, 13184, 32768
2026/05/23 21:16:26.310, 5, 8, 13184, 32768
2026/05/23 21:16:26.311, 6, 9, 13184, 32768
2026/05/23 21:16:26.312, 7, 23, 13184, 32768
2026/05/23 21:16:26.594, 0, 6, 13184, 32768
2026/05/23 21:16:26.595, 1, 8, 13184, 32768
2026/05/23 21:16:26.596, 2, 4, 13184, 32768
2026/05/23 21:16:26.598, 3, 7, 13184, 32768
2026/05/23 21:16:26.598, 4, 8, 13184, 32768
2026/05/23 21:16:26.600, 5, 8, 13184, 32768
2026/05/23 21:16:26.601, 6, 7, 13184, 32768
2026/05/23 21:16:26.602, 7, 32, 13184, 32768
2026/05/23 21:16:26.888, 0, 10, 13184, 32768
2026/05/23 21:16:26.888, 1, 10, 13184, 32768
2026/05/23 21:16:26.889, 2, 10, 13184, 32768
2026/05/23 21:16:26.889, 3, 10, 13184, 32768
2026/05/23 21:16:26.889, 4, 9, 13184, 32768
2026/05/23 21:16:26.889, 5, 9, 13184, 32768
2026/05/23 21:16:26.889, 6, 9, 13184, 32768
2026/05/23 21:16:26.889, 7, 32, 13184, 32768
2026/05/23 21:16:27.189, 0, 10, 13184, 32768
2026/05/23 21:16:27.190, 1, 10, 13184, 32768
2026/05/23 21:16:27.190, 2, 10, 13184, 32768
2026/05/23 21:16:27.190, 3, 10, 13184, 32768
2026/05/23 21:16:27.190, 4, 9, 13184, 32768
2026/05/23 21:16:27.190, 5, 9, 13184, 32768
2026/05/23 21:16:27.191, 6, 9, 13184, 32768
2026/05/23 21:16:27.191, 7, 32, 13184, 32768
2026/05/23 21:16:27.514, 0, 10, 13184, 32768
2026/05/23 21:16:27.514, 1, 10, 13184, 32768
2026/05/23 21:16:27.515, 2, 10, 13184, 32768
2026/05/23 21:16:27.515, 3, 10, 13184, 32768
2026/05/23 21:16:27.515, 4, 9, 13184, 32768
2026/05/23 21:16:27.515, 5, 9, 13184, 32768
2026/05/23 21:16:27.515, 6, 9, 13184, 32768
2026/05/23 21:16:27.516, 7, 32, 13184, 32768
2026/05/23 21:16:27.797, 0, 10, 13184, 32768
2026/05/23 21:16:27.798, 1, 10, 13184, 32768
2026/05/23 21:16:27.798, 2, 10, 13184, 32768
2026/05/23 21:16:27.798, 3, 10, 13184, 32768
2026/05/23 21:16:27.798, 4, 9, 13184, 32768
2026/05/23 21:16:27.798, 5, 9, 13184, 32768
2026/05/23 21:16:27.799, 6, 9, 13184, 32768
2026/05/23 21:16:27.799, 7, 32, 13184, 32768
2026/05/23 21:16:28.099, 0, 10, 13184, 32768
2026/05/23 21:16:28.099, 1, 10, 13184, 32768
2026/05/23 21:16:28.099, 2, 10, 13184, 32768
2026/05/23 21:16:28.099, 3, 10, 13184, 32768
2026/05/23 21:16:28.100, 4, 9, 13184, 32768
2026/05/23 21:16:28.100, 5, 9, 13184, 32768
2026/05/23 21:16:28.100, 6, 9, 13184, 32768
2026/05/23 21:16:28.100, 7, 32, 13184, 32768
2026/05/23 21:16:28.403, 0, 10, 13184, 32768
2026/05/23 21:16:28.403, 1, 10, 13184, 32768
2026/05/23 21:16:28.403, 2, 10, 13184, 32768
2026/05/23 21:16:28.403, 3, 10, 13184, 32768
2026/05/23 21:16:28.403, 4, 9, 13184, 32768
2026/05/23 21:16:28.404, 5, 9, 13184, 32768
2026/05/23 21:16:28.404, 6, 9, 13184, 32768
2026/05/23 21:16:28.404, 7, 32, 13184, 32768
2026/05/23 21:16:28.707, 0, 10, 13184, 32768
2026/05/23 21:16:28.707, 1, 10, 13184, 32768
2026/05/23 21:16:28.708, 2, 10, 13184, 32768
2026/05/23 21:16:28.708, 3, 10, 13184, 32768
2026/05/23 21:16:28.708, 4, 9, 13184, 32768
2026/05/23 21:16:28.708, 5, 9, 13184, 32768
2026/05/23 21:16:28.709, 6, 9, 13184, 32768
2026/05/23 21:16:28.709, 7, 32, 13184, 32768
2026/05/23 21:16:29.002, 0, 10, 13184, 32768
2026/05/23 21:16:29.002, 1, 10, 13184, 32768
2026/05/23 21:16:29.002, 2, 9, 13184, 32768
2026/05/23 21:16:29.002, 3, 10, 13184, 32768
2026/05/23 21:16:29.003, 4, 9, 13184, 32768
2026/05/23 21:16:29.003, 5, 9, 13184, 32768
2026/05/23 21:16:29.003, 6, 9, 13184, 32768
2026/05/23 21:16:29.003, 7, 32, 13184, 32768
