timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/23 21:17:26.004, 0, 0, 13184, 32768
2026/05/23 21:17:26.005, 1, 0, 13184, 32768
2026/05/23 21:17:26.007, 2, 0, 13184, 32768
2026/05/23 21:17:26.008, 3, 0, 13184, 32768
2026/05/23 21:17:26.009, 4, 0, 13184, 32768
2026/05/23 21:17:26.010, 5, 0, 13182, 32768
2026/05/23 21:17:26.011, 6, 0, 13182, 32768
2026/05/23 21:17:26.012, 7, 0, 13182, 32768
2026/05/23 21:17:26.323, 0, 10, 13184, 32768
2026/05/23 21:17:26.324, 1, 10, 13184, 32768
2026/05/23 21:17:26.326, 2, 10, 13184, 32768
2026/05/23 21:17:26.327, 3, 10, 13184, 32768
2026/05/23 21:17:26.328, 4, 9, 13184, 32768
2026/05/23 21:17:26.329, 5, 7, 13184, 32768
2026/05/23 21:17:26.330, 6, 9, 13184, 32768
2026/05/23 21:17:26.331, 7, 30, 13184, 32768
2026/05/23 21:17:26.615, 0, 10, 13184, 32768
2026/05/23 21:17:26.616, 1, 10, 13184, 32768
2026/05/23 21:17:26.617, 2, 10, 13184, 32768
2026/05/23 21:17:26.618, 3, 10, 13184, 32768
2026/05/23 21:17:26.619, 4, 9, 13184, 32768
2026/05/23 21:17:26.620, 5, 9, 13184, 32768
2026/05/23 21:17:26.621, 6, 9, 13184, 32768
2026/05/23 21:17:26.623, 7, 32, 13184, 32768
2026/05/23 21:17:26.903, 0, 10, 13184, 32768
2026/05/23 21:17:26.903, 1, 10, 13184, 32768
2026/05/23 21:17:26.904, 2, 10, 13184, 32768
2026/05/23 21:17:26.904, 3, 10, 13184, 32768
2026/05/23 21:17:26.904, 4, 9, 13184, 32768
2026/05/23 21:17:26.905, 5, 9, 13184, 32768
2026/05/23 21:17:26.905, 6, 9, 13184, 32768
2026/05/23 21:17:26.905, 7, 32, 13184, 32768
2026/05/23 21:17:27.208, 0, 10, 13184, 32768
2026/05/23 21:17:27.210, 1, 10, 13184, 32768
2026/05/23 21:17:27.211, 2, 10, 13184, 32768
2026/05/23 21:17:27.212, 3, 10, 13184, 32768
2026/05/23 21:17:27.213, 4, 9, 13184, 32768
2026/05/23 21:17:27.214, 5, 9, 13184, 32768
2026/05/23 21:17:27.216, 6, 9, 13184, 32768
2026/05/23 21:17:27.217, 7, 32, 13184, 32768
