timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/23 21:54:13.504, 0, 0, 13318, 32768
2026/05/23 21:54:13.505, 1, 0, 13312, 32768
2026/05/23 21:54:13.505, 2, 0, 13312, 32768
2026/05/23 21:54:13.505, 3, 0, 13312, 32768
2026/05/23 21:54:13.506, 4, 0, 13312, 32768
2026/05/23 21:54:13.506, 5, 0, 13312, 32768
2026/05/23 21:54:13.506, 6, 0, 13312, 32768
2026/05/23 21:54:13.507, 7, 0, 13312, 32768
2026/05/23 21:54:13.774, 0, 0, 13320, 32768
2026/05/23 21:54:13.775, 1, 0, 13316, 32768
2026/05/23 21:54:13.775, 2, 0, 13316, 32768
2026/05/23 21:54:13.775, 3, 1, 13316, 32768
2026/05/23 21:54:13.775, 4, 0, 13316, 32768
2026/05/23 21:54:13.776, 5, 0, 13316, 32768
2026/05/23 21:54:13.776, 6, 0, 13316, 32768
2026/05/23 21:54:13.776, 7, 3, 13316, 32768
