timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/23 22:30:21.906, 0, 0, 13494, 32768
2026/05/23 22:30:21.906, 1, 0, 13314, 32768
2026/05/23 22:30:21.906, 2, 0, 13314, 32768
2026/05/23 22:30:21.906, 3, 0, 13314, 32768
2026/05/23 22:30:21.906, 4, 0, 13314, 32768
2026/05/23 22:30:21.907, 5, 0, 13314, 32768
2026/05/23 22:30:21.907, 6, 0, 13314, 32768
2026/05/23 22:30:21.907, 7, 0, 13314, 32768
2026/05/23 22:30:22.236, 0, 31, 13494, 32768
2026/05/23 22:30:22.236, 1, 7, 13316, 32768
2026/05/23 22:30:22.236, 2, 3, 13316, 32768
2026/05/23 22:30:22.236, 3, 6, 13316, 32768
2026/05/23 22:30:22.236, 4, 6, 13316, 32768
2026/05/23 22:30:22.237, 5, 3, 13316, 32768
2026/05/23 22:30:22.237, 6, 8, 13316, 32768
2026/05/23 22:30:22.237, 7, 8, 13316, 32768
