rank	calls	total_ms	avg_us	kernel
1	8	59.784499	7473.062375	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::bf16_dense_kernel(float*, unsigned short const *, float const *, unsigned int, unsigned int, unsigned int, unsigned int)
2	2920	56.374493	19.306333	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::f8_b128_to_half_kernel(__half*, unsigned char const *, unsigned int, unsigned int, unsigned int)
3	2880	34.845938	12.099284	void cutlass::Kernel<cutlass_70_wmma_tensorop_s161616gemm_f16_32x32_64x2_tn_align8>(cutlass_70_wmma_tensorop_s161616gemm_f16_32x32_64x2_tn_align8Params)
4	496	25.446340	51.303105	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::compressor_store_slots_kernel(float const *, float const *, float*, float*, float const *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
5	86	22.889852	266.161070	void turbomind::gemm::gemm_kernel<turbomind::gemm::GemmUniversal<turbomind::gemm::Sm70, turbomind::gemm::MainloopSm70<turbomind::gemm::Tiled_MMA_v2<turbomind::gemm::SM70_MMA_884, turbomind::gemm::MMA_Map<int=8, int=128, int=64, int=8, int=32, int=8, turbomind::gemm::Blocked<int=1, int=4, turbomind::gemm::Order>, int=1, bool=0>, turbomind::gemm::Order>, turbomind::gemm::sm70_s884::Operand_A<__half>, turbomind::gemm::IteratorSm70<turbomind::gemm::Striding, turbomind::cache_policy::Default>, turbomind::gemm::Transform_Default, turbomind::gemm::VoidOperand, int=1, turbomind::gemm::sm70_s884::Operand_B_Pack<turbomind::fp4_e2m1_t>, turbomind::gemm::IteratorSm70<turbomind::gemm::Striding, turbomind::cache_policy::Stream>, turbomind::gemm::Transform_HMMA_SIMT_B, turbomind::gemm::sm70_s884::Operand_V_Pack<unsigned char>, int=32, int=2, bool=1>, turbomind::gemm::Epilogue_<__half, int=8, int=128, int=8, int=128, int=128, turbomind::gemm::Rearrange<turbomind::gemm::Tiled_MMA_v2<turbomind::gemm::SM70_MMA_884, turbomind::gemm::MMA_Map<int=8, int=128, int=64, int=8, int=32, int=8, turbomind::gemm::Blocked<int=1, int=4, turbomind::gemm::Order>, int=1, bool=0>, turbomind::gemm::Order>>, turbomind::gemm::sm70_s884::Operand_C<float, turbomind::gemm::Order>, turbomind::gemm::Striding, bool=1>, turbomind::gemm::SchedulerSm70<turbomind::gemm::Order, int=8, int=128, int=64, int=64, int=1, int=0>>, turbomind::gemm::GemmParam, turbomind::gemm::EpilogueParam, turbomind::gemm::SchedulerSm70<turbomind::gemm::Order, int=8, int=128, int=64, int=64, int=1, int=0>>(turbomind::gemm::SM70_MMA_884, int=8, int=128)
6	512	18.792736	36.704562	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::fill_dense_input_half_from_tensor_kernel(__half*, float const *, unsigned int, unsigned int)
7	86	17.058939	198.359756	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::f32_dense_colmajor_kernel(float*, float const *, float const *, unsigned int, unsigned int, unsigned int)
8	696	14.416512	20.713379	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::gather_hc_shard_to_full_kernel(float*, float const *, int, unsigned int)
9	2016	12.092191	5.998111	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::gather_dense_shard_to_full_kernel(float*, float const *, int, unsigned int, unsigned int, unsigned int)
10	1176	11.026888	9.376605	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::bf16_to_half_kernel(__half*, unsigned short const *, unsigned long)
11	3392	8.190527	2.414660	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::cast_f32_to_half_kernel(__half*, float const *, unsigned long)
12	2536	7.622907	3.005878	void cublasLt::splitKreduce_kernel<int=32, int=16, int, float, float, float, float, bool=1, bool=0, bool=0>(cublasLt::cublasSplitKParams<float>, float const *, float const *, float const **, cublasLt::cublasSplitKParams const *, cublasLt::cublasSplitKParams const , float const *, float const , cublasLt::cublasSplitKParams const **, void*, long, cublasLt::cublasSplitKParams*, int*)
13	2536	7.450575	2.937924	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::fill_dense_input_half_from_current_kernel(__half*, float const *, unsigned int, unsigned int)
14	344	3.000074	8.721145	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::gather_current_shard_to_full_kernel(float*, float const *, int, unsigned int)
15	344	2.648863	7.700183	_GLOBAL__N__7651caed_22_ds4_v100_tp_runtime_cu_7d79089d::store_f32_device_to_f8_kv_rows_kernel(unsigned char*, unsigned long, unsigned long, unsigned long, int, float const *, unsigned long, unsigned int, unsigned long, unsigned int)
16	87	2.174476	24.993977	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::rms_norm_plain_rows_stable_kernel(float*, float const *, unsigned int, unsigned int, float)
17	344	1.746614	5.077366	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::attention_raw_swa_window_kernel(float*, float const *, float const *, float const *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
18	173	1.621361	9.372029	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::rms_norm_weight_rows_stable_kernel(float*, float const *, float const *, unsigned int, unsigned int, float)
19	709	1.464267	2.065257	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::rope_tail_rows_kernel(float*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int, float, float, float, float, float, float)
20	344	1.360284	3.954314	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::kv_fp8_round_store_raw_swa_kernel(float*, float const *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
21	344	1.315202	3.823262	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::head_rms_norm_local_heads_kernel(float*, unsigned int, unsigned int, unsigned int, float)
22	344	1.192054	3.465273	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::compose_next_hidden_compact8_kernel(float*, float const *, float const *, float const *, float const *, float const *, float const *, float const *, float const *, float const *, float const *, float const *, int const *, int const *, int const *, int const *, int const *, int const *, int const *, int const *, int, int)
23	344	1.144772	3.327826	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::pack_current_full_to_routes_kernel(__half*, float const *, int const *, int)
24	344	0.999615	2.905858	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::ep_pack_route_dest_shards_kernel(float*, __half const *, float const *, int, int)
25	344	0.930653	2.705387	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::hc_expand_shard_kernel(float*, float const *, float const *, float const *, unsigned int)
26	344	0.929840	2.703023	_GLOBAL__N__7651caed_22_ds4_v100_tp_runtime_cu_7d79089d::init_hidden_kernel(__half*, unsigned long, int)
27	344	0.925969	2.691770	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::hc_weighted_sum_shard_kernel(float*, float const *, float const *, unsigned int, int)
28	344	0.770689	2.240375	_GLOBAL__N__7651caed_22_ds4_v100_tp_runtime_cu_7d79089d::dense_kv_slice_kernel(__half*, unsigned char*, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, int, int, unsigned int, unsigned long)
29	86	0.427932	4.975953	_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::hc_split_rows_kernel(float*, float const *, float const *, float const *, unsigned int, unsigned int)
