timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/25 10:53:05.018, 0, 0, 30736, 32768
2026/05/25 10:53:05.018, 1, 0, 30370, 32768
2026/05/25 10:53:05.019, 2, 0, 30370, 32768
2026/05/25 10:53:05.019, 3, 0, 30370, 32768
2026/05/25 10:53:05.019, 4, 0, 30370, 32768
2026/05/25 10:53:05.019, 5, 0, 30370, 32768
2026/05/25 10:53:05.020, 6, 0, 30370, 32768
2026/05/25 10:53:05.020, 7, 0, 30370, 32768
2026/05/25 10:53:05.308, 0, 1, 30786, 32768
2026/05/25 10:53:05.308, 1, 0, 30424, 32768
2026/05/25 10:53:05.308, 2, 0, 30424, 32768
2026/05/25 10:53:05.309, 3, 0, 30424, 32768
2026/05/25 10:53:05.309, 4, 0, 30424, 32768
2026/05/25 10:53:05.309, 5, 0, 30424, 32768
2026/05/25 10:53:05.309, 6, 0, 30424, 32768
2026/05/25 10:53:05.309, 7, 0, 30424, 32768
2026/05/25 10:53:05.583, 0, 5, 30954, 32768
2026/05/25 10:53:05.583, 1, 1, 30596, 32768
2026/05/25 10:53:05.583, 2, 1, 30554, 32768
2026/05/25 10:53:05.584, 3, 1, 30554, 32768
2026/05/25 10:53:05.584, 4, 1, 30554, 32768
2026/05/25 10:53:05.585, 5, 1, 30554, 32768
2026/05/25 10:53:05.585, 6, 1, 30554, 32768
2026/05/25 10:53:05.585, 7, 3, 30554, 32768
2026/05/25 10:53:05.889, 0, 9, 31274, 32768
2026/05/25 10:53:05.890, 1, 1, 30922, 32768
2026/05/25 10:53:05.890, 2, 1, 30922, 32768
2026/05/25 10:53:05.890, 3, 1, 30922, 32768
2026/05/25 10:53:05.890, 4, 1, 30922, 32768
2026/05/25 10:53:05.890, 5, 3, 30922, 32768
2026/05/25 10:53:05.891, 6, 3, 30922, 32768
2026/05/25 10:53:05.891, 7, 4, 30922, 32768
2026/05/25 10:53:06.160, 0, 9, 31594, 32768
2026/05/25 10:53:06.160, 1, 1, 31250, 32768
2026/05/25 10:53:06.160, 2, 1, 31250, 32768
2026/05/25 10:53:06.160, 3, 1, 31250, 32768
2026/05/25 10:53:06.160, 4, 1, 31250, 32768
2026/05/25 10:53:06.161, 5, 3, 31250, 32768
2026/05/25 10:53:06.161, 6, 3, 31250, 32768
2026/05/25 10:53:06.161, 7, 4, 31250, 32768
2026/05/25 10:53:06.445, 0, 9, 31954, 32768
2026/05/25 10:53:06.445, 1, 1, 31616, 32768
2026/05/25 10:53:06.445, 2, 1, 31616, 32768
2026/05/25 10:53:06.446, 3, 1, 31616, 32768
2026/05/25 10:53:06.446, 4, 1, 31616, 32768
2026/05/25 10:53:06.446, 5, 3, 31576, 32768
2026/05/25 10:53:06.447, 6, 3, 31576, 32768
2026/05/25 10:53:06.447, 7, 4, 31576, 32768
2026/05/25 10:53:06.715, 0, 9, 32276, 32768
2026/05/25 10:53:06.715, 1, 1, 31942, 32768
2026/05/25 10:53:06.716, 2, 1, 31942, 32768
2026/05/25 10:53:06.716, 3, 1, 31942, 32768
2026/05/25 10:53:06.716, 4, 1, 31942, 32768
2026/05/25 10:53:06.717, 5, 3, 31942, 32768
2026/05/25 10:53:06.717, 6, 3, 31902, 32768
2026/05/25 10:53:06.717, 7, 4, 31902, 32768
2026/05/25 10:53:06.982, 0, 20, 32398, 32768
2026/05/25 10:53:06.982, 1, 1, 32066, 32768
2026/05/25 10:53:06.983, 2, 2, 32066, 32768
2026/05/25 10:53:06.983, 3, 1, 32066, 32768
2026/05/25 10:53:06.983, 4, 2, 32066, 32768
2026/05/25 10:53:06.983, 5, 3, 32066, 32768
2026/05/25 10:53:06.983, 6, 5, 32066, 32768
2026/05/25 10:53:06.984, 7, 4, 32066, 32768
2026/05/25 10:53:07.267, 0, 37, 32398, 32768
2026/05/25 10:53:07.268, 1, 4, 32066, 32768
2026/05/25 10:53:07.268, 2, 4, 32066, 32768
2026/05/25 10:53:07.268, 3, 4, 32066, 32768
2026/05/25 10:53:07.268, 4, 4, 32066, 32768
2026/05/25 10:53:07.269, 5, 9, 32066, 32768
2026/05/25 10:53:07.269, 6, 10, 32066, 32768
2026/05/25 10:53:07.269, 7, 16, 32066, 32768
2026/05/25 10:53:07.538, 0, 37, 32398, 32768
2026/05/25 10:53:07.538, 1, 3, 32066, 32768
2026/05/25 10:53:07.538, 2, 4, 32066, 32768
2026/05/25 10:53:07.538, 3, 3, 32066, 32768
2026/05/25 10:53:07.539, 4, 4, 32066, 32768
2026/05/25 10:53:07.539, 5, 8, 32066, 32768
2026/05/25 10:53:07.539, 6, 10, 32066, 32768
2026/05/25 10:53:07.539, 7, 11, 32066, 32768
2026/05/25 10:53:07.807, 0, 34, 32398, 32768
2026/05/25 10:53:07.808, 1, 3, 32066, 32768
2026/05/25 10:53:07.808, 2, 3, 32066, 32768
2026/05/25 10:53:07.808, 3, 3, 32066, 32768
2026/05/25 10:53:07.808, 4, 4, 32066, 32768
2026/05/25 10:53:07.808, 5, 8, 32066, 32768
2026/05/25 10:53:07.809, 6, 10, 32066, 32768
2026/05/25 10:53:07.809, 7, 11, 32066, 32768
2026/05/25 10:53:08.072, 0, 38, 32398, 32768
2026/05/25 10:53:08.072, 1, 3, 32066, 32768
2026/05/25 10:53:08.073, 2, 4, 32066, 32768
2026/05/25 10:53:08.073, 3, 3, 32066, 32768
2026/05/25 10:53:08.073, 4, 4, 32066, 32768
2026/05/25 10:53:08.073, 5, 11, 32066, 32768
2026/05/25 10:53:08.073, 6, 11, 32066, 32768
2026/05/25 10:53:08.073, 7, 12, 32066, 32768
2026/05/25 10:53:08.336, 0, 38, 32398, 32768
2026/05/25 10:53:08.337, 1, 5, 32066, 32768
2026/05/25 10:53:08.337, 2, 5, 32066, 32768
2026/05/25 10:53:08.337, 3, 5, 32066, 32768
2026/05/25 10:53:08.337, 4, 5, 32066, 32768
2026/05/25 10:53:08.337, 5, 10, 32066, 32768
2026/05/25 10:53:08.338, 6, 10, 32066, 32768
2026/05/25 10:53:08.338, 7, 16, 32066, 32768
2026/05/25 10:53:08.662, 0, 37, 32398, 32768
2026/05/25 10:53:08.662, 1, 4, 32066, 32768
2026/05/25 10:53:08.663, 2, 4, 32066, 32768
2026/05/25 10:53:08.663, 3, 4, 32066, 32768
2026/05/25 10:53:08.663, 4, 4, 32066, 32768
2026/05/25 10:53:08.663, 5, 9, 32066, 32768
2026/05/25 10:53:08.663, 6, 9, 32066, 32768
2026/05/25 10:53:08.664, 7, 14, 32066, 32768
2026/05/25 10:53:08.927, 0, 28, 32398, 32768
2026/05/25 10:53:08.928, 1, 3, 32066, 32768
2026/05/25 10:53:08.928, 2, 4, 32066, 32768
2026/05/25 10:53:08.928, 3, 3, 32066, 32768
2026/05/25 10:53:08.928, 4, 3, 32066, 32768
2026/05/25 10:53:08.928, 5, 8, 32066, 32768
2026/05/25 10:53:08.929, 6, 7, 32066, 32768
2026/05/25 10:53:08.929, 7, 11, 32066, 32768
2026/05/25 10:53:09.214, 0, 31, 32398, 32768
2026/05/25 10:53:09.214, 1, 4, 32066, 32768
2026/05/25 10:53:09.215, 2, 4, 32066, 32768
2026/05/25 10:53:09.215, 3, 4, 32066, 32768
2026/05/25 10:53:09.215, 4, 4, 32066, 32768
2026/05/25 10:53:09.215, 5, 10, 32066, 32768
2026/05/25 10:53:09.215, 6, 8, 32066, 32768
2026/05/25 10:53:09.216, 7, 16, 32066, 32768
2026/05/25 10:53:09.502, 0, 38, 32398, 32768
2026/05/25 10:53:09.502, 1, 4, 32066, 32768
2026/05/25 10:53:09.503, 2, 4, 32066, 32768
2026/05/25 10:53:09.503, 3, 4, 32066, 32768
2026/05/25 10:53:09.503, 4, 4, 32066, 32768
2026/05/25 10:53:09.503, 5, 11, 32066, 32768
2026/05/25 10:53:09.504, 6, 11, 32066, 32768
2026/05/25 10:53:09.504, 7, 16, 32066, 32768
2026/05/25 10:53:09.806, 0, 28, 32398, 32768
2026/05/25 10:53:09.807, 1, 5, 32066, 32768
2026/05/25 10:53:09.807, 2, 5, 32066, 32768
2026/05/25 10:53:09.807, 3, 5, 32066, 32768
2026/05/25 10:53:09.807, 4, 5, 32066, 32768
2026/05/25 10:53:09.807, 5, 10, 32066, 32768
2026/05/25 10:53:09.808, 6, 7, 32066, 32768
2026/05/25 10:53:09.808, 7, 16, 32066, 32768
2026/05/25 10:53:10.072, 0, 28, 32398, 32768
2026/05/25 10:53:10.073, 1, 4, 32066, 32768
2026/05/25 10:53:10.073, 2, 4, 32066, 32768
2026/05/25 10:53:10.073, 3, 4, 32066, 32768
2026/05/25 10:53:10.073, 4, 4, 32066, 32768
2026/05/25 10:53:10.073, 5, 9, 32066, 32768
2026/05/25 10:53:10.074, 6, 7, 32066, 32768
2026/05/25 10:53:10.074, 7, 13, 32066, 32768
2026/05/25 10:53:10.357, 0, 27, 32398, 32768
2026/05/25 10:53:10.357, 1, 4, 32066, 32768
2026/05/25 10:53:10.358, 2, 4, 32066, 32768
2026/05/25 10:53:10.358, 3, 4, 32066, 32768
2026/05/25 10:53:10.358, 4, 3, 32066, 32768
2026/05/25 10:53:10.358, 5, 9, 32066, 32768
2026/05/25 10:53:10.358, 6, 6, 32066, 32768
2026/05/25 10:53:10.359, 7, 16, 32066, 32768
2026/05/25 10:53:10.644, 0, 38, 32398, 32768
2026/05/25 10:53:10.644, 1, 4, 32066, 32768
2026/05/25 10:53:10.644, 2, 4, 32066, 32768
2026/05/25 10:53:10.644, 3, 4, 32066, 32768
2026/05/25 10:53:10.645, 4, 4, 32066, 32768
2026/05/25 10:53:10.645, 5, 10, 32066, 32768
2026/05/25 10:53:10.645, 6, 10, 32066, 32768
2026/05/25 10:53:10.645, 7, 16, 32066, 32768
2026/05/25 10:53:10.928, 0, 32, 32398, 32768
2026/05/25 10:53:10.928, 1, 4, 32066, 32768
2026/05/25 10:53:10.928, 2, 3, 32066, 32768
2026/05/25 10:53:10.929, 3, 4, 32066, 32768
2026/05/25 10:53:10.929, 4, 3, 32066, 32768
2026/05/25 10:53:10.929, 5, 11, 32066, 32768
2026/05/25 10:53:10.929, 6, 9, 32066, 32768
2026/05/25 10:53:10.929, 7, 17, 32066, 32768
2026/05/25 10:53:11.225, 0, 28, 32398, 32768
2026/05/25 10:53:11.226, 1, 3, 32066, 32768
2026/05/25 10:53:11.226, 2, 3, 32066, 32768
2026/05/25 10:53:11.226, 3, 3, 32066, 32768
2026/05/25 10:53:11.226, 4, 3, 32066, 32768
2026/05/25 10:53:11.227, 5, 8, 32066, 32768
2026/05/25 10:53:11.227, 6, 7, 32066, 32768
2026/05/25 10:53:11.227, 7, 13, 32066, 32768
2026/05/25 10:53:11.514, 0, 28, 32398, 32768
2026/05/25 10:53:11.514, 1, 4, 32066, 32768
2026/05/25 10:53:11.515, 2, 4, 32066, 32768
2026/05/25 10:53:11.515, 3, 4, 32066, 32768
2026/05/25 10:53:11.515, 4, 4, 32066, 32768
2026/05/25 10:53:11.515, 5, 9, 32066, 32768
2026/05/25 10:53:11.515, 6, 7, 32066, 32768
2026/05/25 10:53:11.516, 7, 16, 32066, 32768
2026/05/25 10:53:11.780, 0, 38, 32398, 32768
2026/05/25 10:53:11.781, 1, 4, 32066, 32768
2026/05/25 10:53:11.781, 2, 4, 32066, 32768
2026/05/25 10:53:11.781, 3, 4, 32066, 32768
2026/05/25 10:53:11.781, 4, 4, 32066, 32768
2026/05/25 10:53:11.781, 5, 10, 32066, 32768
2026/05/25 10:53:11.782, 6, 10, 32066, 32768
2026/05/25 10:53:11.782, 7, 16, 32066, 32768
2026/05/25 10:53:12.085, 0, 36, 32398, 32768
2026/05/25 10:53:12.086, 1, 4, 32066, 32768
2026/05/25 10:53:12.086, 2, 3, 32066, 32768
2026/05/25 10:53:12.086, 3, 4, 32066, 32768
2026/05/25 10:53:12.086, 4, 3, 32066, 32768
2026/05/25 10:53:12.086, 5, 7, 32066, 32768
2026/05/25 10:53:12.087, 6, 9, 32066, 32768
2026/05/25 10:53:12.087, 7, 16, 32066, 32768
2026/05/25 10:53:12.352, 0, 30, 32398, 32768
2026/05/25 10:53:12.352, 1, 3, 32066, 32768
2026/05/25 10:53:12.352, 2, 3, 32066, 32768
2026/05/25 10:53:12.352, 3, 3, 32066, 32768
2026/05/25 10:53:12.353, 4, 3, 32066, 32768
2026/05/25 10:53:12.353, 5, 7, 32066, 32768
2026/05/25 10:53:12.353, 6, 8, 32066, 32768
2026/05/25 10:53:12.353, 7, 11, 32066, 32768
2026/05/25 10:53:12.653, 0, 28, 32398, 32768
2026/05/25 10:53:12.654, 1, 4, 32066, 32768
2026/05/25 10:53:12.654, 2, 3, 32066, 32768
2026/05/25 10:53:12.654, 3, 3, 32066, 32768
2026/05/25 10:53:12.654, 4, 3, 32066, 32768
2026/05/25 10:53:12.654, 5, 8, 32066, 32768
2026/05/25 10:53:12.654, 6, 7, 32066, 32768
2026/05/25 10:53:12.655, 7, 13, 32066, 32768
2026/05/25 10:53:12.964, 0, 39, 32398, 32768
2026/05/25 10:53:12.964, 1, 8, 32066, 32768
2026/05/25 10:53:12.964, 2, 9, 32066, 32768
2026/05/25 10:53:12.965, 3, 6, 32066, 32768
2026/05/25 10:53:12.965, 4, 8, 32066, 32768
2026/05/25 10:53:12.965, 5, 15, 32066, 32768
2026/05/25 10:53:12.965, 6, 10, 32066, 32768
2026/05/25 10:53:12.966, 7, 16, 32066, 32768
2026/05/25 10:53:13.232, 0, 37, 32398, 32768
2026/05/25 10:53:13.232, 1, 5, 32066, 32768
2026/05/25 10:53:13.232, 2, 3, 32066, 32768
2026/05/25 10:53:13.232, 3, 6, 32066, 32768
2026/05/25 10:53:13.233, 4, 4, 32066, 32768
2026/05/25 10:53:13.233, 5, 7, 32066, 32768
2026/05/25 10:53:13.233, 6, 9, 32066, 32768
2026/05/25 10:53:13.233, 7, 15, 32066, 32768
2026/05/25 10:53:13.537, 0, 29, 32398, 32768
2026/05/25 10:53:13.538, 1, 7, 32066, 32768
2026/05/25 10:53:13.538, 2, 7, 32066, 32768
2026/05/25 10:53:13.538, 3, 7, 32066, 32768
2026/05/25 10:53:13.538, 4, 7, 32066, 32768
2026/05/25 10:53:13.539, 5, 11, 32066, 32768
2026/05/25 10:53:13.539, 6, 7, 32066, 32768
2026/05/25 10:53:13.539, 7, 14, 32066, 32768
2026/05/25 10:53:13.826, 0, 30, 32398, 32768
2026/05/25 10:53:13.827, 1, 8, 32066, 32768
2026/05/25 10:53:13.827, 2, 7, 32066, 32768
2026/05/25 10:53:13.827, 3, 8, 32066, 32768
2026/05/25 10:53:13.827, 4, 7, 32066, 32768
2026/05/25 10:53:13.827, 5, 11, 32066, 32768
2026/05/25 10:53:13.828, 6, 11, 32066, 32768
2026/05/25 10:53:13.828, 7, 16, 32066, 32768
2026/05/25 10:53:14.098, 0, 38, 32398, 32768
2026/05/25 10:53:14.098, 1, 4, 32066, 32768
2026/05/25 10:53:14.099, 2, 4, 32066, 32768
2026/05/25 10:53:14.099, 3, 4, 32066, 32768
2026/05/25 10:53:14.099, 4, 4, 32066, 32768
2026/05/25 10:53:14.099, 5, 10, 32066, 32768
2026/05/25 10:53:14.099, 6, 10, 32066, 32768
2026/05/25 10:53:14.100, 7, 16, 32066, 32768
