timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/25 11:11:24.055, 0, 0, 30736, 32768
2026/05/25 11:11:24.055, 1, 0, 30370, 32768
2026/05/25 11:11:24.056, 2, 0, 30370, 32768
2026/05/25 11:11:24.056, 3, 0, 30370, 32768
2026/05/25 11:11:24.056, 4, 0, 30370, 32768
2026/05/25 11:11:24.056, 5, 0, 30370, 32768
2026/05/25 11:11:24.056, 6, 0, 30370, 32768
2026/05/25 11:11:24.057, 7, 0, 30370, 32768
2026/05/25 11:11:24.344, 0, 0, 30794, 32768
2026/05/25 11:11:24.345, 1, 0, 30432, 32768
2026/05/25 11:11:24.345, 2, 0, 30432, 32768
2026/05/25 11:11:24.345, 3, 1, 30432, 32768
2026/05/25 11:11:24.345, 4, 0, 30432, 32768
2026/05/25 11:11:24.346, 5, 1, 30432, 32768
2026/05/25 11:11:24.346, 6, 0, 30432, 32768
2026/05/25 11:11:24.346, 7, 0, 30432, 32768
2026/05/25 11:11:24.652, 0, 9, 31114, 32768
2026/05/25 11:11:24.652, 1, 1, 30760, 32768
2026/05/25 11:11:24.653, 2, 1, 30760, 32768
2026/05/25 11:11:24.653, 3, 1, 30760, 32768
2026/05/25 11:11:24.653, 4, 1, 30760, 32768
2026/05/25 11:11:24.654, 5, 2, 30760, 32768
2026/05/25 11:11:24.654, 6, 3, 30758, 32768
2026/05/25 11:11:24.654, 7, 4, 30718, 32768
2026/05/25 11:11:24.948, 0, 7, 31434, 32768
2026/05/25 11:11:24.948, 1, 1, 31086, 32768
2026/05/25 11:11:24.948, 2, 1, 31086, 32768
2026/05/25 11:11:24.948, 3, 1, 31086, 32768
2026/05/25 11:11:24.948, 4, 1, 31086, 32768
2026/05/25 11:11:24.949, 5, 3, 31086, 32768
2026/05/25 11:11:24.949, 6, 3, 31086, 32768
2026/05/25 11:11:24.949, 7, 4, 31086, 32768
2026/05/25 11:11:25.239, 0, 9, 31794, 32768
2026/05/25 11:11:25.240, 1, 1, 31452, 32768
2026/05/25 11:11:25.240, 2, 1, 31452, 32768
2026/05/25 11:11:25.240, 3, 1, 31452, 32768
2026/05/25 11:11:25.241, 4, 1, 31452, 32768
2026/05/25 11:11:25.241, 5, 3, 31452, 32768
2026/05/25 11:11:25.241, 6, 3, 31436, 32768
2026/05/25 11:11:25.242, 7, 3, 31412, 32768
2026/05/25 11:11:25.514, 0, 9, 32114, 32768
2026/05/25 11:11:25.515, 1, 1, 31780, 32768
2026/05/25 11:11:25.515, 2, 1, 31780, 32768
2026/05/25 11:11:25.515, 3, 1, 31780, 32768
2026/05/25 11:11:25.516, 4, 1, 31780, 32768
2026/05/25 11:11:25.516, 5, 3, 31780, 32768
2026/05/25 11:11:25.516, 6, 3, 31746, 32768
2026/05/25 11:11:25.517, 7, 4, 31738, 32768
2026/05/25 11:11:25.806, 0, 9, 32398, 32768
2026/05/25 11:11:25.806, 1, 1, 32066, 32768
