timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/25 11:48:11.273, 0, 0, 30776, 32768
2026/05/25 11:48:11.274, 1, 0, 30414, 32768
2026/05/25 11:48:11.274, 2, 0, 30414, 32768
2026/05/25 11:48:11.275, 3, 0, 30414, 32768
2026/05/25 11:48:11.275, 4, 0, 30380, 32768
2026/05/25 11:48:11.275, 5, 0, 30370, 32768
2026/05/25 11:48:11.276, 6, 0, 30370, 32768
2026/05/25 11:48:11.276, 7, 0, 30370, 32768
2026/05/25 11:48:11.851, 0, 8, 31114, 32768
2026/05/25 11:48:11.852, 1, 1, 30760, 32768
2026/05/25 11:48:11.852, 2, 1, 30760, 32768
2026/05/25 11:48:11.852, 3, 1, 30760, 32768
2026/05/25 11:48:11.853, 4, 1, 30760, 32768
2026/05/25 11:48:11.853, 5, 3, 30760, 32768
2026/05/25 11:48:11.853, 6, 2, 30760, 32768
2026/05/25 11:48:11.853, 7, 4, 30742, 32768
2026/05/25 11:48:12.464, 0, 9, 31834, 32768
2026/05/25 11:48:12.464, 1, 1, 31494, 32768
2026/05/25 11:48:12.464, 2, 1, 31494, 32768
2026/05/25 11:48:12.465, 3, 1, 31494, 32768
2026/05/25 11:48:12.465, 4, 1, 31494, 32768
2026/05/25 11:48:12.465, 5, 3, 31494, 32768
2026/05/25 11:48:12.465, 6, 3, 31494, 32768
2026/05/25 11:48:12.465, 7, 4, 31494, 32768
2026/05/25 11:48:13.032, 0, 10, 32398, 32768
2026/05/25 11:48:13.032, 1, 1, 32066, 32768
2026/05/25 11:48:13.032, 2, 1, 32066, 32768
2026/05/25 11:48:13.032, 3, 1, 32066, 32768
2026/05/25 11:48:13.033, 4, 1, 32066, 32768
2026/05/25 11:48:13.033, 5, 3, 32066, 32768
2026/05/25 11:48:13.033, 6, 3, 32066, 32768
2026/05/25 11:48:13.033, 7, 4, 32066, 32768
2026/05/25 11:48:13.599, 0, 27, 32398, 32768
2026/05/25 11:48:13.600, 1, 4, 32066, 32768
2026/05/25 11:48:13.600, 2, 3, 32066, 32768
2026/05/25 11:48:13.600, 3, 4, 32066, 32768
2026/05/25 11:48:13.600, 4, 4, 32066, 32768
2026/05/25 11:48:13.600, 5, 8, 32066, 32768
2026/05/25 11:48:13.601, 6, 9, 32066, 32768
2026/05/25 11:48:13.601, 7, 14, 32066, 32768
2026/05/25 11:48:14.165, 0, 30, 32398, 32768
2026/05/25 11:48:14.165, 1, 4, 32066, 32768
2026/05/25 11:48:14.166, 2, 4, 32066, 32768
2026/05/25 11:48:14.166, 3, 4, 32066, 32768
2026/05/25 11:48:14.166, 4, 4, 32066, 32768
2026/05/25 11:48:14.166, 5, 8, 32066, 32768
2026/05/25 11:48:14.167, 6, 11, 32066, 32768
2026/05/25 11:48:14.167, 7, 16, 32066, 32768
2026/05/25 11:48:14.732, 0, 29, 32398, 32768
2026/05/25 11:48:14.732, 1, 4, 32066, 32768
2026/05/25 11:48:14.732, 2, 3, 32066, 32768
2026/05/25 11:48:14.733, 3, 3, 32066, 32768
2026/05/25 11:48:14.733, 4, 3, 32066, 32768
2026/05/25 11:48:14.733, 5, 9, 32066, 32768
2026/05/25 11:48:14.733, 6, 10, 32066, 32768
2026/05/25 11:48:14.733, 7, 15, 32066, 32768
2026/05/25 11:48:15.321, 0, 27, 32398, 32768
2026/05/25 11:48:15.321, 1, 4, 32066, 32768
2026/05/25 11:48:15.321, 2, 3, 32066, 32768
2026/05/25 11:48:15.321, 3, 4, 32066, 32768
2026/05/25 11:48:15.321, 4, 3, 32066, 32768
2026/05/25 11:48:15.322, 5, 10, 32066, 32768
2026/05/25 11:48:15.322, 6, 10, 32066, 32768
2026/05/25 11:48:15.322, 7, 16, 32066, 32768
2026/05/25 11:48:15.908, 0, 31, 32398, 32768
2026/05/25 11:48:15.909, 1, 4, 32066, 32768
2026/05/25 11:48:15.909, 2, 4, 32066, 32768
2026/05/25 11:48:15.909, 3, 3, 32066, 32768
2026/05/25 11:48:15.909, 4, 3, 32066, 32768
