tensor_id	source_name	layer_id	candidate_family	source_dtype	source_shape	runtime_layout	owning_gpu	tp_rank	shard_index	shard_count	M	N	K	source_bytes	int8_qk	int8_data_bytes	int8_scale_bytes	int8_total_bytes	byte_delta	kernel_hint	decision
blk.2.attn_compress_gate.weight	blk.2.attn_compress_gate.weight	2	attn_compressor_bf16	bf16	[4096x1024]	source_bf16	0	0	0	8	32	128	4096	1048576	32	524288	32768	557056	-491520	tc_grid_int8_v13_rf_v5_or_v12_ms3	primary candidate; tc-grid INT8 v13_rf/v12_ms3 shape family
blk.2.attn_compress_gate.weight	blk.2.attn_compress_gate.weight	2	attn_compressor_bf16	bf16	[4096x1024]	source_bf16	1	1	1	8	32	128	4096	1048576	32	524288	32768	557056	-491520	tc_grid_int8_v13_rf_v5_or_v12_ms3	primary candidate; tc-grid INT8 v13_rf/v12_ms3 shape family
blk.2.attn_compress_gate.weight	blk.2.attn_compress_gate.weight	2	attn_compressor_bf16	bf16	[4096x1024]	source_bf16	2	2	2	8	32	128	4096	1048576	32	524288	32768	557056	-491520	tc_grid_int8_v13_rf_v5_or_v12_ms3	primary candidate; tc-grid INT8 v13_rf/v12_ms3 shape family
blk.2.attn_compress_gate.weight	blk.2.attn_compress_gate.weight	2	attn_compressor_bf16	bf16	[4096x1024]	source_bf16	3	3	3	8	32	128	4096	1048576	32	524288	32768	557056	-491520	tc_grid_int8_v13_rf_v5_or_v12_ms3	primary candidate; tc-grid INT8 v13_rf/v12_ms3 shape family
blk.2.attn_compress_gate.weight	blk.2.attn_compress_gate.weight	2	attn_compressor_bf16	bf16	[4096x1024]	source_bf16	4	4	4	8	32	128	4096	1048576	32	524288	32768	557056	-491520	tc_grid_int8_v13_rf_v5_or_v12_ms3	primary candidate; tc-grid INT8 v13_rf/v12_ms3 shape family
blk.2.attn_compress_gate.weight	blk.2.attn_compress_gate.weight	2	attn_compressor_bf16	bf16	[4096x1024]	source_bf16	5	5	5	8	32	128	4096	1048576	32	524288	32768	557056	-491520	tc_grid_int8_v13_rf_v5_or_v12_ms3	primary candidate; tc-grid INT8 v13_rf/v12_ms3 shape family
blk.2.attn_compress_gate.weight	blk.2.attn_compress_gate.weight	2	attn_compressor_bf16	bf16	[4096x1024]	source_bf16	6	6	6	8	32	128	4096	1048576	32	524288	32768	557056	-491520	tc_grid_int8_v13_rf_v5_or_v12_ms3	primary candidate; tc-grid INT8 v13_rf/v12_ms3 shape family
blk.2.attn_compress_gate.weight	blk.2.attn_compress_gate.weight	2	attn_compressor_bf16	bf16	[4096x1024]	source_bf16	7	7	7	8	32	128	4096	1048576	32	524288	32768	557056	-491520	tc_grid_int8_v13_rf_v5_or_v12_ms3	primary candidate; tc-grid INT8 v13_rf/v12_ms3 shape family
blk.2.attn_compress_kv.weight	blk.2.attn_compress_kv.weight	2	attn_compressor_bf16	bf16	[4096x1024]	source_bf16	0	0	0	8	32	128	4096	1048576	32	524288	32768	557056	-491520	tc_grid_int8_v13_rf_v5_or_v12_ms3	primary candidate; tc-grid INT8 v13_rf/v12_ms3 shape family
blk.2.attn_compress_kv.weight	blk.2.attn_compress_kv.weight	2	attn_compressor_bf16	bf16	[4096x1024]	source_bf16	1	1	1	8	32	128	4096	1048576	32	524288	32768	557056	-491520	tc_grid_int8_v13_rf_v5_or_v12_ms3	primary candidate; tc-grid INT8 v13_rf/v12_ms3 shape family
