timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 00:43:23.516, 0, 0, 30792, 32768
2026/05/26 00:43:23.517, 1, 0, 30422, 32768
2026/05/26 00:43:23.518, 2, 0, 30420, 32768
2026/05/26 00:43:23.519, 3, 0, 30372, 32768
2026/05/26 00:43:23.520, 4, 0, 30372, 32768
2026/05/26 00:43:23.520, 5, 0, 30372, 32768
2026/05/26 00:43:23.521, 6, 0, 30372, 32768
2026/05/26 00:43:23.521, 7, 0, 30372, 32768
2026/05/26 00:43:24.133, 0, 0, 30862, 32768
2026/05/26 00:43:24.133, 1, 0, 30480, 32768
2026/05/26 00:43:24.134, 2, 0, 30480, 32768
2026/05/26 00:43:24.134, 3, 0, 30480, 32768
2026/05/26 00:43:24.134, 4, 0, 30480, 32768
2026/05/26 00:43:24.135, 5, 0, 30480, 32768
2026/05/26 00:43:24.135, 6, 0, 30480, 32768
2026/05/26 00:43:24.135, 7, 0, 30480, 32768
2026/05/26 00:43:24.772, 0, 0, 31062, 32768
2026/05/26 00:43:24.772, 1, 0, 30684, 32768
2026/05/26 00:43:24.773, 2, 0, 30684, 32768
2026/05/26 00:43:24.773, 3, 0, 30684, 32768
2026/05/26 00:43:24.773, 4, 0, 30684, 32768
2026/05/26 00:43:24.773, 5, 0, 30684, 32768
2026/05/26 00:43:24.773, 6, 0, 30684, 32768
2026/05/26 00:43:24.773, 7, 0, 30684, 32768
2026/05/26 00:43:25.449, 0, 0, 31302, 32768
2026/05/26 00:43:25.449, 1, 0, 30928, 32768
2026/05/26 00:43:25.450, 2, 0, 30928, 32768
2026/05/26 00:43:25.450, 3, 0, 30928, 32768
2026/05/26 00:43:25.450, 4, 0, 30928, 32768
2026/05/26 00:43:25.451, 5, 0, 30928, 32768
2026/05/26 00:43:25.451, 6, 0, 30928, 32768
2026/05/26 00:43:25.451, 7, 0, 30896, 32768
2026/05/26 00:43:26.098, 0, 2, 31542, 32768
2026/05/26 00:43:26.098, 1, 0, 31156, 32768
2026/05/26 00:43:26.099, 2, 0, 31132, 32768
2026/05/26 00:43:26.099, 3, 0, 31132, 32768
2026/05/26 00:43:26.099, 4, 0, 31132, 32768
2026/05/26 00:43:26.099, 5, 0, 31132, 32768
2026/05/26 00:43:26.100, 6, 0, 31132, 32768
2026/05/26 00:43:26.100, 7, 0, 31132, 32768
2026/05/26 00:43:26.738, 0, 0, 31742, 32768
2026/05/26 00:43:26.739, 1, 0, 31378, 32768
2026/05/26 00:43:26.739, 2, 0, 31344, 32768
2026/05/26 00:43:26.739, 3, 0, 31336, 32768
2026/05/26 00:43:26.740, 4, 0, 31336, 32768
2026/05/26 00:43:26.740, 5, 0, 31336, 32768
2026/05/26 00:43:26.740, 6, 0, 31336, 32768
2026/05/26 00:43:26.740, 7, 0, 31336, 32768
2026/05/26 00:43:27.344, 0, 0, 31942, 32768
2026/05/26 00:43:27.344, 1, 0, 31582, 32768
2026/05/26 00:43:27.344, 2, 0, 31582, 32768
2026/05/26 00:43:27.344, 3, 0, 31582, 32768
2026/05/26 00:43:27.345, 4, 0, 31564, 32768
2026/05/26 00:43:27.345, 5, 0, 31540, 32768
2026/05/26 00:43:27.345, 6, 0, 31540, 32768
2026/05/26 00:43:27.346, 7, 0, 31540, 32768
2026/05/26 00:43:27.994, 0, 0, 32222, 32768
2026/05/26 00:43:27.995, 1, 0, 31866, 32768
2026/05/26 00:43:27.995, 2, 0, 31866, 32768
2026/05/26 00:43:27.996, 3, 0, 31866, 32768
2026/05/26 00:43:27.996, 4, 0, 31866, 32768
2026/05/26 00:43:27.996, 5, 0, 31866, 32768
2026/05/26 00:43:27.996, 6, 0, 31834, 32768
2026/05/26 00:43:27.997, 7, 0, 31826, 32768
2026/05/26 00:43:28.609, 0, 3, 32426, 32768
2026/05/26 00:43:28.610, 1, 0, 32072, 32768
2026/05/26 00:43:28.610, 2, 0, 32072, 32768
2026/05/26 00:43:28.610, 3, 0, 32072, 32768
2026/05/26 00:43:28.610, 4, 0, 32072, 32768
2026/05/26 00:43:28.610, 5, 0, 32072, 32768
2026/05/26 00:43:28.610, 6, 0, 32072, 32768
2026/05/26 00:43:28.611, 7, 0, 32072, 32768
2026/05/26 00:43:29.198, 0, 32, 32426, 32768
2026/05/26 00:43:29.199, 1, 3, 32072, 32768
2026/05/26 00:43:29.199, 2, 4, 32072, 32768
2026/05/26 00:43:29.199, 3, 4, 32072, 32768
2026/05/26 00:43:29.199, 4, 3, 32072, 32768
2026/05/26 00:43:29.200, 5, 7, 32072, 32768
2026/05/26 00:43:29.200, 6, 7, 32072, 32768
2026/05/26 00:43:29.200, 7, 8, 32072, 32768
2026/05/26 00:43:29.764, 0, 45, 32426, 32768
2026/05/26 00:43:29.765, 1, 4, 32072, 32768
2026/05/26 00:43:29.765, 2, 4, 32072, 32768
2026/05/26 00:43:29.765, 3, 4, 32072, 32768
