timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 00:39:04.745, 0, 0, 30792, 32768
2026/05/26 00:39:04.746, 1, 0, 30422, 32768
2026/05/26 00:39:04.746, 2, 0, 30422, 32768
2026/05/26 00:39:04.747, 3, 0, 30422, 32768
2026/05/26 00:39:04.747, 4, 0, 30422, 32768
2026/05/26 00:39:04.748, 5, 0, 30422, 32768
2026/05/26 00:39:04.748, 6, 0, 30378, 32768
2026/05/26 00:39:04.749, 7, 0, 30372, 32768
2026/05/26 00:39:05.418, 0, 0, 30982, 32768
2026/05/26 00:39:05.418, 1, 0, 30602, 32768
2026/05/26 00:39:05.419, 2, 0, 30560, 32768
2026/05/26 00:39:05.419, 3, 0, 30560, 32768
2026/05/26 00:39:05.420, 4, 0, 30560, 32768
2026/05/26 00:39:05.420, 5, 0, 30560, 32768
2026/05/26 00:39:05.420, 6, 0, 30560, 32768
2026/05/26 00:39:05.421, 7, 0, 30560, 32768
2026/05/26 00:39:06.053, 0, 0, 31222, 32768
2026/05/26 00:39:06.053, 1, 0, 30846, 32768
2026/05/26 00:39:06.053, 2, 0, 30846, 32768
2026/05/26 00:39:06.054, 3, 0, 30846, 32768
2026/05/26 00:39:06.054, 4, 0, 30846, 32768
2026/05/26 00:39:06.054, 5, 0, 30846, 32768
2026/05/26 00:39:06.055, 6, 0, 30806, 32768
2026/05/26 00:39:06.055, 7, 0, 30806, 32768
2026/05/26 00:39:06.692, 0, 0, 31502, 32768
2026/05/26 00:39:06.693, 1, 0, 31132, 32768
2026/05/26 00:39:06.693, 2, 0, 31132, 32768
2026/05/26 00:39:06.693, 3, 0, 31132, 32768
2026/05/26 00:39:06.694, 4, 0, 31132, 32768
2026/05/26 00:39:06.694, 5, 0, 31092, 32768
2026/05/26 00:39:06.694, 6, 0, 31092, 32768
2026/05/26 00:39:06.695, 7, 0, 31092, 32768
2026/05/26 00:39:07.346, 0, 0, 31782, 32768
2026/05/26 00:39:07.346, 1, 0, 31418, 32768
2026/05/26 00:39:07.347, 2, 0, 31418, 32768
2026/05/26 00:39:07.347, 3, 0, 31378, 32768
2026/05/26 00:39:07.348, 4, 0, 31378, 32768
2026/05/26 00:39:07.348, 5, 0, 31378, 32768
2026/05/26 00:39:07.348, 6, 0, 31378, 32768
2026/05/26 00:39:07.349, 7, 0, 31378, 32768
2026/05/26 00:39:08.023, 0, 0, 32062, 32768
2026/05/26 00:39:08.024, 1, 0, 31704, 32768
2026/05/26 00:39:08.024, 2, 0, 31704, 32768
2026/05/26 00:39:08.025, 3, 0, 31704, 32768
2026/05/26 00:39:08.026, 4, 0, 31704, 32768
2026/05/26 00:39:08.026, 5, 0, 31704, 32768
2026/05/26 00:39:08.027, 6, 0, 31664, 32768
2026/05/26 00:39:08.027, 7, 0, 31664, 32768
2026/05/26 00:39:08.678, 0, 0, 32344, 32768
2026/05/26 00:39:08.679, 1, 0, 31990, 32768
2026/05/26 00:39:08.679, 2, 0, 31990, 32768
2026/05/26 00:39:08.680, 3, 0, 31948, 32768
2026/05/26 00:39:08.681, 4, 0, 31948, 32768
2026/05/26 00:39:08.681, 5, 0, 31948, 32768
2026/05/26 00:39:08.682, 6, 0, 31948, 32768
2026/05/26 00:39:08.682, 7, 0, 31948, 32768
2026/05/26 00:39:09.300, 0, 36, 32426, 32768
2026/05/26 00:39:09.300, 1, 3, 32072, 32768
2026/05/26 00:39:09.300, 2, 4, 32072, 32768
2026/05/26 00:39:09.301, 3, 4, 32072, 32768
2026/05/26 00:39:09.301, 4, 3, 32072, 32768
2026/05/26 00:39:09.301, 5, 6, 32072, 32768
2026/05/26 00:39:09.301, 6, 9, 32072, 32768
2026/05/26 00:39:09.301, 7, 8, 32072, 32768
2026/05/26 00:39:09.892, 0, 27, 32426, 32768
2026/05/26 00:39:09.892, 1, 3, 32072, 32768
2026/05/26 00:39:09.892, 2, 4, 32072, 32768
2026/05/26 00:39:09.892, 3, 3, 32072, 32768
2026/05/26 00:39:09.893, 4, 3, 32072, 32768
2026/05/26 00:39:09.893, 5, 6, 32072, 32768
2026/05/26 00:39:09.893, 6, 9, 32072, 32768
2026/05/26 00:39:09.893, 7, 6, 32072, 32768
2026/05/26 00:39:10.483, 0, 42, 32426, 32768
2026/05/26 00:39:10.484, 1, 5, 32072, 32768
2026/05/26 00:39:10.484, 2, 5, 32072, 32768
2026/05/26 00:39:10.484, 3, 5, 32072, 32768
2026/05/26 00:39:10.484, 4, 5, 32072, 32768
2026/05/26 00:39:10.485, 5, 9, 32072, 32768
2026/05/26 00:39:10.485, 6, 10, 32072, 32768
2026/05/26 00:39:10.485, 7, 10, 32072, 32768
2026/05/26 00:39:11.075, 0, 30, 32426, 32768
2026/05/26 00:39:11.075, 1, 3, 32072, 32768
2026/05/26 00:39:11.075, 2, 2, 32072, 32768
2026/05/26 00:39:11.076, 3, 3, 32072, 32768
2026/05/26 00:39:11.076, 4, 3, 32072, 32768
2026/05/26 00:39:11.076, 5, 6, 32072, 32768
2026/05/26 00:39:11.076, 6, 4, 32072, 32768
2026/05/26 00:39:11.076, 7, 7, 32072, 32768
2026/05/26 00:39:11.646, 0, 37, 32426, 32768
2026/05/26 00:39:11.646, 1, 3, 32072, 32768
2026/05/26 00:39:11.647, 2, 3, 32072, 32768
2026/05/26 00:39:11.647, 3, 4, 32072, 32768
2026/05/26 00:39:11.647, 4, 3, 32072, 32768
2026/05/26 00:39:11.647, 5, 9, 32072, 32768
2026/05/26 00:39:11.647, 6, 7, 32072, 32768
2026/05/26 00:39:11.648, 7, 8, 32072, 32768
2026/05/26 00:39:12.251, 0, 41, 32426, 32768
2026/05/26 00:39:12.251, 1, 4, 32072, 32768
2026/05/26 00:39:12.251, 2, 4, 32072, 32768
2026/05/26 00:39:12.252, 3, 5, 32072, 32768
2026/05/26 00:39:12.252, 4, 4, 32072, 32768
2026/05/26 00:39:12.252, 5, 10, 32072, 32768
2026/05/26 00:39:12.252, 6, 10, 32072, 32768
2026/05/26 00:39:12.252, 7, 9, 32072, 32768
2026/05/26 00:39:12.838, 0, 29, 32426, 32768
2026/05/26 00:39:12.838, 1, 3, 32072, 32768
2026/05/26 00:39:12.839, 2, 3, 32072, 32768
2026/05/26 00:39:12.839, 3, 3, 32072, 32768
2026/05/26 00:39:12.839, 4, 3, 32072, 32768
2026/05/26 00:39:12.839, 5, 6, 32072, 32768
2026/05/26 00:39:12.839, 6, 6, 32072, 32768
2026/05/26 00:39:12.840, 7, 7, 32072, 32768
2026/05/26 00:39:13.404, 0, 41, 32426, 32768
2026/05/26 00:39:13.404, 1, 4, 32072, 32768
2026/05/26 00:39:13.404, 2, 4, 32072, 32768
2026/05/26 00:39:13.405, 3, 4, 32072, 32768
2026/05/26 00:39:13.405, 4, 4, 32072, 32768
2026/05/26 00:39:13.405, 5, 10, 32072, 32768
2026/05/26 00:39:13.405, 6, 10, 32072, 32768
2026/05/26 00:39:13.405, 7, 9, 32072, 32768
2026/05/26 00:39:14.012, 0, 27, 32426, 32768
2026/05/26 00:39:14.012, 1, 3, 32072, 32768
2026/05/26 00:39:14.013, 2, 4, 32072, 32768
2026/05/26 00:39:14.013, 3, 3, 32072, 32768
2026/05/26 00:39:14.013, 4, 4, 32072, 32768
2026/05/26 00:39:14.013, 5, 6, 32072, 32768
2026/05/26 00:39:14.013, 6, 9, 32072, 32768
2026/05/26 00:39:14.014, 7, 9, 32072, 32768
2026/05/26 00:39:14.580, 0, 29, 32426, 32768
2026/05/26 00:39:14.580, 1, 3, 32072, 32768
2026/05/26 00:39:14.580, 2, 4, 32072, 32768
2026/05/26 00:39:14.581, 3, 3, 32072, 32768
2026/05/26 00:39:14.581, 4, 3, 32072, 32768
2026/05/26 00:39:14.581, 5, 6, 32072, 32768
2026/05/26 00:39:14.581, 6, 9, 32072, 32768
2026/05/26 00:39:14.581, 7, 7, 32072, 32768
2026/05/26 00:39:15.168, 0, 41, 32426, 32768
2026/05/26 00:39:15.168, 1, 4, 32072, 32768
2026/05/26 00:39:15.169, 2, 5, 32072, 32768
2026/05/26 00:39:15.169, 3, 4, 32072, 32768
2026/05/26 00:39:15.169, 4, 4, 32072, 32768
2026/05/26 00:39:15.169, 5, 10, 32072, 32768
2026/05/26 00:39:15.169, 6, 10, 32072, 32768
2026/05/26 00:39:15.170, 7, 11, 32072, 32768
2026/05/26 00:39:15.755, 0, 33, 32426, 32768
2026/05/26 00:39:15.755, 1, 8, 32072, 32768
2026/05/26 00:39:15.755, 2, 7, 32072, 32768
2026/05/26 00:39:15.756, 3, 8, 32072, 32768
2026/05/26 00:39:15.756, 4, 9, 32072, 32768
2026/05/26 00:39:15.756, 5, 11, 32072, 32768
2026/05/26 00:39:15.756, 6, 10, 32072, 32768
2026/05/26 00:39:15.756, 7, 14, 32072, 32768
2026/05/26 00:39:16.342, 0, 41, 32426, 32768
2026/05/26 00:39:16.343, 1, 4, 32072, 32768
2026/05/26 00:39:16.343, 2, 3, 32072, 32768
2026/05/26 00:39:16.343, 3, 4, 32072, 32768
2026/05/26 00:39:16.343, 4, 4, 32072, 32768
2026/05/26 00:39:16.343, 5, 9, 32072, 32768
2026/05/26 00:39:16.344, 6, 8, 32072, 32768
2026/05/26 00:39:16.344, 7, 10, 32072, 32768
2026/05/26 00:39:16.930, 0, 40, 32426, 32768
2026/05/26 00:39:16.930, 1, 4, 32072, 32768
2026/05/26 00:39:16.930, 2, 8, 32072, 32768
2026/05/26 00:39:16.930, 3, 4, 32072, 32768
2026/05/26 00:39:16.930, 4, 4, 32072, 32768
2026/05/26 00:39:16.931, 5, 10, 32072, 32768
2026/05/26 00:39:16.931, 6, 12, 32072, 32768
2026/05/26 00:39:16.931, 7, 9, 32072, 32768
2026/05/26 00:39:17.519, 0, 33, 32426, 32768
2026/05/26 00:39:17.519, 1, 7, 32072, 32768
2026/05/26 00:39:17.520, 2, 7, 32072, 32768
2026/05/26 00:39:17.520, 3, 3, 32072, 32768
2026/05/26 00:39:17.521, 4, 7, 32072, 32768
2026/05/26 00:39:17.521, 5, 7, 32072, 32768
2026/05/26 00:39:17.521, 6, 11, 32072, 32768
2026/05/26 00:39:17.522, 7, 11, 32072, 32768
2026/05/26 00:39:18.110, 0, 41, 32426, 32768
2026/05/26 00:39:18.111, 1, 4, 32072, 32768
2026/05/26 00:39:18.111, 2, 4, 32072, 32768
2026/05/26 00:39:18.111, 3, 4, 32072, 32768
2026/05/26 00:39:18.111, 4, 4, 32072, 32768
2026/05/26 00:39:18.112, 5, 9, 32072, 32768
2026/05/26 00:39:18.112, 6, 9, 32072, 32768
2026/05/26 00:39:18.112, 7, 10, 32072, 32768
2026/05/26 00:39:18.698, 0, 31, 32426, 32768
2026/05/26 00:39:18.698, 1, 7, 32072, 32768
2026/05/26 00:39:18.699, 2, 4, 32072, 32768
2026/05/26 00:39:18.699, 3, 7, 32072, 32768
2026/05/26 00:39:18.699, 4, 8, 32072, 32768
2026/05/26 00:39:18.699, 5, 11, 32072, 32768
2026/05/26 00:39:18.699, 6, 14, 32072, 32768
2026/05/26 00:39:18.700, 7, 12, 32072, 32768
2026/05/26 00:39:19.286, 0, 29, 32426, 32768
2026/05/26 00:39:19.286, 1, 7, 32072, 32768
2026/05/26 00:39:19.286, 2, 4, 32072, 32768
2026/05/26 00:39:19.287, 3, 3, 32072, 32768
2026/05/26 00:39:19.287, 4, 4, 32072, 32768
2026/05/26 00:39:19.287, 5, 7, 32072, 32768
2026/05/26 00:39:19.288, 6, 9, 32072, 32768
2026/05/26 00:39:19.288, 7, 10, 32072, 32768
2026/05/26 00:39:19.877, 0, 43, 32426, 32768
2026/05/26 00:39:19.877, 1, 4, 32072, 32768
2026/05/26 00:39:19.877, 2, 4, 32072, 32768
2026/05/26 00:39:19.877, 3, 8, 32072, 32768
2026/05/26 00:39:19.877, 4, 4, 32072, 32768
2026/05/26 00:39:19.878, 5, 13, 32072, 32768
2026/05/26 00:39:19.878, 6, 9, 32072, 32768
2026/05/26 00:39:19.878, 7, 10, 32072, 32768
2026/05/26 00:39:20.466, 0, 34, 32426, 32768
2026/05/26 00:39:20.467, 1, 4, 32072, 32768
2026/05/26 00:39:20.467, 2, 8, 32072, 32768
2026/05/26 00:39:20.467, 3, 7, 32072, 32768
2026/05/26 00:39:20.468, 4, 3, 32072, 32768
2026/05/26 00:39:20.468, 5, 11, 32072, 32768
2026/05/26 00:39:20.468, 6, 11, 32072, 32768
2026/05/26 00:39:20.468, 7, 7, 32072, 32768
2026/05/26 00:39:21.055, 0, 42, 32426, 32768
2026/05/26 00:39:21.055, 1, 4, 32072, 32768
2026/05/26 00:39:21.055, 2, 3, 32072, 32768
2026/05/26 00:39:21.055, 3, 4, 32072, 32768
2026/05/26 00:39:21.056, 4, 4, 32072, 32768
2026/05/26 00:39:21.056, 5, 9, 32072, 32768
2026/05/26 00:39:21.056, 6, 9, 32072, 32768
2026/05/26 00:39:21.056, 7, 10, 32072, 32768
2026/05/26 00:39:21.643, 0, 42, 32426, 32768
2026/05/26 00:39:21.644, 1, 7, 32072, 32768
2026/05/26 00:39:21.644, 2, 8, 32072, 32768
2026/05/26 00:39:21.644, 3, 4, 32072, 32768
2026/05/26 00:39:21.644, 4, 7, 32072, 32768
2026/05/26 00:39:21.645, 5, 9, 32072, 32768
2026/05/26 00:39:21.645, 6, 11, 32072, 32768
2026/05/26 00:39:21.645, 7, 11, 32072, 32768
2026/05/26 00:39:22.234, 0, 34, 32426, 32768
2026/05/26 00:39:22.235, 1, 8, 32072, 32768
2026/05/26 00:39:22.235, 2, 7, 32072, 32768
2026/05/26 00:39:22.235, 3, 4, 32072, 32768
2026/05/26 00:39:22.235, 4, 8, 32072, 32768
2026/05/26 00:39:22.236, 5, 8, 32072, 32768
2026/05/26 00:39:22.236, 6, 10, 32072, 32768
2026/05/26 00:39:22.236, 7, 10, 32072, 32768
2026/05/26 00:39:22.868, 0, 41, 32426, 32768
2026/05/26 00:39:22.869, 1, 4, 32072, 32768
2026/05/26 00:39:22.869, 2, 4, 32072, 32768
2026/05/26 00:39:22.869, 3, 8, 32072, 32768
2026/05/26 00:39:22.869, 4, 4, 32072, 32768
2026/05/26 00:39:22.870, 5, 12, 32072, 32768
2026/05/26 00:39:22.870, 6, 9, 32072, 32768
2026/05/26 00:39:22.870, 7, 10, 32072, 32768
2026/05/26 00:39:23.456, 0, 33, 32426, 32768
2026/05/26 00:39:23.457, 1, 8, 32072, 32768
2026/05/26 00:39:23.457, 2, 5, 32072, 32768
2026/05/26 00:39:23.457, 3, 7, 32072, 32768
2026/05/26 00:39:23.458, 4, 4, 32072, 32768
2026/05/26 00:39:23.458, 5, 10, 32072, 32768
2026/05/26 00:39:23.458, 6, 7, 32072, 32768
2026/05/26 00:39:23.459, 7, 12, 32072, 32768
2026/05/26 00:39:24.070, 0, 42, 32426, 32768
2026/05/26 00:39:24.071, 1, 5, 32072, 32768
2026/05/26 00:39:24.071, 2, 5, 32072, 32768
2026/05/26 00:39:24.071, 3, 5, 32072, 32768
2026/05/26 00:39:24.072, 4, 5, 32072, 32768
2026/05/26 00:39:24.072, 5, 10, 32072, 32768
2026/05/26 00:39:24.073, 6, 10, 32072, 32768
2026/05/26 00:39:24.073, 7, 11, 32072, 32768
2026/05/26 00:39:24.684, 0, 29, 32426, 32768
2026/05/26 00:39:24.685, 1, 7, 32072, 32768
2026/05/26 00:39:24.685, 2, 8, 32072, 32768
2026/05/26 00:39:24.685, 3, 6, 32072, 32768
2026/05/26 00:39:24.686, 4, 7, 32072, 32768
2026/05/26 00:39:24.686, 5, 9, 32072, 32768
2026/05/26 00:39:24.686, 6, 10, 32072, 32768
2026/05/26 00:39:24.687, 7, 10, 32072, 32768
2026/05/26 00:39:25.300, 0, 39, 32426, 32768
2026/05/26 00:39:25.300, 1, 3, 32072, 32768
2026/05/26 00:39:25.301, 2, 4, 32072, 32768
2026/05/26 00:39:25.301, 3, 4, 32072, 32768
2026/05/26 00:39:25.301, 4, 4, 32072, 32768
2026/05/26 00:39:25.302, 5, 9, 32072, 32768
2026/05/26 00:39:25.302, 6, 10, 32072, 32768
2026/05/26 00:39:25.303, 7, 11, 32072, 32768
2026/05/26 00:39:26.010, 0, 41, 32426, 32768
2026/05/26 00:39:26.018, 1, 7, 32072, 32768
2026/05/26 00:39:26.031, 2, 7, 32072, 32768
2026/05/26 00:39:26.045, 3, 3, 32072, 32768
2026/05/26 00:39:26.059, 4, 7, 32072, 32768
2026/05/26 00:39:26.072, 5, 7, 32072, 32768
2026/05/26 00:39:26.086, 6, 10, 32072, 32768
2026/05/26 00:39:26.100, 7, 11, 32072, 32768
2026/05/26 00:39:26.861, 0, 32, 32426, 32768
2026/05/26 00:39:26.861, 1, 7, 32072, 32768
2026/05/26 00:39:26.862, 2, 7, 32072, 32768
2026/05/26 00:39:26.862, 3, 8, 32072, 32768
2026/05/26 00:39:26.862, 4, 7, 32072, 32768
2026/05/26 00:39:26.862, 5, 12, 32072, 32768
2026/05/26 00:39:26.863, 6, 10, 32072, 32768
2026/05/26 00:39:26.863, 7, 11, 32072, 32768
2026/05/26 00:39:27.467, 0, 43, 32426, 32768
2026/05/26 00:39:27.468, 1, 5, 32072, 32768
2026/05/26 00:39:27.468, 2, 5, 32072, 32768
2026/05/26 00:39:27.468, 3, 5, 32072, 32768
2026/05/26 00:39:27.468, 4, 3, 32072, 32768
2026/05/26 00:39:27.468, 5, 10, 32072, 32768
2026/05/26 00:39:27.469, 6, 9, 32072, 32768
2026/05/26 00:39:27.469, 7, 8, 32072, 32768
2026/05/26 00:39:28.076, 0, 32, 32426, 32768
2026/05/26 00:39:28.077, 1, 8, 32072, 32768
2026/05/26 00:39:28.077, 2, 4, 32072, 32768
2026/05/26 00:39:28.077, 3, 7, 32072, 32768
2026/05/26 00:39:28.077, 4, 8, 32072, 32768
2026/05/26 00:39:28.078, 5, 10, 32072, 32768
2026/05/26 00:39:28.078, 6, 9, 32072, 32768
2026/05/26 00:39:28.078, 7, 13, 32072, 32768
2026/05/26 00:39:28.685, 0, 32, 32426, 32768
2026/05/26 00:39:28.686, 1, 5, 32072, 32768
2026/05/26 00:39:28.686, 2, 4, 32072, 32768
2026/05/26 00:39:28.686, 3, 4, 32072, 32768
2026/05/26 00:39:28.686, 4, 4, 32072, 32768
2026/05/26 00:39:28.686, 5, 11, 32072, 32768
2026/05/26 00:39:28.687, 6, 9, 32072, 32768
2026/05/26 00:39:28.687, 7, 10, 32072, 32768
