timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 01:18:01.492, 0, 0, 30792, 32768
2026/05/26 01:18:01.492, 1, 0, 30422, 32768
2026/05/26 01:18:01.493, 2, 0, 30378, 32768
2026/05/26 01:18:01.493, 3, 0, 30372, 32768
2026/05/26 01:18:01.493, 4, 0, 30372, 32768
2026/05/26 01:18:01.494, 5, 0, 30372, 32768
2026/05/26 01:18:01.494, 6, 0, 30372, 32768
2026/05/26 01:18:01.494, 7, 0, 30372, 32768
2026/05/26 01:18:02.129, 0, 2, 30942, 32768
2026/05/26 01:18:02.130, 1, 0, 30560, 32768
2026/05/26 01:18:02.130, 2, 0, 30560, 32768
2026/05/26 01:18:02.131, 3, 0, 30544, 32768
2026/05/26 01:18:02.131, 4, 0, 30520, 32768
2026/05/26 01:18:02.131, 5, 0, 30520, 32768
2026/05/26 01:18:02.132, 6, 1, 30520, 32768
2026/05/26 01:18:02.132, 7, 0, 30520, 32768
2026/05/26 01:18:02.748, 0, 0, 31182, 32768
2026/05/26 01:18:02.748, 1, 0, 30806, 32768
2026/05/26 01:18:02.748, 2, 0, 30806, 32768
2026/05/26 01:18:02.749, 3, 0, 30806, 32768
2026/05/26 01:18:02.749, 4, 0, 30806, 32768
2026/05/26 01:18:02.749, 5, 0, 30806, 32768
2026/05/26 01:18:02.749, 6, 0, 30806, 32768
2026/05/26 01:18:02.749, 7, 0, 30806, 32768
2026/05/26 01:18:03.452, 0, 0, 31502, 32768
2026/05/26 01:18:03.453, 1, 0, 31132, 32768
2026/05/26 01:18:03.453, 2, 0, 31132, 32768
2026/05/26 01:18:03.454, 3, 0, 31132, 32768
2026/05/26 01:18:03.455, 4, 0, 31092, 32768
2026/05/26 01:18:03.455, 5, 0, 31092, 32768
2026/05/26 01:18:03.456, 6, 0, 31092, 32768
2026/05/26 01:18:03.456, 7, 0, 31092, 32768
2026/05/26 01:18:04.180, 0, 0, 31742, 32768
2026/05/26 01:18:04.181, 1, 0, 31378, 32768
2026/05/26 01:18:04.181, 2, 0, 31378, 32768
2026/05/26 01:18:04.181, 3, 0, 31360, 32768
2026/05/26 01:18:04.182, 4, 0, 31336, 32768
2026/05/26 01:18:04.182, 5, 0, 31336, 32768
2026/05/26 01:18:04.182, 6, 0, 31336, 32768
2026/05/26 01:18:04.182, 7, 0, 31336, 32768
2026/05/26 01:18:04.855, 0, 0, 32022, 32768
2026/05/26 01:18:04.856, 1, 0, 31664, 32768
2026/05/26 01:18:04.856, 2, 0, 31664, 32768
2026/05/26 01:18:04.856, 3, 0, 31664, 32768
2026/05/26 01:18:04.857, 4, 0, 31664, 32768
2026/05/26 01:18:04.857, 5, 0, 31664, 32768
2026/05/26 01:18:04.857, 6, 0, 31664, 32768
2026/05/26 01:18:04.858, 7, 0, 31630, 32768
2026/05/26 01:18:05.494, 0, 2, 32304, 32768
2026/05/26 01:18:05.494, 1, 0, 31948, 32768
2026/05/26 01:18:05.494, 2, 0, 31948, 32768
2026/05/26 01:18:05.495, 3, 0, 31908, 32768
2026/05/26 01:18:05.495, 4, 0, 31908, 32768
2026/05/26 01:18:05.495, 5, 0, 31908, 32768
2026/05/26 01:18:05.496, 6, 0, 31908, 32768
2026/05/26 01:18:05.496, 7, 0, 31908, 32768
2026/05/26 01:18:06.137, 0, 49, 32426, 32768
2026/05/26 01:18:06.137, 1, 4, 32072, 32768
2026/05/26 01:18:06.137, 2, 5, 32072, 32768
2026/05/26 01:18:06.138, 3, 4, 32072, 32768
2026/05/26 01:18:06.138, 4, 4, 32072, 32768
