timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 01:13:42.878, 0, 0, 30792, 32768
2026/05/26 01:13:42.878, 1, 0, 30422, 32768
2026/05/26 01:13:42.879, 2, 0, 30422, 32768
2026/05/26 01:13:42.879, 3, 0, 30422, 32768
2026/05/26 01:13:42.879, 4, 0, 30420, 32768
2026/05/26 01:13:42.880, 5, 0, 30372, 32768
2026/05/26 01:13:42.880, 6, 0, 30372, 32768
2026/05/26 01:13:42.880, 7, 0, 30372, 32768
2026/05/26 01:13:43.466, 0, 0, 30982, 32768
2026/05/26 01:13:43.467, 1, 0, 30602, 32768
2026/05/26 01:13:43.467, 2, 1, 30560, 32768
2026/05/26 01:13:43.468, 3, 1, 30560, 32768
2026/05/26 01:13:43.468, 4, 0, 30560, 32768
2026/05/26 01:13:43.468, 5, 0, 30560, 32768
2026/05/26 01:13:43.469, 6, 0, 30560, 32768
2026/05/26 01:13:43.469, 7, 0, 30560, 32768
2026/05/26 01:13:44.045, 0, 6, 31222, 32768
2026/05/26 01:13:44.045, 1, 0, 30846, 32768
2026/05/26 01:13:44.045, 2, 0, 30846, 32768
2026/05/26 01:13:44.045, 3, 0, 30846, 32768
2026/05/26 01:13:44.046, 4, 1, 30846, 32768
2026/05/26 01:13:44.046, 5, 1, 30846, 32768
2026/05/26 01:13:44.046, 6, 0, 30846, 32768
2026/05/26 01:13:44.047, 7, 1, 30846, 32768
2026/05/26 01:13:44.646, 0, 7, 31502, 32768
2026/05/26 01:13:44.646, 1, 1, 31132, 32768
2026/05/26 01:13:44.648, 2, 1, 31132, 32768
2026/05/26 01:13:44.648, 3, 1, 31132, 32768
2026/05/26 01:13:44.648, 4, 1, 31116, 32768
2026/05/26 01:13:44.649, 5, 1, 31092, 32768
2026/05/26 01:13:44.650, 6, 1, 31092, 32768
2026/05/26 01:13:44.650, 7, 2, 31092, 32768
2026/05/26 01:13:45.485, 0, 0, 31742, 32768
2026/05/26 01:13:45.486, 1, 0, 31378, 32768
2026/05/26 01:13:45.487, 2, 0, 31378, 32768
2026/05/26 01:13:45.487, 3, 0, 31378, 32768
2026/05/26 01:13:45.488, 4, 0, 31378, 32768
2026/05/26 01:13:45.488, 5, 0, 31378, 32768
2026/05/26 01:13:45.489, 6, 0, 31336, 32768
2026/05/26 01:13:45.489, 7, 0, 31336, 32768
2026/05/26 01:13:46.104, 0, 0, 32022, 32768
2026/05/26 01:13:46.105, 1, 0, 31664, 32768
2026/05/26 01:13:46.105, 2, 0, 31664, 32768
2026/05/26 01:13:46.106, 3, 0, 31664, 32768
2026/05/26 01:13:46.106, 4, 0, 31664, 32768
2026/05/26 01:13:46.106, 5, 0, 31664, 32768
2026/05/26 01:13:46.107, 6, 0, 31646, 32768
2026/05/26 01:13:46.107, 7, 0, 31622, 32768
2026/05/26 01:13:46.712, 0, 0, 32344, 32768
2026/05/26 01:13:46.712, 1, 0, 31988, 32768
2026/05/26 01:13:46.713, 2, 0, 31948, 32768
2026/05/26 01:13:46.713, 3, 0, 31948, 32768
2026/05/26 01:13:46.713, 4, 1, 31948, 32768
2026/05/26 01:13:46.714, 5, 2, 31948, 32768
2026/05/26 01:13:46.714, 6, 0, 31948, 32768
2026/05/26 01:13:46.715, 7, 1, 31948, 32768
2026/05/26 01:13:47.403, 0, 32, 32426, 32768
2026/05/26 01:13:47.414, 1, 4, 32072, 32768
2026/05/26 01:13:47.424, 2, 4, 32072, 32768
2026/05/26 01:13:47.430, 3, 4, 32072, 32768
2026/05/26 01:13:47.440, 4, 3, 32072, 32768
2026/05/26 01:13:47.451, 5, 7, 32072, 32768
2026/05/26 01:13:47.462, 6, 7, 32072, 32768
2026/05/26 01:13:47.471, 7, 7, 32072, 32768
2026/05/26 01:13:48.156, 0, 31, 32426, 32768
2026/05/26 01:13:48.156, 1, 3, 32072, 32768
2026/05/26 01:13:48.156, 2, 3, 32072, 32768
2026/05/26 01:13:48.157, 3, 3, 32072, 32768
2026/05/26 01:13:48.157, 4, 4, 32072, 32768
2026/05/26 01:13:48.157, 5, 9, 32072, 32768
2026/05/26 01:13:48.157, 6, 7, 32072, 32768
2026/05/26 01:13:48.157, 7, 13, 32072, 32768
2026/05/26 01:13:48.746, 0, 45, 32426, 32768
2026/05/26 01:13:48.747, 1, 4, 32072, 32768
2026/05/26 01:13:48.747, 2, 4, 32072, 32768
2026/05/26 01:13:48.747, 3, 4, 32072, 32768
2026/05/26 01:13:48.747, 4, 5, 32072, 32768
2026/05/26 01:13:48.748, 5, 11, 32072, 32768
2026/05/26 01:13:48.748, 6, 9, 32072, 32768
2026/05/26 01:13:48.748, 7, 11, 32072, 32768
2026/05/26 01:13:49.336, 0, 31, 32426, 32768
2026/05/26 01:13:49.337, 1, 3, 32072, 32768
2026/05/26 01:13:49.337, 2, 4, 32072, 32768
2026/05/26 01:13:49.338, 3, 3, 32072, 32768
2026/05/26 01:13:49.338, 4, 3, 32072, 32768
2026/05/26 01:13:49.338, 5, 7, 32072, 32768
2026/05/26 01:13:49.339, 6, 7, 32072, 32768
2026/05/26 01:13:49.339, 7, 12, 32072, 32768
2026/05/26 01:13:50.183, 0, 41, 32426, 32768
2026/05/26 01:13:50.183, 1, 4, 32072, 32768
2026/05/26 01:13:50.183, 2, 5, 32072, 32768
2026/05/26 01:13:50.184, 3, 5, 32072, 32768
2026/05/26 01:13:50.184, 4, 4, 32072, 32768
2026/05/26 01:13:50.184, 5, 8, 32072, 32768
2026/05/26 01:13:50.184, 6, 10, 32072, 32768
2026/05/26 01:13:50.184, 7, 10, 32072, 32768
2026/05/26 01:13:50.808, 0, 31, 32426, 32768
2026/05/26 01:13:50.808, 1, 3, 32072, 32768
2026/05/26 01:13:50.809, 2, 4, 32072, 32768
2026/05/26 01:13:50.809, 3, 4, 32072, 32768
2026/05/26 01:13:50.809, 4, 3, 32072, 32768
2026/05/26 01:13:50.809, 5, 7, 32072, 32768
2026/05/26 01:13:50.809, 6, 7, 32072, 32768
2026/05/26 01:13:50.809, 7, 8, 32072, 32768
2026/05/26 01:13:51.578, 0, 41, 32426, 32768
2026/05/26 01:13:51.588, 1, 3, 32072, 32768
2026/05/26 01:13:51.598, 2, 3, 32072, 32768
2026/05/26 01:13:51.603, 3, 3, 32072, 32768
2026/05/26 01:13:51.613, 4, 3, 32072, 32768
2026/05/26 01:13:51.614, 5, 9, 32072, 32768
2026/05/26 01:13:51.615, 6, 10, 32072, 32768
2026/05/26 01:13:51.615, 7, 8, 32072, 32768
2026/05/26 01:13:52.207, 0, 46, 32426, 32768
2026/05/26 01:13:52.208, 1, 4, 32072, 32768
2026/05/26 01:13:52.208, 2, 4, 32072, 32768
2026/05/26 01:13:52.209, 3, 4, 32072, 32768
2026/05/26 01:13:52.209, 4, 4, 32072, 32768
2026/05/26 01:13:52.209, 5, 11, 32072, 32768
2026/05/26 01:13:52.210, 6, 10, 32072, 32768
2026/05/26 01:13:52.210, 7, 8, 32072, 32768
2026/05/26 01:13:52.838, 0, 47, 32426, 32768
2026/05/26 01:13:52.839, 1, 5, 32072, 32768
2026/05/26 01:13:52.839, 2, 5, 32072, 32768
2026/05/26 01:13:52.839, 3, 5, 32072, 32768
2026/05/26 01:13:52.840, 4, 4, 32072, 32768
2026/05/26 01:13:52.840, 5, 10, 32072, 32768
2026/05/26 01:13:52.840, 6, 11, 32072, 32768
2026/05/26 01:13:52.841, 7, 9, 32072, 32768
2026/05/26 01:13:53.660, 0, 46, 32426, 32768
2026/05/26 01:13:53.661, 1, 5, 32072, 32768
2026/05/26 01:13:53.661, 2, 8, 32072, 32768
2026/05/26 01:13:53.662, 3, 6, 32072, 32768
2026/05/26 01:13:53.662, 4, 4, 32072, 32768
2026/05/26 01:13:53.662, 5, 10, 32072, 32768
2026/05/26 01:13:53.663, 6, 10, 32072, 32768
2026/05/26 01:13:53.663, 7, 12, 32072, 32768
2026/05/26 01:13:54.254, 0, 43, 32426, 32768
2026/05/26 01:13:54.255, 1, 7, 32072, 32768
2026/05/26 01:13:54.255, 2, 7, 32072, 32768
2026/05/26 01:13:54.255, 3, 7, 32072, 32768
2026/05/26 01:13:54.255, 4, 3, 32072, 32768
2026/05/26 01:13:54.255, 5, 9, 32072, 32768
2026/05/26 01:13:54.256, 6, 11, 32072, 32768
2026/05/26 01:13:54.256, 7, 10, 32072, 32768
2026/05/26 01:13:54.843, 0, 46, 32426, 32768
2026/05/26 01:13:54.843, 1, 4, 32072, 32768
2026/05/26 01:13:54.844, 2, 9, 32072, 32768
2026/05/26 01:13:54.844, 3, 8, 32072, 32768
2026/05/26 01:13:54.844, 4, 5, 32072, 32768
2026/05/26 01:13:54.844, 5, 10, 32072, 32768
2026/05/26 01:13:54.845, 6, 10, 32072, 32768
2026/05/26 01:13:54.845, 7, 11, 32072, 32768
2026/05/26 01:13:55.435, 0, 47, 32426, 32768
2026/05/26 01:13:55.436, 1, 8, 32072, 32768
2026/05/26 01:13:55.436, 2, 7, 32072, 32768
2026/05/26 01:13:55.436, 3, 7, 32072, 32768
2026/05/26 01:13:55.436, 4, 4, 32072, 32768
2026/05/26 01:13:55.437, 5, 10, 32072, 32768
2026/05/26 01:13:55.437, 6, 10, 32072, 32768
2026/05/26 01:13:55.437, 7, 9, 32072, 32768
2026/05/26 01:13:56.021, 0, 47, 32426, 32768
2026/05/26 01:13:56.026, 1, 9, 32072, 32768
2026/05/26 01:13:56.038, 2, 9, 32072, 32768
2026/05/26 01:13:56.043, 3, 9, 32072, 32768
2026/05/26 01:13:56.053, 4, 8, 32072, 32768
2026/05/26 01:13:56.058, 5, 10, 32072, 32768
2026/05/26 01:13:56.080, 6, 11, 32072, 32768
2026/05/26 01:13:56.089, 7, 12, 32072, 32768
2026/05/26 01:13:56.777, 0, 41, 32426, 32768
2026/05/26 01:13:56.777, 1, 4, 32072, 32768
2026/05/26 01:13:56.777, 2, 4, 32072, 32768
2026/05/26 01:13:56.778, 3, 4, 32072, 32768
2026/05/26 01:13:56.778, 4, 4, 32072, 32768
2026/05/26 01:13:56.778, 5, 13, 32072, 32768
2026/05/26 01:13:56.779, 6, 10, 32072, 32768
2026/05/26 01:13:56.779, 7, 11, 32072, 32768
2026/05/26 01:13:57.366, 0, 34, 32426, 32768
2026/05/26 01:13:57.366, 1, 4, 32072, 32768
2026/05/26 01:13:57.366, 2, 5, 32072, 32768
2026/05/26 01:13:57.366, 3, 4, 32072, 32768
2026/05/26 01:13:57.367, 4, 7, 32072, 32768
2026/05/26 01:13:57.367, 5, 11, 32072, 32768
2026/05/26 01:13:57.367, 6, 7, 32072, 32768
2026/05/26 01:13:57.367, 7, 12, 32072, 32768
2026/05/26 01:13:58.017, 0, 39, 32426, 32768
2026/05/26 01:13:58.028, 1, 7, 32072, 32768
2026/05/26 01:13:58.037, 2, 7, 32072, 32768
2026/05/26 01:13:58.043, 3, 8, 32072, 32768
2026/05/26 01:13:58.053, 4, 7, 32072, 32768
2026/05/26 01:13:58.063, 5, 12, 32072, 32768
2026/05/26 01:13:58.074, 6, 11, 32072, 32768
2026/05/26 01:13:58.083, 7, 11, 32072, 32768
2026/05/26 01:13:58.764, 0, 46, 32426, 32768
2026/05/26 01:13:58.764, 1, 4, 32072, 32768
2026/05/26 01:13:58.765, 2, 5, 32072, 32768
2026/05/26 01:13:58.765, 3, 4, 32072, 32768
2026/05/26 01:13:58.765, 4, 8, 32072, 32768
2026/05/26 01:13:58.765, 5, 11, 32072, 32768
2026/05/26 01:13:58.766, 6, 11, 32072, 32768
2026/05/26 01:13:58.766, 7, 14, 32072, 32768
2026/05/26 01:13:59.354, 0, 41, 32426, 32768
2026/05/26 01:13:59.355, 1, 5, 32072, 32768
2026/05/26 01:13:59.355, 2, 5, 32072, 32768
2026/05/26 01:13:59.355, 3, 4, 32072, 32768
2026/05/26 01:13:59.355, 4, 7, 32072, 32768
2026/05/26 01:13:59.355, 5, 8, 32072, 32768
2026/05/26 01:13:59.356, 6, 10, 32072, 32768
2026/05/26 01:13:59.356, 7, 11, 32072, 32768
2026/05/26 01:14:00.007, 0, 35, 32426, 32768
2026/05/26 01:14:00.022, 1, 8, 32072, 32768
2026/05/26 01:14:00.032, 2, 3, 32072, 32768
2026/05/26 01:14:00.042, 3, 7, 32072, 32768
2026/05/26 01:14:00.047, 4, 4, 32072, 32768
2026/05/26 01:14:00.057, 5, 11, 32072, 32768
2026/05/26 01:14:00.067, 6, 11, 32072, 32768
2026/05/26 01:14:00.078, 7, 11, 32072, 32768
2026/05/26 01:14:00.754, 0, 49, 32426, 32768
2026/05/26 01:14:00.755, 1, 9, 32072, 32768
2026/05/26 01:14:00.755, 2, 8, 32072, 32768
2026/05/26 01:14:00.755, 3, 9, 32072, 32768
2026/05/26 01:14:00.755, 4, 8, 32072, 32768
2026/05/26 01:14:00.756, 5, 11, 32072, 32768
2026/05/26 01:14:00.756, 6, 13, 32072, 32768
2026/05/26 01:14:00.756, 7, 11, 32072, 32768
2026/05/26 01:14:01.343, 0, 47, 32426, 32768
2026/05/26 01:14:01.343, 1, 5, 32072, 32768
2026/05/26 01:14:01.343, 2, 4, 32072, 32768
2026/05/26 01:14:01.343, 3, 4, 32072, 32768
2026/05/26 01:14:01.344, 4, 4, 32072, 32768
2026/05/26 01:14:01.344, 5, 11, 32072, 32768
2026/05/26 01:14:01.344, 6, 10, 32072, 32768
2026/05/26 01:14:01.344, 7, 10, 32072, 32768
2026/05/26 01:14:01.944, 0, 34, 32426, 32768
2026/05/26 01:14:01.945, 1, 9, 32072, 32768
2026/05/26 01:14:01.945, 2, 8, 32072, 32768
2026/05/26 01:14:01.945, 3, 8, 32072, 32768
2026/05/26 01:14:01.946, 4, 8, 32072, 32768
2026/05/26 01:14:01.946, 5, 11, 32072, 32768
2026/05/26 01:14:01.946, 6, 14, 32072, 32768
2026/05/26 01:14:01.947, 7, 12, 32072, 32768
2026/05/26 01:14:02.749, 0, 37, 32426, 32768
2026/05/26 01:14:02.749, 1, 7, 32072, 32768
2026/05/26 01:14:02.750, 2, 7, 32072, 32768
2026/05/26 01:14:02.750, 3, 7, 32072, 32768
2026/05/26 01:14:02.750, 4, 3, 32072, 32768
2026/05/26 01:14:02.751, 5, 12, 32072, 32768
2026/05/26 01:14:02.751, 6, 10, 32072, 32768
2026/05/26 01:14:02.751, 7, 7, 32072, 32768
2026/05/26 01:14:03.342, 0, 48, 32426, 32768
2026/05/26 01:14:03.342, 1, 5, 32072, 32768
2026/05/26 01:14:03.343, 2, 4, 32072, 32768
2026/05/26 01:14:03.343, 3, 4, 32072, 32768
2026/05/26 01:14:03.343, 4, 4, 32072, 32768
2026/05/26 01:14:03.343, 5, 11, 32072, 32768
2026/05/26 01:14:03.343, 6, 11, 32072, 32768
2026/05/26 01:14:03.344, 7, 12, 32072, 32768
2026/05/26 01:14:03.931, 0, 37, 32426, 32768
2026/05/26 01:14:03.931, 1, 8, 32072, 32768
2026/05/26 01:14:03.932, 2, 7, 32072, 32768
2026/05/26 01:14:03.932, 3, 7, 32072, 32768
2026/05/26 01:14:03.932, 4, 3, 32072, 32768
2026/05/26 01:14:03.933, 5, 12, 32072, 32768
2026/05/26 01:14:03.933, 6, 11, 32072, 32768
2026/05/26 01:14:03.933, 7, 7, 32072, 32768
2026/05/26 01:14:04.750, 0, 34, 32426, 32768
2026/05/26 01:14:04.750, 1, 3, 32072, 32768
2026/05/26 01:14:04.750, 2, 3, 32072, 32768
2026/05/26 01:14:04.751, 3, 3, 32072, 32768
2026/05/26 01:14:04.751, 4, 4, 32072, 32768
2026/05/26 01:14:04.751, 5, 11, 32072, 32768
2026/05/26 01:14:04.751, 6, 11, 32072, 32768
2026/05/26 01:14:04.751, 7, 10, 32072, 32768
