timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 01:27:54.368, 0, 0, 30792, 32768
2026/05/26 01:27:54.369, 1, 0, 30402, 32768
2026/05/26 01:27:54.369, 2, 0, 30372, 32768
2026/05/26 01:27:54.370, 3, 0, 30372, 32768
2026/05/26 01:27:54.370, 4, 0, 30372, 32768
2026/05/26 01:27:54.370, 5, 0, 30372, 32768
2026/05/26 01:27:54.371, 6, 0, 30372, 32768
2026/05/26 01:27:54.371, 7, 0, 30372, 32768
2026/05/26 01:27:55.000, 0, 0, 30862, 32768
2026/05/26 01:27:55.000, 1, 0, 30480, 32768
2026/05/26 01:27:55.001, 2, 0, 30480, 32768
2026/05/26 01:27:55.001, 3, 0, 30480, 32768
2026/05/26 01:27:55.001, 4, 0, 30480, 32768
2026/05/26 01:27:55.002, 5, 0, 30480, 32768
2026/05/26 01:27:55.002, 6, 0, 30462, 32768
2026/05/26 01:27:55.002, 7, 0, 30438, 32768
2026/05/26 01:27:55.669, 0, 0, 31062, 32768
2026/05/26 01:27:55.669, 1, 0, 30684, 32768
2026/05/26 01:27:55.669, 2, 0, 30684, 32768
2026/05/26 01:27:55.669, 3, 0, 30684, 32768
2026/05/26 01:27:55.669, 4, 0, 30684, 32768
2026/05/26 01:27:55.670, 5, 0, 30684, 32768
2026/05/26 01:27:55.670, 6, 0, 30684, 32768
2026/05/26 01:27:55.670, 7, 0, 30684, 32768
2026/05/26 01:27:56.353, 0, 0, 31326, 32768
2026/05/26 01:27:56.354, 1, 0, 30928, 32768
2026/05/26 01:27:56.354, 2, 0, 30928, 32768
2026/05/26 01:27:56.355, 3, 0, 30928, 32768
2026/05/26 01:27:56.355, 4, 0, 30928, 32768
2026/05/26 01:27:56.355, 5, 0, 30928, 32768
2026/05/26 01:27:56.356, 6, 0, 30928, 32768
2026/05/26 01:27:56.356, 7, 0, 30928, 32768
2026/05/26 01:27:57.022, 0, 0, 31542, 32768
2026/05/26 01:27:57.022, 1, 0, 31174, 32768
2026/05/26 01:27:57.022, 2, 0, 31174, 32768
2026/05/26 01:27:57.023, 3, 0, 31174, 32768
2026/05/26 01:27:57.023, 4, 0, 31174, 32768
2026/05/26 01:27:57.024, 5, 0, 31172, 32768
2026/05/26 01:27:57.024, 6, 0, 31132, 32768
2026/05/26 01:27:57.025, 7, 0, 31132, 32768
2026/05/26 01:27:57.689, 0, 0, 31782, 32768
2026/05/26 01:27:57.689, 1, 0, 31418, 32768
2026/05/26 01:27:57.689, 2, 0, 31402, 32768
2026/05/26 01:27:57.690, 3, 0, 31378, 32768
2026/05/26 01:27:57.690, 4, 0, 31378, 32768
2026/05/26 01:27:57.691, 5, 0, 31378, 32768
2026/05/26 01:27:57.691, 6, 0, 31378, 32768
2026/05/26 01:27:57.692, 7, 0, 31378, 32768
2026/05/26 01:27:58.361, 0, 0, 31982, 32768
2026/05/26 01:27:58.361, 1, 0, 31622, 32768
2026/05/26 01:27:58.361, 2, 0, 31622, 32768
2026/05/26 01:27:58.362, 3, 0, 31622, 32768
2026/05/26 01:27:58.362, 4, 0, 31622, 32768
2026/05/26 01:27:58.362, 5, 0, 31622, 32768
2026/05/26 01:27:58.362, 6, 0, 31622, 32768
2026/05/26 01:27:58.362, 7, 0, 31622, 32768
2026/05/26 01:27:59.031, 0, 0, 32222, 32768
2026/05/26 01:27:59.031, 1, 0, 31866, 32768
2026/05/26 01:27:59.032, 2, 0, 31866, 32768
2026/05/26 01:27:59.032, 3, 0, 31866, 32768
2026/05/26 01:27:59.032, 4, 0, 31866, 32768
2026/05/26 01:27:59.032, 5, 0, 31866, 32768
2026/05/26 01:27:59.032, 6, 0, 31866, 32768
2026/05/26 01:27:59.033, 7, 0, 31866, 32768
2026/05/26 01:27:59.679, 0, 45, 32426, 32768
2026/05/26 01:27:59.680, 1, 3, 32072, 32768
2026/05/26 01:27:59.680, 2, 4, 32072, 32768
2026/05/26 01:27:59.680, 3, 4, 32072, 32768
2026/05/26 01:27:59.680, 4, 3, 32072, 32768
2026/05/26 01:27:59.681, 5, 7, 32072, 32768
2026/05/26 01:27:59.681, 6, 8, 32072, 32768
2026/05/26 01:27:59.681, 7, 11, 32072, 32768
2026/05/26 01:28:00.308, 0, 46, 32426, 32768
2026/05/26 01:28:00.308, 1, 4, 32072, 32768
2026/05/26 01:28:00.308, 2, 5, 32072, 32768
2026/05/26 01:28:00.308, 3, 5, 32072, 32768
2026/05/26 01:28:00.309, 4, 5, 32072, 32768
2026/05/26 01:28:00.309, 5, 11, 32072, 32768
2026/05/26 01:28:00.309, 6, 11, 32072, 32768
2026/05/26 01:28:00.309, 7, 14, 32072, 32768
2026/05/26 01:28:00.895, 0, 34, 32426, 32768
2026/05/26 01:28:00.895, 1, 4, 32072, 32768
2026/05/26 01:28:00.895, 2, 4, 32072, 32768
2026/05/26 01:28:00.896, 3, 4, 32072, 32768
2026/05/26 01:28:00.896, 4, 4, 32072, 32768
2026/05/26 01:28:00.896, 5, 7, 32072, 32768
2026/05/26 01:28:00.896, 6, 7, 32072, 32768
2026/05/26 01:28:00.896, 7, 10, 32072, 32768
2026/05/26 01:28:01.471, 0, 36, 32426, 32768
2026/05/26 01:28:01.471, 1, 5, 32072, 32768
2026/05/26 01:28:01.472, 2, 5, 32072, 32768
2026/05/26 01:28:01.472, 3, 4, 32072, 32768
2026/05/26 01:28:01.472, 4, 3, 32072, 32768
2026/05/26 01:28:01.472, 5, 11, 32072, 32768
2026/05/26 01:28:01.472, 6, 11, 32072, 32768
2026/05/26 01:28:01.473, 7, 12, 32072, 32768
2026/05/26 01:28:02.065, 0, 39, 32426, 32768
2026/05/26 01:28:02.066, 1, 6, 32072, 32768
2026/05/26 01:28:02.066, 2, 5, 32072, 32768
2026/05/26 01:28:02.066, 3, 4, 32072, 32768
2026/05/26 01:28:02.066, 4, 5, 32072, 32768
2026/05/26 01:28:02.067, 5, 12, 32072, 32768
2026/05/26 01:28:02.067, 6, 12, 32072, 32768
2026/05/26 01:28:02.067, 7, 10, 32072, 32768
2026/05/26 01:28:02.694, 0, 34, 32426, 32768
2026/05/26 01:28:02.694, 1, 4, 32072, 32768
2026/05/26 01:28:02.695, 2, 4, 32072, 32768
2026/05/26 01:28:02.695, 3, 3, 32072, 32768
2026/05/26 01:28:02.695, 4, 4, 32072, 32768
2026/05/26 01:28:02.695, 5, 10, 32072, 32768
