timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 03:09:10.199, 0, 0, 30792, 32768
2026/05/26 03:09:10.199, 1, 0, 30422, 32768
2026/05/26 03:09:10.200, 2, 0, 30372, 32768
2026/05/26 03:09:10.200, 3, 0, 30372, 32768
2026/05/26 03:09:10.201, 4, 0, 30372, 32768
2026/05/26 03:09:10.201, 5, 0, 30372, 32768
2026/05/26 03:09:10.201, 6, 0, 30372, 32768
2026/05/26 03:09:10.202, 7, 0, 30372, 32768
2026/05/26 03:09:10.803, 0, 0, 30862, 32768
2026/05/26 03:09:10.804, 1, 0, 30480, 32768
2026/05/26 03:09:10.804, 2, 0, 30480, 32768
2026/05/26 03:09:10.805, 3, 0, 30446, 32768
2026/05/26 03:09:10.805, 4, 0, 30438, 32768
2026/05/26 03:09:10.806, 5, 0, 30438, 32768
2026/05/26 03:09:10.807, 6, 0, 30438, 32768
2026/05/26 03:09:10.808, 7, 0, 30438, 32768
2026/05/26 03:09:11.456, 0, 0, 31062, 32768
2026/05/26 03:09:11.457, 1, 0, 30684, 32768
2026/05/26 03:09:11.458, 2, 0, 30684, 32768
2026/05/26 03:09:11.458, 3, 0, 30684, 32768
2026/05/26 03:09:11.459, 4, 0, 30666, 32768
2026/05/26 03:09:11.460, 5, 0, 30642, 32768
2026/05/26 03:09:11.461, 6, 0, 30642, 32768
2026/05/26 03:09:11.461, 7, 0, 30642, 32768
2026/05/26 03:09:11.789, 0, 5, 31262, 32768
2026/05/26 03:09:11.790, 1, 1, 30888, 32768
2026/05/26 03:09:11.790, 2, 1, 30888, 32768
2026/05/26 03:09:11.791, 3, 1, 30888, 32768
2026/05/26 03:09:11.792, 4, 1, 30854, 32768
2026/05/26 03:09:11.792, 5, 2, 30846, 32768
2026/05/26 03:09:11.793, 6, 1, 30846, 32768
2026/05/26 03:09:11.794, 7, 2, 30846, 32768
2026/05/26 03:09:12.194, 0, 0, 31302, 32768
2026/05/26 03:09:12.194, 1, 0, 30896, 32768
2026/05/26 03:09:12.195, 2, 0, 30888, 32768
2026/05/26 03:09:12.195, 3, 0, 30888, 32768
2026/05/26 03:09:12.196, 4, 0, 30888, 32768
2026/05/26 03:09:12.196, 5, 0, 30888, 32768
2026/05/26 03:09:12.196, 6, 0, 30888, 32768
2026/05/26 03:09:12.197, 7, 0, 30888, 32768
2026/05/26 03:09:12.838, 0, 0, 31462, 32768
2026/05/26 03:09:12.839, 1, 0, 31092, 32768
2026/05/26 03:09:12.839, 2, 0, 31092, 32768
2026/05/26 03:09:12.840, 3, 0, 31092, 32768
2026/05/26 03:09:12.840, 4, 0, 31092, 32768
2026/05/26 03:09:12.841, 5, 0, 31092, 32768
2026/05/26 03:09:12.841, 6, 0, 31092, 32768
2026/05/26 03:09:12.841, 7, 0, 31058, 32768
2026/05/26 03:09:13.209, 0, 7, 31662, 32768
