timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 11:18:48.798, 0, 0, 29540, 32768
2026/05/26 11:18:48.799, 1, 0, 29202, 32768
2026/05/26 11:18:48.799, 2, 0, 29106, 32768
2026/05/26 11:18:48.799, 3, 0, 29110, 32768
2026/05/26 11:18:48.799, 4, 0, 29182, 32768
2026/05/26 11:18:48.800, 5, 0, 29198, 32768
2026/05/26 11:18:48.800, 6, 0, 29150, 32768
2026/05/26 11:18:48.800, 7, 0, 29126, 32768
2026/05/26 11:18:49.390, 0, 0, 29672, 32768
2026/05/26 11:18:49.390, 1, 0, 29330, 32768
2026/05/26 11:18:49.391, 2, 0, 29226, 32768
2026/05/26 11:18:49.391, 3, 0, 29230, 32768
2026/05/26 11:18:49.391, 4, 0, 29302, 32768
2026/05/26 11:18:49.392, 5, 0, 29318, 32768
2026/05/26 11:18:49.392, 6, 0, 29270, 32768
2026/05/26 11:18:49.392, 7, 0, 29246, 32768
2026/05/26 11:18:49.982, 0, 4, 29808, 32768
2026/05/26 11:18:49.982, 1, 0, 29476, 32768
2026/05/26 11:18:49.983, 2, 1, 29380, 32768
2026/05/26 11:18:49.983, 3, 1, 29384, 32768
2026/05/26 11:18:49.984, 4, 0, 29456, 32768
2026/05/26 11:18:49.984, 5, 1, 29472, 32768
2026/05/26 11:18:49.984, 6, 0, 29424, 32768
2026/05/26 11:18:49.984, 7, 2, 29398, 32768
2026/05/26 11:18:50.577, 0, 4, 29968, 32768
2026/05/26 11:18:50.578, 1, 1, 29644, 32768
2026/05/26 11:18:50.578, 2, 1, 29548, 32768
2026/05/26 11:18:50.579, 3, 0, 29552, 32768
2026/05/26 11:18:50.579, 4, 1, 29598, 32768
2026/05/26 11:18:50.579, 5, 1, 29614, 32768
2026/05/26 11:18:50.580, 6, 1, 29566, 32768
2026/05/26 11:18:50.580, 7, 1, 29542, 32768
2026/05/26 11:18:51.221, 0, 12, 30148, 32768
2026/05/26 11:18:51.222, 1, 2, 29832, 32768
2026/05/26 11:18:51.223, 2, 1, 29736, 32768
2026/05/26 11:18:51.223, 3, 2, 29740, 32768
2026/05/26 11:18:51.224, 4, 1, 29812, 32768
2026/05/26 11:18:51.225, 5, 3, 29828, 32768
2026/05/26 11:18:51.226, 6, 3, 29780, 32768
2026/05/26 11:18:51.226, 7, 3, 29756, 32768
2026/05/26 11:18:52.041, 0, 45, 30254, 32768
2026/05/26 11:18:52.042, 1, 5, 29940, 32768
2026/05/26 11:18:52.042, 2, 5, 29844, 32768
2026/05/26 11:18:52.043, 3, 5, 29848, 32768
2026/05/26 11:18:52.043, 4, 5, 29920, 32768
2026/05/26 11:18:52.043, 5, 11, 29936, 32768
2026/05/26 11:18:52.044, 6, 11, 29888, 32768
2026/05/26 11:18:52.044, 7, 12, 29864, 32768
2026/05/26 11:18:52.651, 0, 44, 30254, 32768
2026/05/26 11:18:52.652, 1, 4, 29940, 32768
2026/05/26 11:18:52.652, 2, 4, 29844, 32768
2026/05/26 11:18:52.652, 3, 5, 29848, 32768
2026/05/26 11:18:52.652, 4, 4, 29920, 32768
2026/05/26 11:18:52.652, 5, 8, 29936, 32768
2026/05/26 11:18:52.653, 6, 8, 29888, 32768
2026/05/26 11:18:52.653, 7, 14, 29864, 32768
2026/05/26 11:18:53.258, 0, 37, 30254, 32768
2026/05/26 11:18:53.259, 1, 5, 29940, 32768
2026/05/26 11:18:53.259, 2, 6, 29844, 32768
2026/05/26 11:18:53.259, 3, 6, 29848, 32768
2026/05/26 11:18:53.259, 4, 5, 29920, 32768
2026/05/26 11:18:53.260, 5, 10, 29936, 32768
2026/05/26 11:18:53.260, 6, 9, 29888, 32768
2026/05/26 11:18:53.260, 7, 12, 29864, 32768
2026/05/26 11:18:53.847, 0, 37, 30254, 32768
2026/05/26 11:18:53.848, 1, 6, 29940, 32768
2026/05/26 11:18:53.848, 2, 5, 29844, 32768
2026/05/26 11:18:53.848, 3, 5, 29848, 32768
2026/05/26 11:18:53.849, 4, 4, 29920, 32768
2026/05/26 11:18:53.849, 5, 9, 29936, 32768
2026/05/26 11:18:53.849, 6, 9, 29888, 32768
2026/05/26 11:18:53.849, 7, 11, 29864, 32768
2026/05/26 11:18:54.460, 0, 35, 30254, 32768
2026/05/26 11:18:54.460, 1, 5, 29940, 32768
2026/05/26 11:18:54.461, 2, 5, 29844, 32768
2026/05/26 11:18:54.461, 3, 4, 29848, 32768
2026/05/26 11:18:54.461, 4, 5, 29920, 32768
2026/05/26 11:18:54.462, 5, 10, 29936, 32768
2026/05/26 11:18:54.462, 6, 10, 29888, 32768
2026/05/26 11:18:54.463, 7, 9, 29864, 32768
2026/05/26 11:18:55.054, 0, 31, 30254, 32768
2026/05/26 11:18:55.055, 1, 4, 29940, 32768
2026/05/26 11:18:55.055, 2, 4, 29844, 32768
2026/05/26 11:18:55.055, 3, 4, 29848, 32768
2026/05/26 11:18:55.056, 4, 4, 29920, 32768
2026/05/26 11:18:55.056, 5, 8, 29936, 32768
2026/05/26 11:18:55.057, 6, 8, 29888, 32768
2026/05/26 11:18:55.057, 7, 8, 29864, 32768
2026/05/26 11:18:55.774, 0, 31, 30254, 32768
2026/05/26 11:18:55.794, 1, 4, 29940, 32768
2026/05/26 11:18:55.808, 2, 4, 29844, 32768
2026/05/26 11:18:55.820, 3, 6, 29848, 32768
2026/05/26 11:18:55.834, 4, 4, 29920, 32768
2026/05/26 11:18:55.848, 5, 13, 29936, 32768
2026/05/26 11:18:55.860, 6, 13, 29888, 32768
2026/05/26 11:18:55.874, 7, 15, 29864, 32768
2026/05/26 11:18:56.582, 0, 36, 30254, 32768
2026/05/26 11:18:56.582, 1, 4, 29940, 32768
2026/05/26 11:18:56.583, 2, 5, 29844, 32768
2026/05/26 11:18:56.583, 3, 4, 29848, 32768
2026/05/26 11:18:56.583, 4, 4, 29920, 32768
2026/05/26 11:18:56.583, 5, 10, 29936, 32768
2026/05/26 11:18:56.583, 6, 10, 29888, 32768
2026/05/26 11:18:56.584, 7, 11, 29864, 32768
2026/05/26 11:18:57.178, 0, 40, 30254, 32768
2026/05/26 11:18:57.178, 1, 5, 29940, 32768
2026/05/26 11:18:57.178, 2, 4, 29844, 32768
2026/05/26 11:18:57.178, 3, 4, 29848, 32768
2026/05/26 11:18:57.179, 4, 5, 29920, 32768
2026/05/26 11:18:57.179, 5, 8, 29936, 32768
2026/05/26 11:18:57.179, 6, 9, 29888, 32768
2026/05/26 11:18:57.179, 7, 10, 29864, 32768
2026/05/26 11:18:57.809, 0, 7, 30388, 32768
2026/05/26 11:18:57.809, 1, 0, 30070, 32768
2026/05/26 11:18:57.809, 2, 0, 29844, 32768
2026/05/26 11:18:57.809, 3, 0, 29848, 32768
2026/05/26 11:18:57.810, 4, 0, 29920, 32768
2026/05/26 11:18:57.810, 5, 0, 29936, 32768
2026/05/26 11:18:57.810, 6, 0, 29888, 32768
2026/05/26 11:18:57.810, 7, 0, 29864, 32768
2026/05/26 11:18:58.420, 0, 0, 30388, 32768
2026/05/26 11:18:58.420, 1, 0, 30070, 32768
2026/05/26 11:18:58.421, 2, 0, 29974, 32768
2026/05/26 11:18:58.421, 3, 0, 29978, 32768
2026/05/26 11:18:58.421, 4, 7, 30050, 32768
2026/05/26 11:18:58.421, 5, 3, 30066, 32768
2026/05/26 11:18:58.422, 6, 0, 30018, 32768
2026/05/26 11:18:58.422, 7, 0, 29864, 32768
2026/05/26 11:18:58.988, 0, 3, 30254, 32768
2026/05/26 11:18:58.988, 1, 0, 29940, 32768
2026/05/26 11:18:58.989, 2, 3, 29844, 32768
2026/05/26 11:18:58.989, 3, 3, 29848, 32768
2026/05/26 11:18:58.989, 4, 3, 29920, 32768
2026/05/26 11:18:58.989, 5, 3, 29936, 32768
2026/05/26 11:18:58.989, 6, 3, 29888, 32768
2026/05/26 11:18:58.990, 7, 0, 29864, 32768
2026/05/26 11:18:59.604, 0, 7, 30388, 32768
2026/05/26 11:18:59.604, 1, 0, 30070, 32768
2026/05/26 11:18:59.605, 2, 0, 29844, 32768
2026/05/26 11:18:59.605, 3, 0, 29848, 32768
2026/05/26 11:18:59.605, 4, 0, 29920, 32768
2026/05/26 11:18:59.605, 5, 0, 29936, 32768
2026/05/26 11:18:59.605, 6, 0, 29888, 32768
2026/05/26 11:18:59.606, 7, 0, 29864, 32768
2026/05/26 11:19:00.196, 0, 0, 30388, 32768
2026/05/26 11:19:00.197, 1, 0, 30070, 32768
2026/05/26 11:19:00.197, 2, 0, 29974, 32768
2026/05/26 11:19:00.198, 3, 0, 29978, 32768
2026/05/26 11:19:00.198, 4, 7, 30050, 32768
2026/05/26 11:19:00.198, 5, 7, 30066, 32768
2026/05/26 11:19:00.199, 6, 7, 30018, 32768
2026/05/26 11:19:00.199, 7, 0, 29864, 32768
