timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 11:30:20.997, 0, 0, 28908, 32768
2026/05/26 11:30:20.998, 1, 0, 28538, 32768
2026/05/26 11:30:20.998, 2, 0, 28522, 32768
2026/05/26 11:30:20.999, 3, 0, 28522, 32768
2026/05/26 11:30:21.000, 4, 0, 28522, 32768
2026/05/26 11:30:21.000, 5, 0, 28522, 32768
2026/05/26 11:30:21.001, 6, 0, 28522, 32768
2026/05/26 11:30:21.001, 7, 0, 28522, 32768
2026/05/26 11:30:21.650, 0, 0, 28972, 32768
2026/05/26 11:30:21.651, 1, 0, 28592, 32768
2026/05/26 11:30:21.651, 2, 0, 28582, 32768
2026/05/26 11:30:21.652, 3, 0, 28582, 32768
2026/05/26 11:30:21.652, 4, 0, 28582, 32768
2026/05/26 11:30:21.652, 5, 0, 28582, 32768
2026/05/26 11:30:21.653, 6, 0, 28582, 32768
2026/05/26 11:30:21.653, 7, 0, 28582, 32768
2026/05/26 11:30:22.314, 0, 0, 29074, 32768
2026/05/26 11:30:22.315, 1, 0, 28700, 32768
2026/05/26 11:30:22.315, 2, 0, 28700, 32768
2026/05/26 11:30:22.315, 3, 0, 28700, 32768
2026/05/26 11:30:22.315, 4, 0, 28700, 32768
2026/05/26 11:30:22.316, 5, 0, 28700, 32768
2026/05/26 11:30:22.316, 6, 0, 28700, 32768
2026/05/26 11:30:22.316, 7, 0, 28700, 32768
2026/05/26 11:30:23.011, 0, 0, 29200, 32768
2026/05/26 11:30:23.012, 1, 0, 28832, 32768
2026/05/26 11:30:23.012, 2, 0, 28832, 32768
2026/05/26 11:30:23.013, 3, 0, 28832, 32768
2026/05/26 11:30:23.013, 4, 0, 28832, 32768
2026/05/26 11:30:23.014, 5, 0, 28832, 32768
2026/05/26 11:30:23.014, 6, 0, 28816, 32768
2026/05/26 11:30:23.015, 7, 0, 28808, 32768
2026/05/26 11:30:23.753, 0, 0, 29302, 32768
2026/05/26 11:30:23.754, 1, 0, 28940, 32768
2026/05/26 11:30:23.754, 2, 0, 28940, 32768
2026/05/26 11:30:23.755, 3, 0, 28940, 32768
2026/05/26 11:30:23.755, 4, 0, 28940, 32768
2026/05/26 11:30:23.756, 5, 0, 28940, 32768
2026/05/26 11:30:23.756, 6, 0, 28940, 32768
2026/05/26 11:30:23.756, 7, 0, 28940, 32768
2026/05/26 11:30:24.413, 0, 2, 29414, 32768
2026/05/26 11:30:24.414, 1, 0, 29056, 32768
2026/05/26 11:30:24.414, 2, 0, 29046, 32768
2026/05/26 11:30:24.414, 3, 0, 29046, 32768
2026/05/26 11:30:24.415, 4, 0, 29046, 32768
2026/05/26 11:30:24.415, 5, 0, 29046, 32768
2026/05/26 11:30:24.416, 6, 0, 29046, 32768
2026/05/26 11:30:24.416, 7, 0, 29046, 32768
2026/05/26 11:30:25.089, 0, 2, 29516, 32768
2026/05/26 11:30:25.090, 1, 0, 29164, 32768
2026/05/26 11:30:25.090, 2, 0, 29164, 32768
2026/05/26 11:30:25.090, 3, 0, 29164, 32768
2026/05/26 11:30:25.091, 4, 0, 29164, 32768
2026/05/26 11:30:25.091, 5, 0, 29164, 32768
2026/05/26 11:30:25.092, 6, 0, 29164, 32768
2026/05/26 11:30:25.092, 7, 0, 29164, 32768
2026/05/26 11:30:25.764, 0, 4, 29620, 32768
2026/05/26 11:30:25.764, 1, 0, 29270, 32768
2026/05/26 11:30:25.764, 2, 0, 29270, 32768
2026/05/26 11:30:25.764, 3, 0, 29270, 32768
2026/05/26 11:30:25.765, 4, 0, 29270, 32768
2026/05/26 11:30:25.765, 5, 0, 29270, 32768
2026/05/26 11:30:25.765, 6, 0, 29270, 32768
2026/05/26 11:30:25.765, 7, 0, 29270, 32768
2026/05/26 11:30:26.385, 0, 33, 29620, 32768
2026/05/26 11:30:26.386, 1, 2, 29270, 32768
2026/05/26 11:30:26.386, 2, 3, 29270, 32768
2026/05/26 11:30:26.386, 3, 3, 29270, 32768
2026/05/26 11:30:26.386, 4, 2, 29270, 32768
2026/05/26 11:30:26.387, 5, 4, 29270, 32768
2026/05/26 11:30:26.387, 6, 4, 29270, 32768
2026/05/26 11:30:26.387, 7, 5, 29270, 32768
2026/05/26 11:30:26.992, 0, 48, 29620, 32768
2026/05/26 11:30:26.993, 1, 5, 29270, 32768
2026/05/26 11:30:26.993, 2, 5, 29270, 32768
2026/05/26 11:30:26.993, 3, 5, 29270, 32768
2026/05/26 11:30:26.994, 4, 4, 29270, 32768
2026/05/26 11:30:26.994, 5, 12, 29270, 32768
2026/05/26 11:30:26.994, 6, 12, 29270, 32768
2026/05/26 11:30:26.995, 7, 14, 29270, 32768
2026/05/26 11:30:27.600, 0, 48, 29620, 32768
2026/05/26 11:30:27.601, 1, 4, 29270, 32768
2026/05/26 11:30:27.601, 2, 5, 29270, 32768
2026/05/26 11:30:27.601, 3, 4, 29270, 32768
2026/05/26 11:30:27.601, 4, 4, 29270, 32768
2026/05/26 11:30:27.601, 5, 9, 29270, 32768
2026/05/26 11:30:27.602, 6, 8, 29270, 32768
2026/05/26 11:30:27.602, 7, 10, 29270, 32768
2026/05/26 11:30:28.191, 0, 40, 29620, 32768
2026/05/26 11:30:28.191, 1, 4, 29270, 32768
