timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 12:07:04.120, 0, 0, 30340, 32768
2026/05/26 12:07:04.120, 1, 0, 29998, 32768
2026/05/26 12:07:04.121, 2, 0, 29902, 32768
2026/05/26 12:07:04.121, 3, 0, 29906, 32768
2026/05/26 12:07:04.121, 4, 0, 29978, 32768
2026/05/26 12:07:04.121, 5, 0, 29994, 32768
2026/05/26 12:07:04.121, 6, 0, 29946, 32768
2026/05/26 12:07:04.122, 7, 0, 29922, 32768
2026/05/26 12:07:04.763, 0, 8, 30382, 32768
2026/05/26 12:07:04.764, 1, 3, 30040, 32768
2026/05/26 12:07:04.764, 2, 3, 29944, 32768
2026/05/26 12:07:04.765, 3, 3, 29938, 32768
2026/05/26 12:07:04.765, 4, 3, 30010, 32768
2026/05/26 12:07:04.766, 5, 3, 30026, 32768
2026/05/26 12:07:04.766, 6, 4, 29978, 32768
2026/05/26 12:07:04.767, 7, 2, 29954, 32768
2026/05/26 12:07:05.516, 0, 8, 30474, 32768
2026/05/26 12:07:05.531, 1, 2, 30120, 32768
2026/05/26 12:07:05.541, 2, 0, 30016, 32768
2026/05/26 12:07:05.552, 3, 3, 30020, 32768
2026/05/26 12:07:05.562, 4, 2, 30092, 32768
2026/05/26 12:07:05.577, 5, 0, 30108, 32768
2026/05/26 12:07:05.578, 6, 1, 30060, 32768
2026/05/26 12:07:05.579, 7, 2, 30036, 32768
2026/05/26 12:07:06.188, 0, 0, 30552, 32768
2026/05/26 12:07:06.188, 1, 2, 30218, 32768
2026/05/26 12:07:06.188, 2, 0, 30122, 32768
2026/05/26 12:07:06.189, 3, 0, 30126, 32768
2026/05/26 12:07:06.189, 4, 0, 30198, 32768
2026/05/26 12:07:06.189, 5, 0, 30214, 32768
2026/05/26 12:07:06.189, 6, 2, 30166, 32768
2026/05/26 12:07:06.190, 7, 0, 30142, 32768
2026/05/26 12:07:06.796, 0, 8, 30654, 32768
2026/05/26 12:07:06.797, 1, 0, 30326, 32768
2026/05/26 12:07:06.797, 2, 2, 30230, 32768
2026/05/26 12:07:06.797, 3, 3, 30234, 32768
2026/05/26 12:07:06.797, 4, 3, 30306, 32768
2026/05/26 12:07:06.798, 5, 4, 30322, 32768
2026/05/26 12:07:06.798, 6, 1, 30274, 32768
2026/05/26 12:07:06.798, 7, 4, 30250, 32768
2026/05/26 12:07:07.613, 0, 4, 30772, 32768
2026/05/26 12:07:07.630, 1, 2, 30432, 32768
2026/05/26 12:07:07.642, 2, 2, 30336, 32768
2026/05/26 12:07:07.658, 3, 2, 30340, 32768
2026/05/26 12:07:07.669, 4, 2, 30412, 32768
2026/05/26 12:07:07.679, 5, 2, 30428, 32768
2026/05/26 12:07:07.679, 6, 2, 30380, 32768
2026/05/26 12:07:07.680, 7, 2, 30356, 32768
2026/05/26 12:07:08.275, 0, 4, 30858, 32768
2026/05/26 12:07:08.275, 1, 0, 30540, 32768
2026/05/26 12:07:08.276, 2, 0, 30444, 32768
2026/05/26 12:07:08.276, 3, 2, 30448, 32768
2026/05/26 12:07:08.276, 4, 0, 30520, 32768
2026/05/26 12:07:08.276, 5, 2, 30536, 32768
2026/05/26 12:07:08.277, 6, 0, 30488, 32768
2026/05/26 12:07:08.277, 7, 0, 30464, 32768
2026/05/26 12:07:08.849, 0, 0, 30950, 32768
2026/05/26 12:07:08.849, 1, 2, 30636, 32768
2026/05/26 12:07:08.849, 2, 0, 30540, 32768
2026/05/26 12:07:08.850, 3, 0, 30544, 32768
2026/05/26 12:07:08.850, 4, 1, 30616, 32768
2026/05/26 12:07:08.850, 5, 0, 30632, 32768
2026/05/26 12:07:08.850, 6, 3, 30584, 32768
2026/05/26 12:07:08.850, 7, 1, 30560, 32768
2026/05/26 12:07:09.438, 0, 10, 31032, 32768
2026/05/26 12:07:09.439, 1, 1, 30718, 32768
2026/05/26 12:07:09.439, 2, 2, 30622, 32768
2026/05/26 12:07:09.439, 3, 4, 30626, 32768
2026/05/26 12:07:09.439, 4, 0, 30698, 32768
2026/05/26 12:07:09.439, 5, 4, 30714, 32768
2026/05/26 12:07:09.440, 6, 2, 30666, 32768
2026/05/26 12:07:09.440, 7, 0, 30642, 32768
2026/05/26 12:07:10.032, 0, 20, 31032, 32768
2026/05/26 12:07:10.032, 1, 8, 30718, 32768
2026/05/26 12:07:10.033, 2, 8, 30622, 32768
2026/05/26 12:07:10.033, 3, 9, 30626, 32768
2026/05/26 12:07:10.033, 4, 8, 30698, 32768
2026/05/26 12:07:10.034, 5, 10, 30714, 32768
2026/05/26 12:07:10.034, 6, 9, 30666, 32768
2026/05/26 12:07:10.034, 7, 10, 30642, 32768
2026/05/26 12:07:10.884, 0, 20, 31032, 32768
2026/05/26 12:07:10.884, 1, 8, 30718, 32768
2026/05/26 12:07:10.885, 2, 8, 30622, 32768
2026/05/26 12:07:10.885, 3, 8, 30626, 32768
2026/05/26 12:07:10.885, 4, 8, 30698, 32768
2026/05/26 12:07:10.886, 5, 9, 30714, 32768
2026/05/26 12:07:10.886, 6, 9, 30666, 32768
2026/05/26 12:07:10.887, 7, 9, 30642, 32768
2026/05/26 12:07:11.516, 0, 19, 31032, 32768
2026/05/26 12:07:11.517, 1, 8, 30718, 32768
2026/05/26 12:07:11.517, 2, 6, 30622, 32768
2026/05/26 12:07:11.517, 3, 7, 30626, 32768
2026/05/26 12:07:11.517, 4, 8, 30698, 32768
2026/05/26 12:07:11.517, 5, 8, 30714, 32768
2026/05/26 12:07:11.518, 6, 9, 30666, 32768
2026/05/26 12:07:11.518, 7, 9, 30642, 32768
2026/05/26 12:07:12.135, 0, 21, 31032, 32768
2026/05/26 12:07:12.146, 1, 8, 30718, 32768
2026/05/26 12:07:12.156, 2, 8, 30622, 32768
2026/05/26 12:07:12.162, 3, 8, 30626, 32768
2026/05/26 12:07:12.172, 4, 8, 30698, 32768
2026/05/26 12:07:12.183, 5, 10, 30714, 32768
2026/05/26 12:07:12.195, 6, 10, 30666, 32768
2026/05/26 12:07:12.205, 7, 10, 30642, 32768
2026/05/26 12:07:12.897, 0, 11, 31032, 32768
2026/05/26 12:07:12.898, 1, 4, 30718, 32768
2026/05/26 12:07:12.898, 2, 4, 30622, 32768
2026/05/26 12:07:12.898, 3, 4, 30626, 32768
2026/05/26 12:07:12.898, 4, 4, 30698, 32768
2026/05/26 12:07:12.898, 5, 5, 30714, 32768
2026/05/26 12:07:12.899, 6, 5, 30666, 32768
2026/05/26 12:07:12.899, 7, 5, 30642, 32768
2026/05/26 12:07:13.467, 0, 20, 31032, 32768
2026/05/26 12:07:13.467, 1, 7, 30718, 32768
2026/05/26 12:07:13.468, 2, 8, 30622, 32768
2026/05/26 12:07:13.468, 3, 8, 30626, 32768
2026/05/26 12:07:13.468, 4, 6, 30698, 32768
2026/05/26 12:07:13.469, 5, 10, 30714, 32768
2026/05/26 12:07:13.469, 6, 9, 30666, 32768
2026/05/26 12:07:13.470, 7, 6, 30642, 32768
2026/05/26 12:07:14.044, 0, 21, 31032, 32768
2026/05/26 12:07:14.044, 1, 8, 30718, 32768
2026/05/26 12:07:14.044, 2, 8, 30622, 32768
2026/05/26 12:07:14.045, 3, 8, 30626, 32768
2026/05/26 12:07:14.045, 4, 9, 30698, 32768
2026/05/26 12:07:14.045, 5, 10, 30714, 32768
2026/05/26 12:07:14.046, 6, 9, 30666, 32768
2026/05/26 12:07:14.046, 7, 10, 30642, 32768
2026/05/26 12:07:14.777, 0, 8, 31032, 32768
2026/05/26 12:07:14.783, 1, 4, 30718, 32768
2026/05/26 12:07:14.800, 2, 3, 30622, 32768
2026/05/26 12:07:14.807, 3, 3, 30626, 32768
2026/05/26 12:07:14.818, 4, 4, 30698, 32768
2026/05/26 12:07:14.819, 5, 4, 30714, 32768
2026/05/26 12:07:14.836, 6, 5, 30666, 32768
2026/05/26 12:07:14.843, 7, 4, 30642, 32768
2026/05/26 12:07:15.484, 0, 21, 31032, 32768
2026/05/26 12:07:15.484, 1, 9, 30718, 32768
2026/05/26 12:07:15.484, 2, 9, 30622, 32768
2026/05/26 12:07:15.485, 3, 8, 30626, 32768
2026/05/26 12:07:15.485, 4, 8, 30698, 32768
2026/05/26 12:07:15.485, 5, 10, 30714, 32768
2026/05/26 12:07:15.485, 6, 9, 30666, 32768
2026/05/26 12:07:15.485, 7, 9, 30642, 32768
2026/05/26 12:07:16.076, 0, 21, 31032, 32768
2026/05/26 12:07:16.077, 1, 8, 30718, 32768
2026/05/26 12:07:16.077, 2, 8, 30622, 32768
2026/05/26 12:07:16.078, 3, 8, 30626, 32768
2026/05/26 12:07:16.078, 4, 9, 30698, 32768
2026/05/26 12:07:16.078, 5, 10, 30714, 32768
2026/05/26 12:07:16.079, 6, 10, 30666, 32768
2026/05/26 12:07:16.079, 7, 10, 30642, 32768
2026/05/26 12:07:16.792, 0, 11, 31032, 32768
2026/05/26 12:07:16.803, 1, 4, 30718, 32768
2026/05/26 12:07:16.813, 2, 4, 30622, 32768
2026/05/26 12:07:16.819, 3, 4, 30626, 32768
2026/05/26 12:07:16.830, 4, 4, 30698, 32768
2026/05/26 12:07:16.837, 5, 5, 30714, 32768
2026/05/26 12:07:16.846, 6, 5, 30666, 32768
2026/05/26 12:07:16.852, 7, 5, 30642, 32768
2026/05/26 12:07:17.494, 0, 21, 31032, 32768
2026/05/26 12:07:17.494, 1, 8, 30718, 32768
2026/05/26 12:07:17.494, 2, 8, 30622, 32768
2026/05/26 12:07:17.495, 3, 8, 30626, 32768
2026/05/26 12:07:17.495, 4, 8, 30698, 32768
2026/05/26 12:07:17.495, 5, 10, 30714, 32768
2026/05/26 12:07:17.495, 6, 10, 30666, 32768
2026/05/26 12:07:17.495, 7, 9, 30642, 32768
2026/05/26 12:07:18.083, 0, 20, 31032, 32768
2026/05/26 12:07:18.083, 1, 8, 30718, 32768
2026/05/26 12:07:18.083, 2, 8, 30622, 32768
2026/05/26 12:07:18.083, 3, 8, 30626, 32768
2026/05/26 12:07:18.083, 4, 8, 30698, 32768
2026/05/26 12:07:18.084, 5, 10, 30714, 32768
2026/05/26 12:07:18.084, 6, 8, 30666, 32768
2026/05/26 12:07:18.084, 7, 9, 30642, 32768
2026/05/26 12:07:18.655, 0, 21, 31032, 32768
2026/05/26 12:07:18.655, 1, 8, 30718, 32768
2026/05/26 12:07:18.655, 2, 8, 30622, 32768
2026/05/26 12:07:18.656, 3, 8, 30626, 32768
2026/05/26 12:07:18.656, 4, 8, 30698, 32768
2026/05/26 12:07:18.656, 5, 10, 30714, 32768
2026/05/26 12:07:18.656, 6, 10, 30666, 32768
2026/05/26 12:07:18.657, 7, 9, 30642, 32768
2026/05/26 12:07:19.255, 0, 21, 31032, 32768
2026/05/26 12:07:19.255, 1, 8, 30718, 32768
2026/05/26 12:07:19.256, 2, 8, 30622, 32768
2026/05/26 12:07:19.256, 3, 8, 30626, 32768
2026/05/26 12:07:19.256, 4, 8, 30698, 32768
2026/05/26 12:07:19.257, 5, 10, 30714, 32768
2026/05/26 12:07:19.257, 6, 10, 30666, 32768
2026/05/26 12:07:19.257, 7, 9, 30642, 32768
2026/05/26 12:07:20.080, 0, 14, 31032, 32768
2026/05/26 12:07:20.081, 1, 5, 30718, 32768
2026/05/26 12:07:20.082, 2, 6, 30622, 32768
2026/05/26 12:07:20.082, 3, 6, 30626, 32768
2026/05/26 12:07:20.083, 4, 8, 30698, 32768
2026/05/26 12:07:20.083, 5, 7, 30714, 32768
2026/05/26 12:07:20.084, 6, 9, 30666, 32768
2026/05/26 12:07:20.084, 7, 8, 30642, 32768
2026/05/26 12:07:20.672, 0, 21, 31032, 32768
2026/05/26 12:07:20.673, 1, 8, 30718, 32768
2026/05/26 12:07:20.673, 2, 8, 30622, 32768
2026/05/26 12:07:20.673, 3, 8, 30626, 32768
2026/05/26 12:07:20.673, 4, 9, 30698, 32768
2026/05/26 12:07:20.674, 5, 10, 30714, 32768
2026/05/26 12:07:20.674, 6, 10, 30666, 32768
2026/05/26 12:07:20.674, 7, 9, 30642, 32768
2026/05/26 12:07:21.261, 0, 21, 31032, 32768
2026/05/26 12:07:21.261, 1, 8, 30718, 32768
2026/05/26 12:07:21.261, 2, 8, 30622, 32768
2026/05/26 12:07:21.261, 3, 8, 30626, 32768
2026/05/26 12:07:21.261, 4, 9, 30698, 32768
2026/05/26 12:07:21.262, 5, 10, 30714, 32768
2026/05/26 12:07:21.262, 6, 9, 30666, 32768
2026/05/26 12:07:21.262, 7, 10, 30642, 32768
2026/05/26 12:07:21.852, 0, 21, 31032, 32768
2026/05/26 12:07:21.853, 1, 8, 30718, 32768
2026/05/26 12:07:21.853, 2, 8, 30622, 32768
2026/05/26 12:07:21.853, 3, 8, 30626, 32768
2026/05/26 12:07:21.854, 4, 8, 30698, 32768
2026/05/26 12:07:21.854, 5, 10, 30714, 32768
2026/05/26 12:07:21.854, 6, 10, 30666, 32768
2026/05/26 12:07:21.855, 7, 10, 30642, 32768
2026/05/26 12:07:22.714, 0, 21, 31032, 32768
2026/05/26 12:07:22.714, 1, 8, 30718, 32768
2026/05/26 12:07:22.715, 2, 8, 30622, 32768
2026/05/26 12:07:22.715, 3, 8, 30626, 32768
2026/05/26 12:07:22.715, 4, 8, 30698, 32768
2026/05/26 12:07:22.716, 5, 9, 30714, 32768
2026/05/26 12:07:22.716, 6, 10, 30666, 32768
2026/05/26 12:07:22.717, 7, 10, 30642, 32768
2026/05/26 12:07:23.312, 0, 20, 31032, 32768
2026/05/26 12:07:23.312, 1, 8, 30718, 32768
2026/05/26 12:07:23.313, 2, 7, 30622, 32768
2026/05/26 12:07:23.313, 3, 6, 30626, 32768
2026/05/26 12:07:23.313, 4, 6, 30698, 32768
2026/05/26 12:07:23.313, 5, 9, 30714, 32768
2026/05/26 12:07:23.314, 6, 8, 30666, 32768
2026/05/26 12:07:23.314, 7, 7, 30642, 32768
2026/05/26 12:07:23.978, 0, 21, 31032, 32768
2026/05/26 12:07:23.990, 1, 8, 30718, 32768
2026/05/26 12:07:24.000, 2, 8, 30622, 32768
2026/05/26 12:07:24.000, 3, 9, 30626, 32768
2026/05/26 12:07:24.016, 4, 8, 30698, 32768
2026/05/26 12:07:24.023, 5, 9, 30714, 32768
2026/05/26 12:07:24.034, 6, 10, 30666, 32768
2026/05/26 12:07:24.040, 7, 9, 30642, 32768
2026/05/26 12:07:24.759, 0, 9, 31032, 32768
2026/05/26 12:07:24.760, 1, 3, 30718, 32768
2026/05/26 12:07:24.760, 2, 4, 30622, 32768
2026/05/26 12:07:24.760, 3, 5, 30626, 32768
2026/05/26 12:07:24.760, 4, 5, 30698, 32768
2026/05/26 12:07:24.760, 5, 4, 30714, 32768
2026/05/26 12:07:24.761, 6, 6, 30666, 32768
2026/05/26 12:07:24.761, 7, 5, 30642, 32768
2026/05/26 12:07:25.351, 0, 20, 31032, 32768
2026/05/26 12:07:25.351, 1, 9, 30718, 32768
2026/05/26 12:07:25.351, 2, 8, 30622, 32768
2026/05/26 12:07:25.351, 3, 8, 30626, 32768
2026/05/26 12:07:25.352, 4, 8, 30698, 32768
2026/05/26 12:07:25.352, 5, 9, 30714, 32768
2026/05/26 12:07:25.352, 6, 9, 30666, 32768
2026/05/26 12:07:25.352, 7, 9, 30642, 32768
2026/05/26 12:07:25.977, 0, 20, 31032, 32768
2026/05/26 12:07:25.988, 1, 8, 30718, 32768
2026/05/26 12:07:25.999, 2, 8, 30622, 32768
2026/05/26 12:07:26.005, 3, 8, 30626, 32768
2026/05/26 12:07:26.016, 4, 8, 30698, 32768
2026/05/26 12:07:26.027, 5, 10, 30714, 32768
2026/05/26 12:07:26.039, 6, 10, 30666, 32768
2026/05/26 12:07:26.049, 7, 9, 30642, 32768
2026/05/26 12:07:26.753, 0, 21, 31032, 32768
2026/05/26 12:07:26.753, 1, 8, 30718, 32768
2026/05/26 12:07:26.753, 2, 8, 30622, 32768
2026/05/26 12:07:26.753, 3, 8, 30626, 32768
2026/05/26 12:07:26.753, 4, 8, 30698, 32768
2026/05/26 12:07:26.754, 5, 10, 30714, 32768
2026/05/26 12:07:26.754, 6, 9, 30666, 32768
2026/05/26 12:07:26.754, 7, 10, 30642, 32768
2026/05/26 12:07:27.340, 0, 21, 31032, 32768
2026/05/26 12:07:27.341, 1, 8, 30718, 32768
2026/05/26 12:07:27.341, 2, 8, 30622, 32768
2026/05/26 12:07:27.341, 3, 8, 30626, 32768
2026/05/26 12:07:27.341, 4, 8, 30698, 32768
2026/05/26 12:07:27.342, 5, 10, 30714, 32768
2026/05/26 12:07:27.342, 6, 9, 30666, 32768
2026/05/26 12:07:27.342, 7, 10, 30642, 32768
2026/05/26 12:07:28.015, 0, 15, 31032, 32768
2026/05/26 12:07:28.032, 1, 6, 30718, 32768
2026/05/26 12:07:28.044, 2, 8, 30622, 32768
2026/05/26 12:07:28.054, 3, 8, 30626, 32768
2026/05/26 12:07:28.065, 4, 8, 30698, 32768
2026/05/26 12:07:28.077, 5, 8, 30714, 32768
2026/05/26 12:07:28.087, 6, 5, 30666, 32768
2026/05/26 12:07:28.099, 7, 9, 30642, 32768
2026/05/26 12:07:28.812, 0, 21, 31032, 32768
2026/05/26 12:07:28.813, 1, 8, 30718, 32768
2026/05/26 12:07:28.813, 2, 9, 30622, 32768
2026/05/26 12:07:28.813, 3, 9, 30626, 32768
2026/05/26 12:07:28.813, 4, 9, 30698, 32768
2026/05/26 12:07:28.813, 5, 10, 30714, 32768
2026/05/26 12:07:28.814, 6, 10, 30666, 32768
2026/05/26 12:07:28.814, 7, 10, 30642, 32768
