timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 12:02:04.998, 0, 0, 29540, 32768
2026/05/26 12:02:04.999, 1, 0, 29202, 32768
2026/05/26 12:02:04.999, 2, 0, 29106, 32768
2026/05/26 12:02:05.000, 3, 0, 29110, 32768
2026/05/26 12:02:05.001, 4, 0, 29166, 32768
2026/05/26 12:02:05.001, 5, 0, 29178, 32768
2026/05/26 12:02:05.002, 6, 0, 29130, 32768
2026/05/26 12:02:05.002, 7, 0, 29106, 32768
2026/05/26 12:02:05.598, 0, 0, 29628, 32768
2026/05/26 12:02:05.598, 1, 0, 29286, 32768
2026/05/26 12:02:05.599, 2, 0, 29190, 32768
2026/05/26 12:02:05.599, 3, 0, 29194, 32768
2026/05/26 12:02:05.599, 4, 0, 29266, 32768
2026/05/26 12:02:05.600, 5, 1, 29282, 32768
2026/05/26 12:02:05.600, 6, 0, 29234, 32768
2026/05/26 12:02:05.600, 7, 0, 29202, 32768
2026/05/26 12:02:06.195, 0, 10, 29774, 32768
2026/05/26 12:02:06.195, 1, 1, 29440, 32768
2026/05/26 12:02:06.195, 2, 0, 29344, 32768
2026/05/26 12:02:06.195, 3, 0, 29348, 32768
2026/05/26 12:02:06.195, 4, 1, 29420, 32768
2026/05/26 12:02:06.196, 5, 1, 29436, 32768
2026/05/26 12:02:06.196, 6, 2, 29388, 32768
2026/05/26 12:02:06.196, 7, 1, 29364, 32768
2026/05/26 12:02:06.766, 0, 7, 29944, 32768
2026/05/26 12:02:06.767, 1, 0, 29618, 32768
2026/05/26 12:02:06.767, 2, 1, 29522, 32768
2026/05/26 12:02:06.768, 3, 1, 29526, 32768
2026/05/26 12:02:06.768, 4, 0, 29598, 32768
2026/05/26 12:02:06.769, 5, 3, 29614, 32768
2026/05/26 12:02:06.769, 6, 1, 29566, 32768
2026/05/26 12:02:06.770, 7, 3, 29540, 32768
2026/05/26 12:02:07.350, 0, 4, 30114, 32768
2026/05/26 12:02:07.351, 1, 2, 29796, 32768
2026/05/26 12:02:07.352, 2, 1, 29700, 32768
2026/05/26 12:02:07.352, 3, 1, 29704, 32768
2026/05/26 12:02:07.353, 4, 2, 29776, 32768
2026/05/26 12:02:07.354, 5, 3, 29792, 32768
2026/05/26 12:02:07.354, 6, 3, 29744, 32768
2026/05/26 12:02:07.355, 7, 2, 29718, 32768
2026/05/26 12:02:07.971, 0, 12, 30254, 32768
2026/05/26 12:02:07.983, 1, 2, 29940, 32768
2026/05/26 12:02:07.993, 2, 1, 29844, 32768
2026/05/26 12:02:07.999, 3, 2, 29848, 32768
2026/05/26 12:02:08.010, 4, 2, 29920, 32768
2026/05/26 12:02:08.021, 5, 3, 29936, 32768
2026/05/26 12:02:08.032, 6, 4, 29888, 32768
2026/05/26 12:02:08.041, 7, 4, 29864, 32768
2026/05/26 12:02:08.750, 0, 30, 30254, 32768
2026/05/26 12:02:08.750, 1, 4, 29940, 32768
2026/05/26 12:02:08.751, 2, 4, 29844, 32768
2026/05/26 12:02:08.751, 3, 4, 29848, 32768
2026/05/26 12:02:08.751, 4, 4, 29920, 32768
2026/05/26 12:02:08.751, 5, 11, 29936, 32768
2026/05/26 12:02:08.751, 6, 10, 29888, 32768
2026/05/26 12:02:08.751, 7, 14, 29864, 32768
2026/05/26 12:02:09.336, 0, 41, 30254, 32768
2026/05/26 12:02:09.337, 1, 5, 29940, 32768
2026/05/26 12:02:09.337, 2, 6, 29844, 32768
2026/05/26 12:02:09.337, 3, 5, 29848, 32768
