timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 11:49:58.851, 0, 0, 29562, 32768
2026/05/26 11:49:58.851, 1, 0, 29218, 32768
2026/05/26 11:49:58.851, 2, 0, 29122, 32768
2026/05/26 11:49:58.851, 3, 0, 29126, 32768
2026/05/26 11:49:58.852, 4, 0, 29198, 32768
2026/05/26 11:49:58.852, 5, 0, 29214, 32768
2026/05/26 11:49:58.852, 6, 0, 29166, 32768
2026/05/26 11:49:58.852, 7, 0, 29142, 32768
2026/05/26 11:49:59.462, 0, 8, 29672, 32768
2026/05/26 11:49:59.462, 1, 1, 29334, 32768
2026/05/26 11:49:59.462, 2, 1, 29238, 32768
2026/05/26 11:49:59.462, 3, 1, 29242, 32768
2026/05/26 11:49:59.463, 4, 1, 29314, 32768
2026/05/26 11:49:59.463, 5, 1, 29330, 32768
2026/05/26 11:49:59.463, 6, 1, 29282, 32768
2026/05/26 11:49:59.463, 7, 2, 29258, 32768
2026/05/26 11:50:00.031, 0, 5, 29842, 32768
2026/05/26 11:50:00.032, 1, 1, 29510, 32768
2026/05/26 11:50:00.033, 2, 0, 29404, 32768
2026/05/26 11:50:00.033, 3, 1, 29408, 32768
2026/05/26 11:50:00.034, 4, 1, 29480, 32768
2026/05/26 11:50:00.034, 5, 3, 29496, 32768
2026/05/26 11:50:00.035, 6, 3, 29448, 32768
2026/05/26 11:50:00.035, 7, 1, 29424, 32768
2026/05/26 11:50:00.663, 0, 12, 30012, 32768
2026/05/26 11:50:00.663, 1, 1, 29690, 32768
2026/05/26 11:50:00.664, 2, 1, 29594, 32768
2026/05/26 11:50:00.665, 3, 2, 29598, 32768
2026/05/26 11:50:00.665, 4, 2, 29670, 32768
2026/05/26 11:50:00.666, 5, 3, 29686, 32768
2026/05/26 11:50:00.666, 6, 2, 29638, 32768
2026/05/26 11:50:00.667, 7, 3, 29610, 32768
2026/05/26 11:50:01.411, 0, 8, 30182, 32768
2026/05/26 11:50:01.422, 1, 0, 29868, 32768
2026/05/26 11:50:01.437, 2, 0, 29772, 32768
2026/05/26 11:50:01.453, 3, 0, 29776, 32768
2026/05/26 11:50:01.463, 4, 0, 29848, 32768
2026/05/26 11:50:01.473, 5, 1, 29864, 32768
2026/05/26 11:50:01.484, 6, 1, 29816, 32768
2026/05/26 11:50:01.494, 7, 0, 29780, 32768
2026/05/26 11:50:02.120, 0, 30, 30254, 32768
2026/05/26 11:50:02.121, 1, 5, 29940, 32768
2026/05/26 11:50:02.121, 2, 4, 29844, 32768
2026/05/26 11:50:02.121, 3, 4, 29848, 32768
2026/05/26 11:50:02.121, 4, 4, 29920, 32768
2026/05/26 11:50:02.122, 5, 12, 29936, 32768
2026/05/26 11:50:02.122, 6, 12, 29888, 32768
2026/05/26 11:50:02.122, 7, 9, 29864, 32768
2026/05/26 11:50:02.710, 0, 41, 30254, 32768
2026/05/26 11:50:02.710, 1, 6, 29940, 32768
2026/05/26 11:50:02.711, 2, 5, 29844, 32768
2026/05/26 11:50:02.711, 3, 5, 29848, 32768
2026/05/26 11:50:02.711, 4, 5, 29920, 32768
2026/05/26 11:50:02.711, 5, 14, 29936, 32768
2026/05/26 11:50:02.712, 6, 13, 29888, 32768
2026/05/26 11:50:02.712, 7, 13, 29864, 32768
2026/05/26 11:50:03.345, 0, 36, 30254, 32768
2026/05/26 11:50:03.356, 1, 4, 29940, 32768
2026/05/26 11:50:03.366, 2, 4, 29844, 32768
2026/05/26 11:50:03.372, 3, 4, 29848, 32768
2026/05/26 11:50:03.382, 4, 4, 29920, 32768
2026/05/26 11:50:03.394, 5, 13, 29936, 32768
2026/05/26 11:50:03.405, 6, 12, 29888, 32768
2026/05/26 11:50:03.414, 7, 10, 29864, 32768
2026/05/26 11:50:04.112, 0, 44, 30254, 32768
2026/05/26 11:50:04.112, 1, 5, 29940, 32768
2026/05/26 11:50:04.112, 2, 6, 29844, 32768
2026/05/26 11:50:04.112, 3, 6, 29848, 32768
2026/05/26 11:50:04.113, 4, 6, 29920, 32768
2026/05/26 11:50:04.113, 5, 13, 29936, 32768
2026/05/26 11:50:04.113, 6, 13, 29888, 32768
2026/05/26 11:50:04.113, 7, 15, 29864, 32768
2026/05/26 11:50:04.680, 0, 31, 30254, 32768
2026/05/26 11:50:04.680, 1, 4, 29940, 32768
