timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 12:54:28.733, 0, 0, 29540, 32768
2026/05/26 12:54:28.734, 1, 0, 29202, 32768
2026/05/26 12:54:28.734, 2, 0, 29106, 32768
2026/05/26 12:54:28.735, 3, 0, 29110, 32768
2026/05/26 12:54:28.735, 4, 0, 29168, 32768
2026/05/26 12:54:28.736, 5, 0, 29178, 32768
2026/05/26 12:54:28.736, 6, 0, 29130, 32768
2026/05/26 12:54:28.737, 7, 0, 29106, 32768
2026/05/26 12:54:29.466, 0, 0, 29594, 32768
2026/05/26 12:54:29.467, 1, 0, 29252, 32768
2026/05/26 12:54:29.467, 2, 0, 29156, 32768
2026/05/26 12:54:29.468, 3, 0, 29160, 32768
2026/05/26 12:54:29.468, 4, 0, 29232, 32768
2026/05/26 12:54:29.468, 5, 0, 29248, 32768
2026/05/26 12:54:29.469, 6, 0, 29200, 32768
2026/05/26 12:54:29.469, 7, 0, 29176, 32768
2026/05/26 12:54:30.158, 0, 0, 29706, 32768
2026/05/26 12:54:30.159, 1, 0, 29370, 32768
2026/05/26 12:54:30.160, 2, 0, 29274, 32768
2026/05/26 12:54:30.160, 3, 0, 29276, 32768
2026/05/26 12:54:30.161, 4, 0, 29338, 32768
2026/05/26 12:54:30.161, 5, 0, 29354, 32768
2026/05/26 12:54:30.162, 6, 0, 29306, 32768
2026/05/26 12:54:30.163, 7, 0, 29282, 32768
2026/05/26 12:54:30.920, 0, 2, 29832, 32768
2026/05/26 12:54:30.921, 1, 0, 29500, 32768
2026/05/26 12:54:30.922, 2, 0, 29404, 32768
2026/05/26 12:54:30.922, 3, 0, 29408, 32768
2026/05/26 12:54:30.923, 4, 0, 29456, 32768
2026/05/26 12:54:30.923, 5, 1, 29472, 32768
2026/05/26 12:54:30.924, 6, 0, 29424, 32768
2026/05/26 12:54:30.925, 7, 0, 29400, 32768
2026/05/26 12:54:31.604, 0, 1, 29934, 32768
2026/05/26 12:54:31.604, 1, 0, 29608, 32768
2026/05/26 12:54:31.605, 2, 0, 29512, 32768
2026/05/26 12:54:31.605, 3, 0, 29516, 32768
2026/05/26 12:54:31.606, 4, 0, 29588, 32768
2026/05/26 12:54:31.606, 5, 1, 29596, 32768
2026/05/26 12:54:31.606, 6, 0, 29532, 32768
2026/05/26 12:54:31.607, 7, 0, 29508, 32768
2026/05/26 12:54:32.299, 0, 0, 30036, 32768
2026/05/26 12:54:32.300, 1, 0, 29714, 32768
2026/05/26 12:54:32.300, 2, 0, 29618, 32768
2026/05/26 12:54:32.300, 3, 0, 29622, 32768
2026/05/26 12:54:32.301, 4, 0, 29694, 32768
2026/05/26 12:54:32.301, 5, 0, 29710, 32768
2026/05/26 12:54:32.302, 6, 0, 29662, 32768
2026/05/26 12:54:32.303, 7, 0, 29638, 32768
2026/05/26 12:54:33.000, 0, 0, 30138, 32768
2026/05/26 12:54:33.001, 1, 0, 29822, 32768
2026/05/26 12:54:33.001, 2, 0, 29726, 32768
2026/05/26 12:54:33.001, 3, 0, 29730, 32768
2026/05/26 12:54:33.002, 4, 0, 29802, 32768
2026/05/26 12:54:33.002, 5, 0, 29818, 32768
2026/05/26 12:54:33.002, 6, 0, 29770, 32768
2026/05/26 12:54:33.003, 7, 0, 29746, 32768
2026/05/26 12:54:33.712, 0, 0, 30254, 32768
2026/05/26 12:54:33.713, 1, 0, 29940, 32768
2026/05/26 12:54:33.714, 2, 0, 29844, 32768
2026/05/26 12:54:33.714, 3, 0, 29848, 32768
2026/05/26 12:54:33.715, 4, 0, 29920, 32768
2026/05/26 12:54:33.716, 5, 0, 29936, 32768
2026/05/26 12:54:33.716, 6, 0, 29888, 32768
2026/05/26 12:54:33.717, 7, 0, 29864, 32768
2026/05/26 12:54:34.310, 0, 30, 30254, 32768
2026/05/26 12:54:34.311, 1, 3, 29940, 32768
2026/05/26 12:54:34.311, 2, 4, 29844, 32768
2026/05/26 12:54:34.311, 3, 3, 29848, 32768
2026/05/26 12:54:34.311, 4, 4, 29920, 32768
2026/05/26 12:54:34.312, 5, 6, 29936, 32768
2026/05/26 12:54:34.312, 6, 9, 29888, 32768
2026/05/26 12:54:34.312, 7, 9, 29864, 32768
2026/05/26 12:54:34.896, 0, 28, 30254, 32768
2026/05/26 12:54:34.897, 1, 3, 29940, 32768
2026/05/26 12:54:34.897, 2, 5, 29844, 32768
2026/05/26 12:54:34.897, 3, 3, 29848, 32768
2026/05/26 12:54:34.897, 4, 5, 29920, 32768
2026/05/26 12:54:34.897, 5, 7, 29936, 32768
2026/05/26 12:54:34.898, 6, 11, 29888, 32768
2026/05/26 12:54:34.898, 7, 14, 29864, 32768
2026/05/26 12:54:35.509, 0, 35, 30254, 32768
2026/05/26 12:54:35.509, 1, 5, 29940, 32768
2026/05/26 12:54:35.509, 2, 6, 29844, 32768
2026/05/26 12:54:35.509, 3, 5, 29848, 32768
2026/05/26 12:54:35.509, 4, 7, 29920, 32768
2026/05/26 12:54:35.510, 5, 9, 29936, 32768
2026/05/26 12:54:35.510, 6, 13, 29888, 32768
2026/05/26 12:54:35.510, 7, 13, 29864, 32768
2026/05/26 12:54:36.103, 0, 36, 30254, 32768
2026/05/26 12:54:36.103, 1, 5, 29940, 32768
2026/05/26 12:54:36.103, 2, 5, 29844, 32768
2026/05/26 12:54:36.104, 3, 5, 29848, 32768
2026/05/26 12:54:36.104, 4, 6, 29920, 32768
2026/05/26 12:54:36.104, 5, 12, 29936, 32768
2026/05/26 12:54:36.104, 6, 12, 29888, 32768
2026/05/26 12:54:36.104, 7, 12, 29864, 32768
2026/05/26 12:54:36.671, 0, 36, 30254, 32768
2026/05/26 12:54:36.672, 1, 5, 29940, 32768
2026/05/26 12:54:36.672, 2, 5, 29844, 32768
2026/05/26 12:54:36.672, 3, 6, 29848, 32768
2026/05/26 12:54:36.672, 4, 5, 29920, 32768
2026/05/26 12:54:36.672, 5, 12, 29936, 32768
2026/05/26 12:54:36.673, 6, 9, 29888, 32768
2026/05/26 12:54:36.673, 7, 10, 29864, 32768
2026/05/26 12:54:37.275, 0, 33, 30254, 32768
2026/05/26 12:54:37.276, 1, 4, 29940, 32768
2026/05/26 12:54:37.276, 2, 4, 29844, 32768
2026/05/26 12:54:37.276, 3, 5, 29848, 32768
2026/05/26 12:54:37.277, 4, 4, 29920, 32768
2026/05/26 12:54:37.277, 5, 12, 29936, 32768
2026/05/26 12:54:37.277, 6, 8, 29888, 32768
2026/05/26 12:54:37.277, 7, 9, 29864, 32768
2026/05/26 12:54:37.885, 0, 45, 30254, 32768
2026/05/26 12:54:37.885, 1, 6, 29940, 32768
2026/05/26 12:54:37.885, 2, 6, 29844, 32768
2026/05/26 12:54:37.885, 3, 6, 29848, 32768
2026/05/26 12:54:37.886, 4, 4, 29920, 32768
2026/05/26 12:54:37.886, 5, 14, 29936, 32768
2026/05/26 12:54:37.886, 6, 9, 29888, 32768
2026/05/26 12:54:37.886, 7, 13, 29864, 32768
2026/05/26 12:54:38.451, 0, 45, 30254, 32768
2026/05/26 12:54:38.451, 1, 6, 29940, 32768
2026/05/26 12:54:38.452, 2, 6, 29844, 32768
2026/05/26 12:54:38.452, 3, 4, 29848, 32768
2026/05/26 12:54:38.452, 4, 6, 29920, 32768
2026/05/26 12:54:38.452, 5, 8, 29936, 32768
2026/05/26 12:54:38.452, 6, 12, 29888, 32768
2026/05/26 12:54:38.452, 7, 16, 29864, 32768
2026/05/26 12:54:39.037, 0, 31, 30254, 32768
2026/05/26 12:54:39.037, 1, 4, 29940, 32768
2026/05/26 12:54:39.037, 2, 4, 29844, 32768
2026/05/26 12:54:39.037, 3, 4, 29848, 32768
2026/05/26 12:54:39.037, 4, 5, 29920, 32768
2026/05/26 12:54:39.038, 5, 9, 29936, 32768
2026/05/26 12:54:39.038, 6, 10, 29888, 32768
2026/05/26 12:54:39.038, 7, 10, 29864, 32768
2026/05/26 12:54:39.644, 0, 26, 30258, 32768
2026/05/26 12:54:39.644, 1, 4, 29940, 32768
2026/05/26 12:54:39.645, 2, 5, 29844, 32768
2026/05/26 12:54:39.645, 3, 3, 29848, 32768
2026/05/26 12:54:39.645, 4, 5, 29920, 32768
2026/05/26 12:54:39.645, 5, 6, 29936, 32768
2026/05/26 12:54:39.645, 6, 11, 29888, 32768
2026/05/26 12:54:39.646, 7, 10, 29864, 32768
