timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 13:30:24.378, 0, 0, 28616, 32768
2026/05/26 13:30:24.379, 1, 0, 28280, 32768
2026/05/26 13:30:24.379, 2, 0, 28184, 32768
2026/05/26 13:30:24.380, 3, 0, 28188, 32768
2026/05/26 13:30:24.380, 4, 0, 28244, 32768
2026/05/26 13:30:24.381, 5, 0, 28260, 32768
2026/05/26 13:30:24.382, 6, 0, 28212, 32768
2026/05/26 13:30:24.382, 7, 0, 28188, 32768
2026/05/26 13:30:25.027, 0, 0, 28660, 32768
2026/05/26 13:30:25.028, 1, 0, 28318, 32768
2026/05/26 13:30:25.028, 2, 0, 28222, 32768
2026/05/26 13:30:25.028, 3, 0, 28226, 32768
2026/05/26 13:30:25.028, 4, 0, 28298, 32768
2026/05/26 13:30:25.029, 5, 0, 28314, 32768
2026/05/26 13:30:25.029, 6, 0, 28266, 32768
2026/05/26 13:30:25.029, 7, 0, 28242, 32768
2026/05/26 13:30:25.698, 0, 0, 28746, 32768
2026/05/26 13:30:25.699, 1, 0, 28408, 32768
2026/05/26 13:30:25.699, 2, 0, 28302, 32768
2026/05/26 13:30:25.699, 3, 0, 28306, 32768
2026/05/26 13:30:25.700, 4, 0, 28378, 32768
2026/05/26 13:30:25.700, 5, 0, 28394, 32768
2026/05/26 13:30:25.700, 6, 0, 28346, 32768
2026/05/26 13:30:25.700, 7, 0, 28322, 32768
2026/05/26 13:30:26.355, 0, 0, 28816, 32768
2026/05/26 13:30:26.355, 1, 0, 28480, 32768
2026/05/26 13:30:26.356, 2, 0, 28384, 32768
2026/05/26 13:30:26.356, 3, 0, 28388, 32768
2026/05/26 13:30:26.356, 4, 0, 28460, 32768
2026/05/26 13:30:26.357, 5, 0, 28476, 32768
2026/05/26 13:30:26.357, 6, 0, 28428, 32768
2026/05/26 13:30:26.358, 7, 0, 28404, 32768
2026/05/26 13:30:27.061, 0, 0, 28902, 32768
2026/05/26 13:30:27.061, 1, 0, 28568, 32768
2026/05/26 13:30:27.061, 2, 0, 28472, 32768
2026/05/26 13:30:27.062, 3, 0, 28476, 32768
2026/05/26 13:30:27.062, 4, 0, 28548, 32768
2026/05/26 13:30:27.062, 5, 0, 28564, 32768
2026/05/26 13:30:27.062, 6, 0, 28516, 32768
2026/05/26 13:30:27.062, 7, 0, 28492, 32768
2026/05/26 13:30:27.718, 0, 1, 28980, 32768
2026/05/26 13:30:27.719, 1, 0, 28648, 32768
2026/05/26 13:30:27.719, 2, 0, 28552, 32768
2026/05/26 13:30:27.719, 3, 0, 28556, 32768
2026/05/26 13:30:27.719, 4, 0, 28628, 32768
2026/05/26 13:30:27.719, 5, 0, 28644, 32768
2026/05/26 13:30:27.720, 6, 0, 28596, 32768
2026/05/26 13:30:27.720, 7, 0, 28572, 32768
2026/05/26 13:30:28.401, 0, 2, 29076, 32768
2026/05/26 13:30:28.402, 1, 0, 28748, 32768
2026/05/26 13:30:28.402, 2, 0, 28652, 32768
2026/05/26 13:30:28.403, 3, 0, 28656, 32768
2026/05/26 13:30:28.403, 4, 0, 28728, 32768
2026/05/26 13:30:28.403, 5, 0, 28744, 32768
2026/05/26 13:30:28.404, 6, 0, 28682, 32768
2026/05/26 13:30:28.404, 7, 0, 28652, 32768
2026/05/26 13:30:29.118, 0, 2, 29162, 32768
2026/05/26 13:30:29.118, 1, 0, 28836, 32768
2026/05/26 13:30:29.119, 2, 0, 28740, 32768
2026/05/26 13:30:29.119, 3, 0, 28744, 32768
2026/05/26 13:30:29.120, 4, 0, 28816, 32768
2026/05/26 13:30:29.120, 5, 0, 28832, 32768
2026/05/26 13:30:29.120, 6, 0, 28784, 32768
2026/05/26 13:30:29.121, 7, 0, 28760, 32768
2026/05/26 13:30:29.727, 0, 27, 29162, 32768
2026/05/26 13:30:29.727, 1, 3, 28836, 32768
2026/05/26 13:30:29.728, 2, 3, 28740, 32768
2026/05/26 13:30:29.728, 3, 3, 28744, 32768
2026/05/26 13:30:29.728, 4, 3, 28816, 32768
2026/05/26 13:30:29.728, 5, 5, 28832, 32768
2026/05/26 13:30:29.729, 6, 5, 28784, 32768
2026/05/26 13:30:29.729, 7, 5, 28760, 32768
2026/05/26 13:30:30.329, 0, 43, 29162, 32768
2026/05/26 13:30:30.329, 1, 6, 28836, 32768
2026/05/26 13:30:30.329, 2, 5, 28740, 32768
2026/05/26 13:30:30.330, 3, 6, 28744, 32768
2026/05/26 13:30:30.330, 4, 6, 28816, 32768
2026/05/26 13:30:30.330, 5, 10, 28832, 32768
2026/05/26 13:30:30.330, 6, 9, 28784, 32768
2026/05/26 13:30:30.330, 7, 11, 28760, 32768
2026/05/26 13:30:30.918, 0, 35, 29162, 32768
2026/05/26 13:30:30.918, 1, 5, 28836, 32768
2026/05/26 13:30:30.918, 2, 5, 28740, 32768
2026/05/26 13:30:30.919, 3, 5, 28744, 32768
2026/05/26 13:30:30.919, 4, 5, 28816, 32768
2026/05/26 13:30:30.919, 5, 10, 28832, 32768
2026/05/26 13:30:30.919, 6, 10, 28784, 32768
2026/05/26 13:30:30.919, 7, 11, 28760, 32768
2026/05/26 13:30:31.515, 0, 42, 29162, 32768
2026/05/26 13:30:31.515, 1, 5, 28836, 32768
2026/05/26 13:30:31.516, 2, 6, 28740, 32768
2026/05/26 13:30:31.516, 3, 4, 28744, 32768
2026/05/26 13:30:31.516, 4, 6, 28816, 32768
2026/05/26 13:30:31.516, 5, 12, 28832, 32768
2026/05/26 13:30:31.516, 6, 12, 28784, 32768
2026/05/26 13:30:31.517, 7, 13, 28760, 32768
2026/05/26 13:30:32.137, 0, 42, 29162, 32768
2026/05/26 13:30:32.138, 1, 5, 28836, 32768
2026/05/26 13:30:32.138, 2, 5, 28740, 32768
2026/05/26 13:30:32.138, 3, 6, 28744, 32768
2026/05/26 13:30:32.138, 4, 6, 28816, 32768
2026/05/26 13:30:32.138, 5, 8, 28832, 32768
2026/05/26 13:30:32.138, 6, 9, 28784, 32768
2026/05/26 13:30:32.139, 7, 9, 28760, 32768
2026/05/26 13:30:32.725, 0, 40, 29162, 32768
2026/05/26 13:30:32.726, 1, 5, 28836, 32768
2026/05/26 13:30:32.726, 2, 6, 28740, 32768
2026/05/26 13:30:32.726, 3, 6, 28744, 32768
2026/05/26 13:30:32.726, 4, 5, 28816, 32768
2026/05/26 13:30:32.727, 5, 12, 28832, 32768
2026/05/26 13:30:32.727, 6, 12, 28784, 32768
2026/05/26 13:30:32.727, 7, 12, 28760, 32768
2026/05/26 13:30:33.326, 0, 42, 29162, 32768
2026/05/26 13:30:33.326, 1, 5, 28836, 32768
2026/05/26 13:30:33.326, 2, 4, 28740, 32768
2026/05/26 13:30:33.326, 3, 5, 28744, 32768
2026/05/26 13:30:33.327, 4, 6, 28816, 32768
2026/05/26 13:30:33.327, 5, 10, 28832, 32768
2026/05/26 13:30:33.327, 6, 8, 28784, 32768
2026/05/26 13:30:33.327, 7, 11, 28760, 32768
2026/05/26 13:30:33.907, 0, 33, 29162, 32768
2026/05/26 13:30:33.907, 1, 6, 28836, 32768
2026/05/26 13:30:33.907, 2, 6, 28740, 32768
2026/05/26 13:30:33.907, 3, 6, 28744, 32768
2026/05/26 13:30:33.907, 4, 5, 28816, 32768
2026/05/26 13:30:33.908, 5, 10, 28832, 32768
2026/05/26 13:30:33.908, 6, 11, 28784, 32768
2026/05/26 13:30:33.908, 7, 12, 28760, 32768
2026/05/26 13:30:34.509, 0, 0, 29166, 32768
2026/05/26 13:30:34.509, 1, 0, 28836, 32768
2026/05/26 13:30:34.509, 2, 2, 28740, 32768
2026/05/26 13:30:34.510, 3, 1, 28744, 32768
2026/05/26 13:30:34.510, 4, 0, 28816, 32768
2026/05/26 13:30:34.510, 5, 0, 28832, 32768
2026/05/26 13:30:34.510, 6, 0, 28784, 32768
2026/05/26 13:30:34.510, 7, 0, 28760, 32768
2026/05/26 13:30:35.112, 0, 0, 29296, 32768
2026/05/26 13:30:35.112, 1, 0, 28966, 32768
2026/05/26 13:30:35.113, 2, 0, 28870, 32768
2026/05/26 13:30:35.113, 3, 7, 28874, 32768
2026/05/26 13:30:35.113, 4, 0, 28946, 32768
2026/05/26 13:30:35.113, 5, 0, 28832, 32768
2026/05/26 13:30:35.113, 6, 0, 28784, 32768
2026/05/26 13:30:35.114, 7, 0, 28760, 32768
2026/05/26 13:30:35.703, 0, 39, 29166, 32768
