timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 13:46:31.431, 0, 0, 30114, 32768
2026/05/26 13:46:31.431, 1, 0, 29772, 32768
2026/05/26 13:46:31.431, 2, 0, 29676, 32768
2026/05/26 13:46:31.431, 3, 0, 29680, 32768
2026/05/26 13:46:31.432, 4, 0, 29752, 32768
2026/05/26 13:46:31.432, 5, 0, 29768, 32768
2026/05/26 13:46:31.432, 6, 0, 29720, 32768
2026/05/26 13:46:31.432, 7, 0, 29696, 32768
2026/05/26 13:46:32.019, 0, 8, 30180, 32768
2026/05/26 13:46:32.019, 1, 2, 29840, 32768
2026/05/26 13:46:32.020, 2, 3, 29744, 32768
2026/05/26 13:46:32.020, 3, 3, 29748, 32768
2026/05/26 13:46:32.020, 4, 3, 29820, 32768
2026/05/26 13:46:32.020, 5, 1, 29836, 32768
2026/05/26 13:46:32.020, 6, 4, 29788, 32768
2026/05/26 13:46:32.021, 7, 4, 29764, 32768
2026/05/26 13:46:32.614, 0, 8, 30292, 32768
2026/05/26 13:46:32.614, 1, 5, 29958, 32768
2026/05/26 13:46:32.615, 2, 3, 29862, 32768
2026/05/26 13:46:32.615, 3, 3, 29862, 32768
2026/05/26 13:46:32.616, 4, 3, 29926, 32768
2026/05/26 13:46:32.616, 5, 5, 29942, 32768
2026/05/26 13:46:32.617, 6, 4, 29894, 32768
2026/05/26 13:46:32.618, 7, 4, 29870, 32768
2026/05/26 13:46:33.215, 0, 10, 30384, 32768
2026/05/26 13:46:33.215, 1, 2, 30054, 32768
2026/05/26 13:46:33.216, 2, 3, 29958, 32768
2026/05/26 13:46:33.217, 3, 3, 29962, 32768
2026/05/26 13:46:33.217, 4, 3, 30034, 32768
2026/05/26 13:46:33.218, 5, 1, 30050, 32768
2026/05/26 13:46:33.218, 6, 4, 29984, 32768
2026/05/26 13:46:33.219, 7, 4, 29952, 32768
2026/05/26 13:46:33.836, 0, 12, 30494, 32768
2026/05/26 13:46:33.853, 1, 5, 30160, 32768
2026/05/26 13:46:33.859, 2, 5, 30064, 32768
2026/05/26 13:46:33.870, 3, 4, 30068, 32768
2026/05/26 13:46:33.875, 4, 4, 30140, 32768
2026/05/26 13:46:33.881, 5, 6, 30156, 32768
2026/05/26 13:46:33.891, 6, 6, 30108, 32768
2026/05/26 13:46:33.907, 7, 6, 30084, 32768
2026/05/26 13:46:34.642, 0, 2, 30554, 32768
2026/05/26 13:46:34.642, 1, 0, 30230, 32768
2026/05/26 13:46:34.643, 2, 1, 30134, 32768
2026/05/26 13:46:34.643, 3, 1, 30138, 32768
2026/05/26 13:46:34.643, 4, 2, 30210, 32768
2026/05/26 13:46:34.643, 5, 0, 30226, 32768
2026/05/26 13:46:34.644, 6, 1, 30178, 32768
2026/05/26 13:46:34.644, 7, 1, 30154, 32768
2026/05/26 13:46:35.210, 0, 2, 30656, 32768
2026/05/26 13:46:35.210, 1, 0, 30338, 32768
2026/05/26 13:46:35.210, 2, 0, 30232, 32768
