timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 14:44:10.528, 0, 0, 29860, 32768
2026/05/26 14:44:10.528, 1, 0, 29522, 32768
2026/05/26 14:44:10.529, 2, 0, 29426, 32768
2026/05/26 14:44:10.529, 3, 0, 29430, 32768
2026/05/26 14:44:10.530, 4, 0, 29500, 32768
2026/05/26 14:44:10.530, 5, 0, 29498, 32768
2026/05/26 14:44:10.531, 6, 0, 29450, 32768
2026/05/26 14:44:10.531, 7, 0, 29426, 32768
2026/05/26 14:44:11.107, 0, 4, 29890, 32768
2026/05/26 14:44:11.107, 1, 2, 29546, 32768
2026/05/26 14:44:11.107, 2, 5, 29450, 32768
2026/05/26 14:44:11.108, 3, 6, 29454, 32768
2026/05/26 14:44:11.108, 4, 2, 29526, 32768
2026/05/26 14:44:11.108, 5, 2, 29542, 32768
2026/05/26 14:44:11.109, 6, 2, 29494, 32768
2026/05/26 14:44:11.109, 7, 8, 29470, 32768
2026/05/26 14:44:11.947, 0, 0, 29982, 32768
2026/05/26 14:44:11.948, 1, 0, 29642, 32768
2026/05/26 14:44:11.948, 2, 0, 29546, 32768
2026/05/26 14:44:11.948, 3, 0, 29550, 32768
2026/05/26 14:44:11.949, 4, 0, 29622, 32768
2026/05/26 14:44:11.949, 5, 0, 29638, 32768
2026/05/26 14:44:11.949, 6, 0, 29590, 32768
2026/05/26 14:44:11.950, 7, 0, 29566, 32768
2026/05/26 14:44:12.522, 0, 0, 30068, 32768
2026/05/26 14:44:12.522, 1, 0, 29722, 32768
2026/05/26 14:44:12.523, 2, 1, 29626, 32768
2026/05/26 14:44:12.523, 3, 3, 29630, 32768
2026/05/26 14:44:12.523, 4, 0, 29702, 32768
2026/05/26 14:44:12.523, 5, 0, 29718, 32768
2026/05/26 14:44:12.524, 6, 0, 29670, 32768
2026/05/26 14:44:12.524, 7, 0, 29646, 32768
2026/05/26 14:44:13.117, 0, 7, 30162, 32768
2026/05/26 14:44:13.118, 1, 3, 29828, 32768
2026/05/26 14:44:13.118, 2, 0, 29732, 32768
2026/05/26 14:44:13.118, 3, 1, 29736, 32768
2026/05/26 14:44:13.119, 4, 2, 29808, 32768
2026/05/26 14:44:13.119, 5, 2, 29824, 32768
2026/05/26 14:44:13.120, 6, 2, 29776, 32768
2026/05/26 14:44:13.120, 7, 2, 29742, 32768
2026/05/26 14:44:13.690, 0, 4, 30254, 32768
2026/05/26 14:44:13.690, 1, 2, 29924, 32768
2026/05/26 14:44:13.690, 2, 3, 29828, 32768
2026/05/26 14:44:13.690, 3, 0, 29832, 32768
