timestamp,index,utilization.gpu,memory.used,memory.total
2026/05/26 14:39:12.439, 0, 0, 29084, 32768
2026/05/26 14:39:12.450, 1, 0, 28748, 32768
2026/05/26 14:39:12.470, 2, 0, 28652, 32768
2026/05/26 14:39:12.486, 3, 0, 28656, 32768
2026/05/26 14:39:12.501, 4, 0, 28728, 32768
2026/05/26 14:39:12.512, 5, 0, 28742, 32768
2026/05/26 14:39:12.517, 6, 0, 28676, 32768
2026/05/26 14:39:12.533, 7, 0, 28652, 32768
2026/05/26 14:39:13.172, 0, 11, 29130, 32768
2026/05/26 14:39:13.173, 1, 1, 28772, 32768
2026/05/26 14:39:13.173, 2, 1, 28676, 32768
2026/05/26 14:39:13.173, 3, 1, 28680, 32768
2026/05/26 14:39:13.174, 4, 25, 28752, 32768
2026/05/26 14:39:13.174, 5, 3, 28768, 32768
2026/05/26 14:39:13.174, 6, 56, 28720, 32768
2026/05/26 14:39:13.175, 7, 6, 28696, 32768
2026/05/26 14:39:13.747, 0, 5, 29250, 32768
2026/05/26 14:39:13.748, 1, 0, 28902, 32768
2026/05/26 14:39:13.748, 2, 0, 28806, 32768
2026/05/26 14:39:13.748, 3, 0, 28810, 32768
2026/05/26 14:39:13.749, 4, 1, 28882, 32768
2026/05/26 14:39:13.749, 5, 0, 28898, 32768
2026/05/26 14:39:13.749, 6, 1, 28850, 32768
2026/05/26 14:39:13.750, 7, 0, 28826, 32768
2026/05/26 14:39:14.327, 0, 4, 29352, 32768
2026/05/26 14:39:14.327, 1, 1, 29018, 32768
2026/05/26 14:39:14.328, 2, 1, 28922, 32768
2026/05/26 14:39:14.328, 3, 0, 28926, 32768
2026/05/26 14:39:14.328, 4, 1, 28998, 32768
2026/05/26 14:39:14.328, 5, 1, 29014, 32768
2026/05/26 14:39:14.329, 6, 0, 28966, 32768
2026/05/26 14:39:14.329, 7, 2, 28942, 32768
2026/05/26 14:39:14.906, 0, 0, 29454, 32768
2026/05/26 14:39:14.907, 1, 1, 29112, 32768
2026/05/26 14:39:14.908, 2, 1, 29016, 32768
2026/05/26 14:39:14.908, 3, 1, 29020, 32768
2026/05/26 14:39:14.914, 4, 0, 29092, 32768
2026/05/26 14:39:14.914, 5, 1, 29108, 32768
2026/05/26 14:39:14.916, 6, 1, 29060, 32768
2026/05/26 14:39:14.916, 7, 0, 29036, 32768
2026/05/26 14:39:15.508, 0, 8, 29580, 32768
2026/05/26 14:39:15.509, 1, 1, 29254, 32768
2026/05/26 14:39:15.509, 2, 1, 29158, 32768
2026/05/26 14:39:15.510, 3, 1, 29162, 32768
2026/05/26 14:39:15.510, 4, 1, 29234, 32768
2026/05/26 14:39:15.511, 5, 2, 29226, 32768
2026/05/26 14:39:15.515, 6, 1, 29178, 32768
2026/05/26 14:39:15.516, 7, 2, 29154, 32768
2026/05/26 14:39:16.130, 0, 8, 29692, 32768
2026/05/26 14:39:16.131, 1, 1, 29370, 32768
2026/05/26 14:39:16.131, 2, 1, 29274, 32768
2026/05/26 14:39:16.131, 3, 1, 29278, 32768
2026/05/26 14:39:16.132, 4, 1, 29350, 32768
2026/05/26 14:39:16.132, 5, 2, 29366, 32768
2026/05/26 14:39:16.132, 6, 2, 29318, 32768
2026/05/26 14:39:16.133, 7, 2, 29294, 32768
2026/05/26 14:39:16.932, 0, 35, 29794, 32768
2026/05/26 14:39:16.942, 1, 3, 29476, 32768
2026/05/26 14:39:16.954, 2, 3, 29380, 32768
2026/05/26 14:39:16.959, 3, 3, 29384, 32768
2026/05/26 14:39:16.960, 4, 4, 29456, 32768
2026/05/26 14:39:16.960, 5, 8, 29472, 32768
2026/05/26 14:39:16.961, 6, 7, 29424, 32768
2026/05/26 14:39:16.961, 7, 7, 29400, 32768
2026/05/26 14:39:17.568, 0, 45, 29794, 32768
2026/05/26 14:39:17.568, 1, 4, 29476, 32768
2026/05/26 14:39:17.568, 2, 5, 29380, 32768
2026/05/26 14:39:17.568, 3, 5, 29384, 32768
2026/05/26 14:39:17.569, 4, 5, 29456, 32768
2026/05/26 14:39:17.569, 5, 11, 29472, 32768
2026/05/26 14:39:17.569, 6, 8, 29424, 32768
2026/05/26 14:39:17.569, 7, 10, 29400, 32768
2026/05/26 14:39:18.136, 0, 42, 29794, 32768
2026/05/26 14:39:18.136, 1, 5, 29476, 32768
2026/05/26 14:39:18.136, 2, 5, 29380, 32768
2026/05/26 14:39:18.137, 3, 5, 29384, 32768
2026/05/26 14:39:18.137, 4, 7, 29456, 32768
2026/05/26 14:39:18.137, 5, 12, 29472, 32768
2026/05/26 14:39:18.137, 6, 12, 29424, 32768
2026/05/26 14:39:18.137, 7, 12, 29400, 32768
2026/05/26 14:39:18.703, 0, 30, 29794, 32768
2026/05/26 14:39:18.703, 1, 5, 29476, 32768
2026/05/26 14:39:18.703, 2, 4, 29380, 32768
2026/05/26 14:39:18.704, 3, 5, 29384, 32768
2026/05/26 14:39:18.704, 4, 4, 29456, 32768
2026/05/26 14:39:18.704, 5, 8, 29472, 32768
2026/05/26 14:39:18.704, 6, 8, 29424, 32768
2026/05/26 14:39:18.704, 7, 10, 29400, 32768
2026/05/26 14:39:19.297, 0, 31, 29794, 32768
2026/05/26 14:39:19.297, 1, 6, 29476, 32768
2026/05/26 14:39:19.298, 2, 5, 29380, 32768
2026/05/26 14:39:19.298, 3, 5, 29384, 32768
2026/05/26 14:39:19.298, 4, 5, 29456, 32768
2026/05/26 14:39:19.299, 5, 12, 29472, 32768
2026/05/26 14:39:19.299, 6, 9, 29424, 32768
2026/05/26 14:39:19.299, 7, 9, 29400, 32768
2026/05/26 14:39:20.159, 0, 42, 29794, 32768
2026/05/26 14:39:20.159, 1, 4, 29476, 32768
2026/05/26 14:39:20.160, 2, 4, 29380, 32768
2026/05/26 14:39:20.160, 3, 4, 29384, 32768
2026/05/26 14:39:20.160, 4, 5, 29456, 32768
2026/05/26 14:39:20.161, 5, 11, 29472, 32768
2026/05/26 14:39:20.161, 6, 10, 29424, 32768
2026/05/26 14:39:20.161, 7, 12, 29400, 32768
2026/05/26 14:39:20.771, 0, 42, 29794, 32768
